period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y,va,i,l,tbsm-0,tbsf-0
0,276.6369943035522283,339.6385769238905254,17.6123664239935103,83.7420915253765514,-1.3544579493701525,2.1199005322688778,82.2073293254237569,2.1628867498411530,121.6436549156616280,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,525.7001783621343520,276.9808566476428950,49.1751014276463039,178.2754156245651131,-1.3631870249028863,0.0087290755327338
1,282.3892430113183991,347.2052174207783537,17.8170282850575852,83.5427141264722053,-1.3597424115297980,0.7649561577978106,82.0944791704318106,2.2759363696960744,121.8108708533194999,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,536.6416460427199127,282.7456960292712438,50.7850008473771268,179.8671100386301873,-1.3675302326131249,0.0077878210833268
2,286.6837119979247177,354.4166656803535034,17.7952323931915792,83.5836661829620482,-1.3788985761536210,-0.5959454308518384,81.6718582648595088,2.3402599683434611,122.4411959327567558,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,544.8429298799619573,287.0667876254870521,51.5098442297612493,181.1025452785128493,-1.3835142389192587,0.0046156627656378
3,289.1465710446703952,360.9468730649838903,17.5272606246901965,83.8860335914877169,-1.4132942161779114,-1.9844957075910949,80.9273561289632823,2.4573105077209778,123.5676102412677153,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,549.5990016262933295,289.5726662247312220,51.1979628279977774,181.7046253177201720,-1.4121508690977205,-0.0011433470801911
4,293.4926212672257861,368.5477702421404160,17.4441732878597584,83.9901644805448768,-1.4343377684047320,-3.4094864704339312,80.4768275235039994,3.5507355225421477,124.2593713958146679,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,557.9086696489484893,293.9508632695628307,51.7386422990931365,182.5466599488235033,-1.4296910246580048,-0.0046467437467270
5,302.5312173011571417,381.9925558900736746,17.8636152930746839,83.5902591223467368,-1.4538744154214791,-4.8392766735261432,80.0609361509297628,2.6701859974421538,124.9048597326933816,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,575.1387061026067613,303.0290231284261040,54.6317259219699594,184.5763107084605110,-1.4460036468364657,-0.0078707685850135
6,309.0109544898507465,391.0516999282984330,17.8949325634290446,83.5671162523322693,-1.4620488157612603,-6.3115093354338860,79.8917319715508114,2.6761697365803139,125.1693980493622433,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,587.4778567718304885,309.5302735813251047,55.9069861170978584,185.8731082057216781,-1.4527720933943675,-0.0092767223668929
7,315.6639342161873856,400.0895102452795982,17.8858378383983023,83.5815687897656119,-1.4674066281640015,-7.8012918276923200,79.7754350624963706,3.5418883806001000,125.3518704368828054,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,600.1408465002207322,316.2021483248670961,57.0867915743979708,187.1609626461109315,-1.4572993320110268,-0.0101072961529747
8,321.7460588940152775,412.1514682580844351,17.8050573126763112,83.6998118135000766,-1.5048691261764637,-9.3161215912798010,78.9823961067558997,3.6535046290898432,126.6104916149110693,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,611.8100600534751266,322.3504223780636266,57.9602876526121591,188.0923232021711442,-1.4887721194223251,-0.0160970067541385
9,329.1370040051502315,425.3167182192639189,17.7990049918609081,83.7364917435159981,-1.5354967353769282,-10.8691457446392903,78.3369285641988711,3.0410383332898583,127.6537156011264642,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,625.9579071587696717,329.8046386257228164,59.3027343940451317,189.5197376750458886,-1.5146345208218317,-0.0208622145550965
