period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-0,tbsf0-0,tbsm1-0,tbsf1-0
0,275.3435500543502030,338.9442417935365484,17.9617776443759958,84.3680372704045141,-2.3298149147817249,2.1242431976129392,81.2577282045341320,1.9248749024102674,124.3424141456568748,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,192.7798005326106932,74.1693473253547637,11.8896756386129816,46.1418177933107003,296.1531855213258950,189.4828351784188669,38.2857142113881750,124.4240027741519299,27.0955071889003918,12.0255566893234231,1.3795284951275153,6.7943357146203152,-1.3428043698784125,-0.3043950420508794,-0.5757160734815104,-0.1068994293709228
1,281.0964867565378995,344.2768084104509398,18.0915213072910817,84.3641878043983411,-2.4557091116897651,-0.2062832868615789,81.7706230849522342,2.0428160517506067,123.4279201657850820,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,196.1712622006536719,75.4741650381169222,12.4035901409170926,46.5575953376955738,302.7770911264406664,193.7209000562352514,38.8714186508002655,125.1322063444671215,27.6481262465922555,12.2708206646217466,1.5151076095223939,6.9653850357650535,-1.4385675647782756,-0.3427683583185660,-0.5683185120060165,-0.1060546765869072
2,285.3562656367806767,349.4699456249988998,18.0441200087902338,84.5686038166717680,-2.6127236957671265,-2.6760066111072862,81.8730821472162091,2.1002474214893097,123.1846023427387848,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,198.3164386394857956,76.2994918406466951,12.7318826109357310,46.7816722189817966,308.0848062190827363,197.1168483466536259,38.9484076287308554,125.8232394143348074,27.8518828310945388,12.3612521276931915,1.6312110357678165,7.0370196227526369,-1.5557230985755739,-0.3909507975707053,-0.5605088954044586,-0.1055409042163888
3,287.7804290578320092,354.1843922845829411,17.8067965887145725,85.0018297669907099,-2.8086263722263625,-5.3279314510651172,81.5626824522540517,2.2678253733061204,123.6140296689034699,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,198.9493149010933166,76.5429821810840991,12.8588220622294092,46.7301093093538498,311.7413235171584347,199.4563378351717802,38.4268948664257763,126.3313015479488826,27.6584784058820681,12.2754151709186257,1.7283847997983135,6.9889112098950363,-1.6996138792973929,-0.4514413723504875,-0.5521965140525980,-0.1053746065258843
4,292.1081495400358676,360.1689417088481378,17.7319064619883200,85.2172966577230824,-2.9492031351377714,-8.1828180773307029,81.4913694901424890,3.5238044484112718,123.6700023318428379,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,201.2153344218179711,77.4148016788443414,13.1689101628565783,46.8359188641189235,317.0928824769607672,202.8803380279868520,38.4780783159264743,126.8651162185474277,27.8643275282406506,12.3667753463570342,1.8548281783351599,7.0210291890344578,-1.8036252968305853,-0.4946604665219360,-0.5458907135820312,-0.1050266582032184
5,301.0574950559391709,372.1214312486295057,18.1129144314685284,84.9557596872341776,-3.0686741330668910,-11.1541331901891354,81.3893794026364787,2.5275616697129744,123.7461759075679595,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,207.1030442261264284,79.6800161474773319,13.9950623180116587,47.3694683288912870,326.7720200839873996,209.0731818855768722,40.0814436258056048,127.8314873100635509,29.1222222075784352,12.9250554948006684,2.0448165704811005,7.3180656057157467,-1.8966129936427440,-0.5275639515349729,-0.5401545050434485,-0.1043426828457250
6,307.5081200173061688,379.8589071746334298,18.1476126744808681,85.0016748688959183,-3.1492875567505862,-14.2852657458480810,81.4941561564254329,2.5514138238537099,123.5347073309385166,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,211.1335633863249939,81.2307023431697814,14.4689349729580101,47.6756669410147182,334.0980223897824999,213.7604577795777914,40.6776216425070203,128.6078817717377376,29.7017301699135849,13.1822533322277682,2.1864949711524937,7.4138561513692220,-1.9561233901341222,-0.5526760498245619,-0.5364756697417378,-0.1040124470501643
7,314.1532354208122797,387.7850287995620420,18.1538881257456417,85.0601678293996457,-3.2140559675937777,-17.5139357822038910,81.5952602603277910,3.4899414040380439,123.3399817755990426,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,215.3428656423047300,82.8501728486823623,14.9355318848619447,47.9844718672026502,341.6166275506131456,218.5709635992381266,41.2477640355207811,129.4285430842444384,30.2763256535424468,13.4372709081541082,2.3312702582932823,7.4909907177064277,-2.0032341822247175,-0.5733343500121642,-0.5336973113189549,-0.1037901240379416
8,320.1846008902588210,398.8609078958196505,18.1482200416104149,85.2323014947580759,-3.3805215479672115,-20.8557077747367394,80.9299646598043552,3.6227491811492207,124.3656063981084969,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,218.7987994992016922,84.1797953395111307,15.4047866551691079,48.0516360620142819,348.7553940239091048,223.1384434615790155,41.7302337937014443,130.1464861519321516,30.8106051744770326,13.6743954108308987,2.4793651290025629,7.5466395927636345,-2.1263227750777771,-0.6221110724254593,-0.5282141528568806,-0.1038735476070947
9,327.5814066554084434,411.1827904062748757,18.2164005581834587,85.3005095617478446,-3.5169101307305253,-24.3616504431613095,80.3854892136781416,3.0173147152988467,125.2164674288514021,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,223.3616889859092112,85.9353036148170304,16.0285141055462681,48.2954542307901065,357.1807745420211972,228.5291164851313113,42.5201169388865310,131.1560432489498851,31.5940306346429942,14.0220961280532883,2.6537039278144894,7.6555403920836165,-2.2271027058590365,-0.6618391056201759,-0.5240401684691404,-0.1039281507821721
10,339.4467664107503424,423.2005886146289413,18.5076379142029630,84.9548714453317899,-3.4625093695472873,-27.9041782892131351,80.9355546559622496,2.1728052074109439,124.2967245011420374,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,231.8543475090876314,89.2027358768122554,17.0430297878149020,49.2072148383027326,369.5433668610025961,236.4388711569643533,44.3362636816949447,132.7858733444444681,33.1224040841632359,14.7004204506624472,2.8892314250797226,7.9296918863011019,-2.1868444302252912,-0.6465330343114983,-0.5256459073535188,-0.1034859976569791
