period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-0,tbsf0-0,tbsm1-0,tbsf1-0
0,278.5648640108707355,352.9381681443248908,18.9961960852031311,82.3391319661785559,-1.3353280513818304,2.0400173882740109,79.1074862923425428,2.2534105656110359,127.4964386982306337,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,198.6182955493896429,76.4156270889007203,14.2087852023848153,48.2755927741542123,296.5478894049128371,189.7353720903089993,38.6748082519386003,124.6753443045508050,28.6935088112720855,12.7347834613298811,1.9647953117302499,7.4106044081341143,-0.6753324827927240,0.0422729961550727,-0.5966298297163914,-0.1056387350277876
1,284.7825726107040509,359.8143866928800207,19.0578696854944774,82.2923051323760575,-1.3501748178706305,0.7067984778806933,79.3900348197528274,2.3446642810046381,126.9512679325446243,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,202.8489989486342324,78.0433313866653151,14.6197427374646747,48.7433130420269052,303.3419863285589031,194.0823276879779939,39.4043945725696645,125.4547314389149903,29.2691236073090373,12.9902534295684280,2.0634565534747624,7.5456901280649609,-0.6911153156707597,0.0391923442893237,-0.5932198548991767,-0.1050319915900177
2,289.5982861760364813,366.8490009917018710,18.9957985886966298,82.3890050616258947,-1.3848035190627774,-0.6458348477198216,79.2502527918029500,2.3738020381058211,127.1166539117293013,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,205.9407140441323349,79.2328257741244926,14.8752566941170716,49.0789973619663442,308.8504172725251351,197.6066967094015467,39.7325060908767540,126.2186378771369561,29.5606506587222491,13.1196392741957251,2.1404710082083143,7.6087273990282496,-0.7208789526105185,0.0302354032723503,-0.5894486405394943,-0.1047113291851149
3,292.6878467780750839,373.7367713100830997,18.8003975104495176,82.6401072855675665,-1.4405048129072655,-2.0405297508427878,78.6881910874020178,2.4941156959113364,128.0002580874635498,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,207.6499097826068692,79.8904150652415836,14.9538085868552493,49.2072811788178299,312.7488381142742924,200.1009593745588973,39.5841032053723652,126.7988665457322526,29.5215083640968849,13.1022670995512023,2.1949982271268529,7.5820111581497125,-0.7654811601579770,0.0149519310143020,-0.5852950093034349,-0.1046805744601558
4,297.6081230469393972,381.3611337428825436,18.7183629691555531,82.7555493605771488,-1.4739123454364922,-3.4965252402900719,78.4648021918822280,3.9007617110036641,128.3278053561713534,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,210.8271068071975094,81.1127974361481563,15.2036448113111273,49.4271072035410697,318.3751826936090197,203.7007711432771657,39.8902237835458493,127.3818252314774782,29.8150338365026855,13.2325398854993601,2.2765386723421090,7.6110113529889016,-0.7935359749488603,0.0061057391928669,-0.5820554224589434,-0.1044266872215553
5,306.9800158117290039,394.9377804384525348,18.9401932098867647,82.5612511465146923,-1.5014443709740557,-4.9867902885467856,78.2230527765034225,2.6511500522694131,128.6688127555369192,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,217.4306925601845535,83.6534352205679426,15.9081880108182379,49.9768571337763277,328.3153552243915669,210.0606286946310490,41.4037342450851540,128.3525054716309342,30.9658604806486508,13.7433009852004346,2.4216504978827857,7.8281770243075561,-0.8196817938272272,0.0013330201948028,-0.5790971718865817,-0.1039984254550497
6,313.9230528352204601,403.7021343923984205,18.9338891075268734,82.5793070190633358,-1.5131961401128786,-6.5156538425106980,78.2888276263310132,2.6343424760790102,128.5206859506776311,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,222.1921416368109590,85.4853365367878126,16.3167887279794712,50.3418433913737857,335.9109210467052549,214.9203749920169457,42.1428225048646610,129.1553893872336403,31.5754568405869769,14.0138526871093987,2.5231723713215435,7.9042310228143204,-0.8308449996737883,-0.0015794696215187,-0.5770914844013317,-0.1036801864162400
7,321.0581714415811234,412.5146166848205098,18.9094014281172242,82.6115715463082267,-1.5209729869682784,-8.0643199806146804,78.3825804592618880,3.7417108152637324,128.3335417885461425,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,227.0989540385306213,87.3731643708141235,16.7239945425361043,50.7064517480785071,343.7138258906920214,219.9127796148588629,42.8703111230065019,129.9972481767777595,32.1865300554158793,14.2850598483195910,2.6267491458071688,7.9680520752823840,-0.8384312848344884,-0.0036260613136843,-0.5754903622945798,-0.1034252785255260
8,327.6539268148986821,425.6681899710326888,18.8618725030314991,82.7139247832538160,-1.5757972979259649,-9.6366689947243600,77.5825001858573415,3.8306102197308789,129.6628784467886817,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,231.4548605232558032,89.0490388145564538,17.1075764441803457,50.9081577817015827,351.1278743787806320,224.6563886535404322,43.5014378014525249,130.7183080839983802,32.7368350392248857,14.5292967888970814,2.7291920254419373,8.0077232607172117,-0.8824117327127378,-0.0172528980254205,-0.5725273992402756,-0.1036052679475313
9,335.5638216497620192,439.7609791894125237,18.8623694537950790,82.7560349202222625,-1.6184043848135463,-11.2688880021743270,76.9609282392503360,2.9873347683496254,130.7116376295452937,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,236.8297306077825226,91.1169453329081307,17.6090709162001460,51.2583519427710925,359.8329245472754110,230.2259981223468799,44.3931424463703124,131.7180479440444856,33.4919137258730046,14.8644166110831932,2.8527189715082399,8.0878070585611699,-0.9171191885326478,-0.0274171245273729,-0.5701540205311573,-0.1037140512223680
