period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-0,tbsf0-0,tbsm1-0,tbsf1-0
0,286.3535704211461734,422.3435210211977164,25.0760983471910421,77.1796673356302279,-2.2557656828200852,1.7047733992913956,68.8457446039210055,0.9125767604519774,146.3839899040434318,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,206.4421145227450154,79.4257326354480284,18.8591940958867568,51.1859084221693337,299.0579338988030713,191.3413326890075155,49.9901653275850464,126.2777325213903765,37.2582314167546400,16.5359877164306006,4.3316402959265288,11.0085535957013878,-1.2699714096643608,-0.2306828595099167,-0.6283586047561511,-0.1267528088896571
1,294.6603253630852350,431.7823652095098055,25.1190267965074803,77.2068107637605721,-2.3258375602672330,-0.5438657975000174,69.3277650525518965,1.0915505824609317,145.3002921169647550,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,211.9937101396256196,81.5616318447050759,19.6053283072411055,51.5869204709508438,308.0148154371302098,197.0720672926279065,51.4206917727545800,127.1149508836838038,38.4273586461670931,17.0548710012613220,4.4209648782324562,11.0955946297396899,-1.3286991811912900,-0.2484679311625056,-0.6225469568643326,-0.1261234910491051
2,301.3951562086460285,441.2408684703883068,24.9482529756856763,77.4500789301185364,-2.3983317386039844,-2.8388407725801761,69.4221560055379854,1.2042536024237327,145.0774938503179783,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,216.2580847946193217,83.2022906898633181,20.0851122015333345,51.8032012210702248,315.6476287331883555,201.9556450302054600,52.1866124992697209,127.9077179391535992,39.1240822828674411,17.3640916233932394,4.4670837609819527,11.0504441396164665,-1.3892613740060771,-0.2663902827931937,-0.6168241870738880,-0.1258558947308254
3,306.1207585426727746,450.2548725516289778,24.5479004341577003,77.9310366468110516,-2.4789370999728537,-5.1941316746737929,69.1269427357898110,1.3143319570690037,145.7170389831656507,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,218.8882347157742458,84.2142042953392860,20.2627480130862025,51.7431896918954237,321.5522640884263978,205.7335110215360601,52.1323194481729004,128.4840739319908778,39.2586732955975748,17.4238259491682044,4.4791571025649368,10.8469377678329408,-1.4557920472321342,-0.2861807931587428,-0.6109985447749441,-0.1259657148070324
4,312.8159930017095007,460.9127550667399191,24.3356387281152955,78.2010212809094014,-2.5366600265338111,-7.5941587342159753,69.0291039383729412,2.4111117377152880,145.9223086872618467,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,223.1634960475813898,85.8590516380038196,20.6961879121352226,51.8335036292115703,329.1865424617193412,210.6180261354505205,52.7195771783451690,129.0818738346283396,39.8664183743049634,17.6935560134811141,4.5694564383487615,10.7607717319960781,-1.5036358704778539,-0.3005344072233486,-0.6066238382291429,-0.1258659106034654
5,324.5500974371756797,479.4212773485711523,24.6228689429641214,77.9579623929300567,-2.5808313519815003,-9.9745439596931060,68.9108742672949717,1.4904539646299009,146.1283152363062356,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,231.5131262044236848,89.0714557251028367,21.8415175692464274,52.4270836471494590,341.3601673736041562,218.4068768906501816,55.1783287481843985,130.1281179440037192,41.7930201788015481,18.5486224662403885,4.8023903122108207,11.0209049926494718,-1.5455326924740387,-0.3076659895993255,-0.6024204045395488,-0.1252122653685871
6,333.5228104449352031,492.3797090407877022,24.5423009336462599,78.0706216912949742,-2.6129226397359298,-12.4071505433728380,68.9637937517188675,1.4791575702014725,146.0043520372952344,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,237.6271496723647942,91.4237412285437756,22.5087708979015027,52.7137889992574245,351.0967783223922538,224.6364929738199407,56.4112833358458587,130.9613258374899942,42.8603929295251547,19.0223449706017007,4.9434349443754888,11.0338807987518717,-1.5718471371739031,-0.3160663945727339,-0.5999430762788357,-0.1250660317104575
7,342.6764169902178878,505.5222064571258898,24.4339534417535589,78.2038184702819592,-2.6377719256443379,-14.8459779574836794,69.0179162431022917,2.3744437093034421,145.8848859736293946,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,243.8784100280347502,93.8288267160270664,23.1651423114489816,52.9957416771683683,361.0383987560162495,230.9972769131003361,57.5828612086064027,131.8290455523070079,43.9046953391485317,19.4858283717490117,5.0992556799072988,11.0310577423289633,-1.5917531095856419,-0.3229184630500414,-0.5980912812513932,-0.1250090717572618
8,351.1677679142799775,523.0296376363196487,24.2750517442581533,78.4178394803900716,-2.6928912371779332,-17.2997600235078330,68.4002296076503882,2.4437935196548022,147.2405408347759135,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,249.5232349850863329,96.0005946174030527,23.7680618292927761,53.1073562215351131,370.5425938112614404,237.0781901471971764,58.5247451831896868,132.5665570974194907,44.8122794619877354,19.8886333180983357,5.2643375694078456,10.9850946806214633,-1.6402945452540496,-0.3333310656021657,-0.5941469841718990,-0.1251186421498183
9,361.1129197447934303,542.1383622732066669,24.2031199385205298,78.5340436711580594,-2.7371636212123578,-19.7593294397853541,67.8926885858064537,1.7235358650449450,148.3719274691962653,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,256.3264690846643248,98.6180443267253821,24.5636799040081399,53.4000105049318847,381.3975472954582528,244.0233369917086748,59.8390069662752424,133.5979070448877053,46.0308851937365233,20.4294762042238496,5.4901452997853371,11.0150494564197619,-1.6798543801771288,-0.3411813346052900,-0.5909756786644874,-0.1251522277654515
10,375.9488650759221855,560.3471890493106002,24.4384958924157658,78.2801424307641724,-2.7186383337684310,-22.1405911079437558,68.3689913001210243,0.8187216742342907,147.2931330478816392,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,267.1333068134770770,102.7758248555078637,25.9555440458446043,54.2857950842014318,396.5276434294478918,253.7037782368154240,62.5935785327181051,135.2903852721034355,48.3244921913471259,21.4474272903763925,5.8500934352424308,11.2905030663667407,-1.6648346796240647,-0.3372974527453473,-0.5917791928962440,-0.1247270085027749
