period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-0,tbsf0-0,tbsm1-0,tbsf1-0
0,279.8324556093815545,381.5237354093359841,18.3132142493264816,83.2089073881222845,-1.5221216374484861,1.8871696127306936,72.6234354507125062,1.7846520271454391,140.0154400411166478,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,75.6533146397240444,75.6533146397240444,12.3644773050498458,47.3990374029636641,175.0984640139181465,175.0984640139181465,38.5056877809808142,116.2149003322144409,29.0806769557393849,29.0806769557393849,3.5323200067889529,16.9727082069158719,0.0000000000000000,-1.4020751365382054,0.0000000000000000,-0.1200465009102806
1,285.8350036371392662,386.1510703548084962,18.3730974796217481,83.2960946513520923,-1.6691921309735556,0.3671102908092761,73.4398598372162468,1.9375090515256987,138.2232398094346877,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,76.7744316491811531,76.7744316491811531,12.7879306946747349,47.5854544268026061,179.6358451745009290,179.6358451745009290,38.7884904509237316,117.0430828674372918,29.4247268134571840,29.4247268134571840,3.7898659928142395,17.1396170133887011,0.0000000000000000,-1.5502413493122458,0.0000000000000000,-0.1189507816613098
2,290.3311020132217664,390.9642650444143328,18.2716812852499295,83.5623133981136021,-1.8339945600214587,-1.3109691686581220,73.7931086119817650,2.0324198551552541,137.4034131015733919,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,77.4532182389094714,77.4532182389094714,13.0426582129382780,47.6335955855250575,183.4088889432344445,183.4088889432344445,38.6283075499773076,117.9120814041850878,29.4689948310778647,29.4689948310778647,4.0018443930034513,17.1301221945053896,0.0000000000000000,-1.7157345881610275,0.0000000000000000,-0.1182599718604310
3,292.9883484112443170,395.6129139791652278,17.9965131379764571,84.0267454241520255,-2.0232585779945973,-3.1711766224867133,73.6764900351968066,2.1871565144082394,137.5461489832911468,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,77.5928496512035508,77.5928496512035508,13.1161500185972226,47.4604352443285791,186.2231629138346989,186.2231629138346989,37.9398584772441367,118.6721014660793259,29.1723358462060425,29.1723358462060425,4.1715896409632469,16.9056129398073587,0.0000000000000000,-1.9052684408047278,0.0000000000000000,-0.1179901371898697
4,297.5293878341098548,401.5384634829611628,17.8818925825574162,84.2869790055098207,-2.1688716028511630,-5.2297141856676612,73.7964961498080640,3.5678407738055196,137.2288155816256392,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,78.3468569595742110,78.3468569595742110,13.3689063776267574,47.4348729356783707,189.9177802932274801,189.9177802932274801,37.7839150595021636,119.3616115522234935,29.2647505813082134,29.2647505813082134,4.4070930914146320,16.8541498665633611,0.0000000000000000,-2.0513590276601112,0.0000000000000000,-0.1175125751910519
5,306.7024173677880867,414.3295536626825424,18.1835720577357947,84.1094926100045512,-2.2930646814706157,-7.4259988318135219,73.8438624433144497,2.4366709377487306,137.0004862114962236,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,80.4318585200031890,80.4318585200031890,14.0918599842063177,47.7817420218327840,195.9794756176985118,195.9794756176985118,38.9892591622935569,120.2728264198490677,30.2910832300863611,30.2910832300863611,4.7809331185863488,17.2972468140925706,0.0000000000000000,-2.1763548291010539,0.0000000000000000,-0.1167098523695614
6,313.3055361213289984,422.1294712516543086,18.1832121587107309,84.2043289200732943,-2.3875410915494046,-9.7719247638316222,74.1080678390317047,2.4653086677134395,136.4203252332350189,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,81.8519691410291159,81.8519691410291159,14.5122737776513144,47.9676024803091252,200.6940368720340473,200.6940368720340473,39.3513374430579148,121.1038030900167541,30.7595301082658494,30.7595301082658494,5.0583938815773930,17.4015262913699651,0.0000000000000000,-2.2713006266712639,0.0000000000000000,-0.1162404648781412
7,320.0867366721471399,430.2053046284032689,18.1623095912720309,84.3040734473184301,-2.4663830504607827,-12.2253489144676237,74.3443104445415486,3.5805578018675233,135.9131646917893477,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,83.3537725378746188,83.3537725378746188,14.9349258374804030,48.1763047319894682,205.4860690991347667,205.4860690991347667,39.7032754658273603,121.9675065196116606,31.2468950351377828,31.2468950351377828,5.3453271400826683,17.4897025201527754,0.0000000000000000,-2.3504918795614289,0.0000000000000000,-0.1158911708993538
8,326.3112017957156468,442.6697073152290045,18.1153732250571942,84.5007367180228215,-2.6161099541313595,-14.7892857307967223,73.7067691077059095,3.7122319974560281,137.1002826207928535,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,84.5845533671245136,84.5845533671245136,15.3504495179942371,48.1677763974427933,210.0510169454258858,210.0510169454258858,39.9327226152435060,122.7590125052114018,31.6756314831652901,31.6756314831652901,5.6380223965373792,17.5201273187073525,0.0000000000000000,-2.5001341354831479,0.0000000000000000,-0.1159758186482119
9,333.8843170999083441,456.4951480561640551,18.1405342068786410,84.5989628771124700,-2.7394970942715640,-17.5048147518909190,73.1804311760336219,2.9299651167778995,138.0929818684971337,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,86.2351153541172408,86.2351153541172408,15.9140403894792897,48.3372631146966114,215.3037631043806925,215.3037631043806925,40.4293465189874368,123.7756222150309497,32.3454386414104036,32.3454386414104036,5.9911612160761791,17.6687216336412192,0.0000000000000000,-2.6234797186591750,0.0000000000000000,-0.1160173756123885
10,345.8067265375693751,468.8864239128151326,18.3974196888942885,84.3180765313062608,-2.7154962297262615,-20.2867908465630293,73.8391833591309421,1.9144935526078433,136.7416304127494016,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,89.3520482441837913,89.3520482441837913,16.8603083785402212,49.1419708425468968,222.7095992367489998,222.7095992367489998,41.8784522789257991,125.2175055484652546,33.7450790566365697,33.7450790566365697,6.4844750858518854,18.1792493149984189,0.0000000000000000,-2.6000984057244785,0.0000000000000000,-0.1153978240017831
11,359.5725635666454991,477.4538295612851471,18.6806832132435723,83.8981360867580435,-2.5788193087983009,-23.0220104798544192,75.4305207781299885,2.9971088847689176,133.6719802267961938,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,93.2081470076275167,93.2081470076275167,17.9146632095207821,50.2048808314363839,230.9607203413504237,230.9607203413504237,43.6414812390550111,126.6098418851022984,35.4036962176675729,35.4036962176675729,7.0232852545967921,18.7491852326478927,0.0000000000000000,-2.4644316274358262,0.0000000000000000,-0.1143876813624748
12,375.8397370281617782,491.5547130321326108,19.1185248688399021,83.3481218646979016,-2.4666467416385043,-25.6117110226623801,76.6326871704768422,2.8905604652555095,131.4091457463364350,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,97.7368915335074178,97.7368915335074178,19.2399480245364813,51.3335814592093556,240.5408132020655785,240.5408132020655785,46.1186887879914238,128.0460785563347486,37.5620322925887677,37.5620322925887677,7.6462900564522194,19.5154924961945682,0.0000000000000000,-2.3533057869681042,0.0000000000000000,-0.1133409546703999
13,386.4764326006767874,503.3192436197920756,19.0990178812264091,83.3388407557192181,-2.4378586444288812,-28.2147083540804751,76.9498667080983836,2.9068552728461539,130.8492713114442267,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,100.5587139968506420,100.5587139968506420,19.9503583484265192,51.9438781064331891,247.3072187894704825,247.3072187894704825,46.9991996398052336,129.4284485634949533,38.6104998143556628,38.6104998143556628,8.0569656525838358,19.7099622389527838,0.0000000000000000,-2.3247337060284994,0.0000000000000000,-0.1131249384003821
14,398.6781841703340206,515.8071819905943585,19.1388494077195261,83.2412247260778884,-2.3800741407022090,-30.7799073037782698,77.4462281789588758,4.1789165881912060,129.9790459056604561,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,103.8885234537863624,103.8885234537863624,20.8156576743411570,52.6195541317706912,254.8676693612462714,254.8676693612462714,48.1481441543798994,130.7146050780576445,39.9219913553013512,39.9219913553013512,8.5615087548044375,19.9692331421620182,0.0000000000000000,-2.2672592225220711,0.0000000000000000,-0.1128149181801377
15,426.8647564392856566,540.0112123314779637,20.1778725422455238,81.9908093451814324,-2.1686818937228827,-32.9973241547211771,79.3239039679032487,2.1765025918823788,126.6332783570933458,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,112.0307587730803931,112.0307587730803931,23.4273545646847126,54.5666646836857296,270.5018780542429226,270.5018780542429226,53.6127425087707365,132.5039892142463600,44.3321196119623337,44.3321196119623337,9.6609991260408670,21.6102072193812624,0.0000000000000000,-2.0576618735482812,0.0000000000000000,-0.1110200201746014
16,450.0838850222066299,552.2625804264175713,20.7341117395303698,81.1866481868716363,-1.9207599321336346,-35.1342946389144686,81.8226869057951802,3.2156593555254576,122.5589620645485951,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,118.9488732802076640,118.9488732802076640,25.3461127851613064,55.9772234363934018,283.4558267722932783,283.4558267722932783,57.7242442265347364,133.4922594186365927,47.6791849697056378,47.6791849697056378,10.4136139243724557,22.5625306370698091,0.0000000000000000,-1.8113354763393734,0.0000000000000000,-0.1094244557942615
17,466.0757776258538456,567.2631661900290965,20.8302176198090159,81.0023448727937847,-1.8325624978392105,-37.2352334952343895,82.4746623394553495,3.2335851365461687,121.5623211291370040,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,123.4929084733072671,123.4929084733072671,26.4493516957201003,56.5165767236540688,292.9712479676429098,292.9712479676429098,59.9619214914617018,134.1292155666969563,49.6116211849036617,49.6116211849036617,10.8272394387231170,22.8204349973988094,0.0000000000000000,-1.7236420740878879,0.0000000000000000,-0.1089204237513228
18,482.3706600523510701,582.5742777143290141,20.9098271625205712,80.8359213073400582,-1.7457484746412479,-39.2711121372722047,83.0989314125371408,3.2334103895810484,120.6261632694701547,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,128.1353317969092984,128.1353317969092984,27.5613153775421260,56.9841033421830829,302.6771805513188269,302.6771805513188269,62.2115554396627459,134.6267319334709214,51.5581477041229945,51.5581477041229945,11.2418399239589490,23.0341461791481024,0.0000000000000000,-1.6373133879768687,0.0000000000000000,-0.1084350866643793
19,499.0463397378237005,598.1562665125154581,20.9776969224205061,80.6813004621008503,-1.6589973888849838,-41.2400649059213293,83.7157077806627399,3.2107392778277122,119.7173613552627245,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,132.9012992746847033,132.9012992746847033,28.6906622982782160,57.4015040286523472,312.6127339572719848,312.6127339572719848,64.4892302618426783,135.0217754183675254,53.5323065058670124,53.5323065058670124,11.6615519386398976,23.2159532883633268,0.0000000000000000,-1.5510361841207283,0.0000000000000000,-0.1079612047642555
20,516.1787484891393660,613.9295448369311998,21.0376638760311963,80.5331698177779742,-1.5708336977894000,-43.1388746012483537,84.3483871203678177,3.1547632623040167,118.8003566073932120,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,137.8165793478293892,137.8165793478293892,29.8449611416362615,57.7878815790531348,322.8150243330067042,322.8150243330067042,66.8112762834531111,135.3448217477395303,55.5471448083032797,55.5471448083032797,12.0896929433956863,23.3762177807779175,0.0000000000000000,-1.4633412492254236,0.0000000000000000,-0.1074924485639763
21,533.6531094487047540,629.6565115459969775,21.0844046374693050,80.3965674838702000,-1.4809721249706518,-44.9682470334612319,85.0078270448615143,3.0809499797457063,117.8611369468070507,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,142.8504599629793859,142.8504599629793859,31.0103938205299379,58.1247873504191475,333.2230333766240165,333.2230333766240165,69.1443277648431973,135.5611666703827893,57.5796161091014156,57.5796161091014156,12.5226176345863554,23.5015868391796516,0.0000000000000000,-1.3739392067049896,0.0000000000000000,-0.1070329182656622
22,551.5284188373016150,645.2428994748921696,21.1213682921412769,80.2670260654503949,-1.3883943609026423,-46.7237073148279123,85.7140960280819826,3.0259017002461253,116.8724769369255512,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,148.0234392544763296,148.0234392544763296,32.1924203794026624,58.4279065119162340,343.8643630476417457,343.8643630476417457,71.5011637444540185,135.6964387957952169,59.6406165351835895,59.6406165351835895,12.9645028479133444,23.6010956480292471,0.0000000000000000,-1.2818165796359511,0.0000000000000000,-0.1065777812666913
23,569.8456066421088053,660.7996298578065080,21.1520635973468920,80.1421781344730420,-1.2942417348394286,-48.4009845363596583,86.4565495672547684,3.0052118903589164,115.8516279722669822,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,153.3448988939770175,153.3448988939770175,33.3966116180277481,58.7042798792488796,354.7604333531007796,354.7604333531007796,73.8947451761262073,135.7688308198002858,61.7402743950310082,61.7402743950310082,13.4190856108784988,23.6820425250780850,0.0000000000000000,-1.1881201464206026,0.0000000000000000,-0.1061215884188262
