period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-0,tbsf0-0,tbsm1-0,tbsf1-0
0,277.2505615676917046,351.0941193171008763,18.1929222605529866,83.1574509156169768,-1.3503731761692042,2.0507321552421414,79.0983310974330891,2.5139889441943897,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,197.0508212323931616,75.8125631438209666,12.9404553573912207,47.6995164643369165,296.2182171260101882,189.5244432833936230,38.1544190911651739,124.4654020607766540,27.5661172207161442,12.2344233319261857,1.4041420681008265,6.9739331565522020,-0.6777588202932461,0.0309705449740033,-0.5970928004156715,-0.1064921004342901
1,283.2753591135292481,357.4466581675998214,18.2877672180900568,83.0804936132344949,-1.3682608313237818,0.7019767705530803,79.4622260785833134,2.1119797751235181,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,201.0760255399402752,77.3612045238677979,13.4329248255646192,48.2178946840634453,302.8645481614212827,193.7768562564538968,38.7326412102718436,125.2019522040573918,28.1004394331916068,12.4715667820078497,1.5319352358545513,7.1364352391271293,-0.6974807701866540,0.0277002048895060,-0.5927392082611733,-0.1057410577654604
2,287.8042412757940838,363.7473971551243039,18.1939362373028324,83.2060473355216743,-1.3999835599603403,-0.6689945493035246,79.4119051587686329,1.6452313195056911,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,203.8798505823813798,78.4399372170119875,13.7160490666242225,48.5620538241130788,308.1840647827277735,197.1803553253886037,38.7848850079374401,125.9145003587511695,28.2660371473640808,12.5450625348468758,1.6384996227590978,7.1922996960618502,-0.7273003668537085,0.0206057680649140,-0.5879901042890505,-0.1052988568824954
3,290.4882712892883205,369.6705943372686534,17.8956051685991504,83.5523058164815353,-1.4479109867049651,-2.0816789409537031,78.9404793573445858,2.1273017813423278,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,205.1941881375876449,78.9456103132882703,13.7675925962656827,48.6516724804002436,311.8336437003797528,199.5154055437637908,38.2146716148487187,126.4345201162254142,28.0089086718909037,12.4309435026145252,1.7250677831795764,7.1191467936572836,-0.7687456457890980,0.0088347064875456,-0.5828209620750069,-0.1051790853284058
4,295.0351344121700095,376.6126928056510224,17.7712168923097877,83.7070425289901436,-1.4782594228174739,-3.5464338570107974,78.7578690966247734,3.3433082768074218,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,208.0373954197455362,80.0394947754867587,14.0167184267662090,48.8598515282752075,317.1728338850952014,202.9314920260880513,38.2293794331247412,126.9814317001863344,28.1631873059883695,12.4994156093500095,1.8415216930905698,7.1315874291393522,-0.7962203233893795,0.0016987424634802,-0.5788810831669186,-0.1048567587246560
5,304.2203594158582405,389.7956384984714759,18.0988332108807484,83.4004405340767363,-1.4992737463695049,-5.0305552815528110,78.5466966958878174,2.6303150550996968,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,214.5592612119835110,82.5486919414627778,14.8025531913514445,49.4974328667394516,326.8308070143231703,209.1107945629885876,39.7765091359896132,127.9586697583298474,29.3692861488836066,13.0347076748222364,2.0204438552105786,7.4098697991277689,-0.8208742157951338,0.0010028967508869,-0.5751913350056518,-0.1042110923196062
6,310.8288891296779184,398.1954017162577202,18.0920286126214549,83.4201641689230939,-1.5121927828594481,-6.5557346140095225,78.6004021639595578,2.6567255236291221,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,219.0436086918129206,84.2739822718819340,15.2169238368406887,49.8636335543268387,334.1279457949833613,213.7796031811228374,40.3403093576436618,128.7465889970200692,29.8989549633169780,13.2697858488578380,2.1523135592071316,7.4886721141800940,-0.8336594670858042,-0.0018617579788826,-0.5728080040594216,-0.1038635537353398
7,317.6009796895972386,406.6608941315606671,18.0583018012777963,83.4632278343710112,-1.5215296368733984,-8.1026202016553803,78.6706074737509482,2.5851873321753205,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,223.6504503047853802,86.0464005165395349,15.6186838035928854,50.2194449290659861,341.6089254329394294,218.5660356796173005,40.8762533603909546,129.5760590805159325,30.4200321711258610,13.5010508869445598,2.2873790637919575,7.5484798188661859,-0.8428585960781120,-0.0041332312409713,-0.5709340425088193,-0.1036037670454957
8,323.8077145206610794,419.0176998354343141,17.9737533442454982,83.5901775997757142,-1.5639309451608978,-9.6763932329339912,77.9015446598454133,2.8728892777596160,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,227.7169584195711138,87.6109329620220478,15.9750673574249085,50.4127212872606165,348.6708167072537776,223.0843297443031759,41.2498555370870577,130.2829057397263739,30.8443331935376577,13.6893646159616402,2.4240005598974474,7.5669170617651549,-0.8811932166385373,-0.0118881762747378,-0.5671964718927840,-0.1036530803548388
9,331.3298750675896827,432.4900019384071470,17.9631361242850716,83.6337864164417937,-1.5969225417880062,-11.2933672518854973,77.2785008477575559,3.7406070647187040,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,232.8186906331380897,89.5737534829665663,16.4690373273301880,50.7641778364073488,356.9933543573375800,228.4092025024368411,41.9268070490703977,131.2788787498676299,31.5091743793852821,13.9844351349989360,2.5896514360952483,7.6372963401202316,-0.9119642378257369,-0.0171414528260289,-0.5641704569870059,-0.1036463941492345
