period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y,va,i,l,tbsm-1,tbsf-1
0,102.1759742360344916,100.1742270151896150,17.2957277845871076,78.1120114699660490,4.5922607454467794,-7.1874774725321791,121.6436549156616564,2.1628867498411530,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,183.8736699177576668,102.3893560900839788,17.3258616148615197,68.4040048610219742,4.6218564895831360,-0.0295957441363567
1,104.5556771168876935,102.4954151089991967,17.4240761021329185,77.9697699627920287,4.6061539350749490,-2.5913039017706501,121.8108708533195284,2.2759363696960744,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,188.1611650837196237,104.7768315207889032,17.8588791297890666,69.3493092028765972,4.6325353308631909,-0.0263813957882413
2,107.1505614625366150,104.9936431996835040,17.5243945427457142,77.8209937990770300,4.6546116581772878,2.0116740984809156,122.4411959327567274,2.3402599683434611,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,192.8506033574869036,107.3881274474432530,18.3995002791152373,70.4347708365159235,4.6701922948467969,-0.0155806366695086
3,109.8850994974224164,107.5913731320137714,17.5734540299677526,77.6852352756857414,4.7413106943465273,6.6575739245096992,123.5676102412676869,2.4573105077209778,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,197.8088631612743882,110.1491156240767850,18.9075204975655105,71.5831264424586067,4.7374750006342019,0.0038356937123256
4,112.6759615398129739,110.2735495341912895,17.6218954561020062,77.5843712456354666,4.7937332982624961,11.3949232763162627,124.2593713958146395,3.5507355225421477,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,202.8562790672645519,112.9597500382609070,19.4322896146480417,72.7001858816682045,4.7782033089406974,0.0155299893217990
5,117.2494840581294113,114.7013276885810882,18.1646772215482208,76.9934502815798538,4.8418724968719467,16.1163580442451675,124.9048597326933532,2.6701859974421538,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,211.1132875915038198,117.5576339354242918,20.8351259434610654,74.0714862686610331,4.8156602893134473,0.0262122075585000
6,120.2172528948379266,117.5845391556001971,18.1923242279254502,76.9453301024197316,4.8623456696548724,20.9902294337239574,125.1693980493622149,2.6761697365803139,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,216.4666645421375222,120.5386415975221155,21.3913606050987397,75.0628758832618530,4.8314940111172167,0.0308516585376569
7,123.1388065482584722,120.4280099640286039,18.1822049386832312,76.9427331934989809,4.8750618678177551,25.9176833325919560,125.3518704368827770,3.5418883806001000,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,221.7342257920867610,123.4718631119924339,21.8964675752375371,75.9371130433621175,4.8414831084497685,0.0335787593679868
8,127.8432724497927779,124.9295347362015605,18.5534701445745007,76.4818590015752306,4.9646708538502322,30.7345512846464892,126.6104916149110409,3.6535046290898432,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,230.2556717665783879,128.2169980009348649,23.1787639290369789,77.0717704848918430,4.9115656775419430,0.0531051763082890
9,132.7882047804107231,129.6783650083614532,18.9282475323437680,76.0356584955831067,5.0360939720731333,35.6484244512088679,127.6537156011264358,3.0410383332898583,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,239.2058347745102367,133.2008623448255094,24.5458419246789141,78.2362486831284087,4.9676704641981866,0.0684235078749467
10,136.2412913802765502,133.1076488847551218,18.9714144518118175,76.0530491144990037,4.9755364336891459,40.8417102466909157,126.9553139160049966,2.2210100380468001,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,245.3959888553795849,136.6478261799526592,25.2524037369893541,79.1566608204219335,4.9216772575264320,0.0538591761627140
11,137.7348597339438641,134.7420856058362801,18.6032528037169733,76.5968197417327445,4.7999274545502892,46.2667402783302535,124.8981322731767278,3.0432017717919368,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,247.9978994894577795,138.0966902535656402,25.0664108182544716,79.5668403657137873,4.7878759972816329,0.0120514572686560
12,141.0316108772394443,138.1147821963021727,18.6634354378008922,76.7025178781227623,4.6340466840765302,51.3357565508629534,123.2745084070762971,2.9482586439267600,100.0000000000000711,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,253.8647002795460423,141.3635960344455782,25.7769632052661599,80.3264035798848965,4.6640953700849099,-0.0300486860083794
13,144.3733291710271942,141.4391781039453804,18.6343496452407926,76.8260526860604926,4.5395976686987751,56.2656349227459813,122.7314428537771249,2.9526386241870650,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,259.8567860654345623,144.7002662903233556,26.3562709832440341,81.0780056463477621,4.5969817562550599,-0.0573840875562846
14,147.6752252615038401,144.7550424137053540,18.5968580936843573,76.9835638269831861,4.4195780793324211,61.1666166869718992,121.9132529740396507,3.9613442675030530,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,265.7646115963756870,147.9900165426361411,26.9198898211293773,81.7429922001576159,4.5105831283187579,-0.0910050489863371
15,152.8257929556525596,150.0789873016161664,19.1088205240662639,76.7344899617102669,4.1566895142234905,65.7655007519873891,119.3337763114679717,2.4180767762021382,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,274.9233254764039884,153.0900116491070548,28.6783243278020272,82.5942436709643886,4.3141568130129766,-0.1574672987894859
16,154.2822781182377128,151.8799722216893429,18.8199549490510947,77.3636592873273230,3.8163857636216290,70.7637796743165381,116.1219657915788872,3.1913800515360302,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,277.4154226334097757,154.4777265042784222,28.5837423487532440,82.7335041662275756,4.0606541217738492,-0.2442683581522203
17,158.0998362174674412,155.7773962378399517,18.9159722256486127,77.4550401270497417,3.6289876473016354,75.0348176704061274,115.0042721471521361,3.2051925678963533,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,284.2374807454869483,158.2765637038467048,29.4668090061883809,83.2322768963474857,3.9272927529931110,-0.2983051056914756
18,162.0269054648757674,159.7856374841553304,19.0100205216125957,77.5434190901865463,3.4465603882009241,79.1485933143117393,113.9461043118980541,3.2042769243448843,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,291.2584757881052155,162.1861781790833845,30.3752824763274454,83.7157282149733248,3.7978330404664398,-0.3512726522655155
19,166.0325415037600010,163.8769119939128416,19.0973584651047688,77.6349259198653670,3.2677156150299038,83.1136258723113315,112.9241768677192823,3.1849737249435739,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,298.4219898978016090,166.1751538565803799,31.2961613250217958,84.1592792322919934,3.6711397524190876,-0.4034241373891835
20,170.0700981248918140,168.0088175338375152,19.1718605087444836,77.7375670933949863,3.0905723978605222,86.9404930380922991,111.9124270030784487,3.1382644966598150,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,305.6433929388597335,170.1963647660685410,32.2104161399783777,84.5299335168519121,3.5457259954617713,-0.4551535976012487
21,174.0648541730224395,172.1095645868802819,19.2231571900335929,77.8628673188129738,2.9139754911533751,90.6440451089056722,110.8990476897224227,3.0762789070984287,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,312.7882292927793628,174.1749398060623832,33.0848921396183755,84.7789931585423915,3.4207186467154460,-0.5067431555620711
22,177.9674339282638016,176.1339645883356582,19.2473287561468105,78.0165043485548182,2.7361668952983669,94.2327037193427515,109.8634811149198072,3.0280937536432129,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,319.7674461559772112,178.0612902604559054,33.9010832155521626,84.8836425790262865,3.2947633946067740,-0.5585964993084066
23,181.8212005698614178,180.1237737578097153,19.2535438876960860,78.1889747631597345,2.5574813491441839,97.6922417319511425,108.8170188332550623,3.0068036281297283,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,326.6597482625181215,181.8992425620698157,34.6802098326343113,84.8910630366629277,3.1681897108733197,-0.6107083617291359
24,185.7125683985447608,184.1617039870947110,19.2559808714193395,78.3648175867435128,2.3792015418370696,100.9998677550804445,107.7797866727759413,3.0011454828135609,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,333.6213435857717400,185.7757805287427573,35.4621424922348751,84.8721426634030820,3.0420357899028332,-0.6628342480657636
25,189.6935046918201806,188.2975471308556052,19.2622309756965890,78.5354731714901391,2.2022958528133483,104.1428202662308564,106.7633934417800390,2.9416283032578372,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,340.7461440371905610,189.7431986523784246,36.2703084499165413,84.8642043678087674,2.9170502494834332,-0.7147543966700848
26,193.5769382865218518,192.3551430104145084,19.2467788824698154,78.7300249208703491,2.0231961966598218,107.1641302263445965,105.7196257230242651,2.9445390956763129,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,347.6972498911032403,193.6138955978109379,37.0221690442730633,84.7400039299203485,2.7904176535785052,-0.7672214569186835
27,197.5817778426518316,196.5416035384546092,19.2400604105268513,78.9139098622598851,1.8460297272133226,110.0081479025075026,104.7049828273846259,2.9431436429051550,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,354.8695797056281549,197.6077802671242978,37.8147232526168366,84.6555614571317960,2.6654020403829333,-0.8193723131696107
28,201.6934805033358202,200.8428747122454183,19.2388718429536851,79.0899896522104484,1.6711385048358653,112.6802240210787289,103.7179625498359599,2.9306245742283910,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,362.2371064026977479,201.7103595805565419,38.6399032715929209,84.5955433097754508,2.5422093718463481,-0.8710708670104831
29,205.8733166675191342,205.2215057318809954,19.2371710635382769,79.2643054827538833,1.4985234537078307,115.1912552650001089,102.7537761147981996,2.9146796505593153,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,369.7303416614408320,205.8829392300375218,39.4788121168109640,84.5316951863032386,2.4207883811629198,-0.9222649274550890
30,210.1101827785396949,209.6662373702086200,19.2329952078647750,79.4384449327740327,1.3285598593612011,117.5450949322649734,101.8134541581042640,2.9118651129012463,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,377.3295282495289484,210.1145174756381948,40.3250973859225965,84.4567472296821080,2.3013906304249883,-0.9728307710637869
31,214.4544115562031266,214.2249453160343933,19.2323207857716980,79.6053352151320723,1.1623439990962503,119.7318038129145208,100.9064975563683078,2.9012620196009919,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,385.1252511701914614,214.4555362330293917,41.2004286863237255,84.4012387989519226,2.1848236723161909,-1.0224796732199410
32,218.8779278996409232,218.8704552061166737,19.2307548148534657,79.7694151827573279,0.9998300023890774,121.7611885878163775,100.0285585760277769,2.8983838890900726,99.9999999999999289,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,393.0671079181554433,218.8779290582089345,42.0904406028420155,84.3454728778778389,2.0710077612351769,-1.0711777588460996
33,223.4116808328024320,223.6324182841947561,19.2316666086716808,79.9266481743155737,0.8416852170126543,123.6293022458833235,99.1836799907241726,2.9084277029552519,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,401.2107098304635997,223.4126629134050290,43.0082411133264770,84.3063772085140073,1.9604130528452179,-1.1187278358325636
34,228.1087738607623123,228.5617624456382657,19.2407037226233548,80.0704191355318073,0.6888771418448296,125.3286211579562064,98.3786953407682034,2.9258455491715463,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,409.6513325180558240,228.1127916614115918,43.9768915353714576,84.3107841463352230,1.8537327367390344,-1.1648555948942048
35,233.0026287321337009,233.6905747301208862,19.2606237117967254,80.1972850259847547,0.5420912622185007,126.8579464340334653,97.6167508850937509,2.9489038790071920,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,418.4488033935368207,233.0116299701518301,45.0102622487037252,84.3707044690036128,1.7514369836060300,-1.2093457213875294
36,238.1217361140481898,239.0464616734707874,19.2934459910232974,80.3047031715867661,0.4018508373898953,128.2183430910662878,96.8990895099523044,2.9234385175460620,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,427.6540411037418608,238.1375316951003640,46.1202999764233041,84.4935268006734788,1.6538695203001927,-1.2520186829102975
37,243.0022965358857050,244.2205871110222404,19.3399887141640399,80.4001118571541298,0.2598994286818797,129.5756797254385617,96.0482767695042412,2.9224709178861552,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,436.4381368823439402,243.0289221318440696,47.2322339849368689,84.4272483830704488,1.5536715474956442,-1.2937721188137645
38,248.0983565079121149,249.6015060387129836,19.3884538983612948,80.4862819186425185,0.1252641829962373,130.7491857815777507,95.2805560849372597,2.9329275012250688,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,445.6126792100063767,248.1377312493796978,48.3938729279313407,84.4181797812456693,1.4591268228841214,-1.3338626398878841
