period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-1,tbsf0-1,tbsm1-1,tbsf1-1
0,101.7105142926483694,100.2459242830486232,16.3958019101570720,78.7992857999942657,4.8049122898470422,-7.1823368894982336,126.5402995869471994,1.8455590631073493,98.6445816484291953,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,57.6915880986833756,19.7815238212635585,4.3954389136996044,13.9402705508234916,120.7377845957606297,78.9172914791908369,11.3199315179677082,52.0523352286330550,7.1373070308284960,3.2239542676383786,0.4079247012944709,2.0197236398079386,2.3975342879580448,-0.0547943748327671,2.0875549375813351,0.3746174391404293
1,104.0056761723398040,102.4792592043918518,16.5776461771600268,78.5630030509017701,4.8593507719371480,-2.3685338493949954,125.7573405800642945,2.0184011650254297,98.7544722524956455,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,59.4595458281611258,20.3877282800631470,4.2956208188276293,14.0812201921595310,123.1934303235115920,80.5223640777595904,11.9177245080336345,52.8337776263015044,7.3502560201125160,3.3201443011939062,0.4615163701357852,2.0908815909590350,2.4742134090485526,-0.0395045550095306,2.0554358506303299,0.3692060672677970
2,106.4989250645993195,104.8901394392489408,16.7379106765582186,78.3461284805057687,4.9159608487937687,2.4826850852138884,125.6304144526517348,2.1388582306363313,98.8233649085121044,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,61.3292144724457344,21.0288077865160048,4.2439401471513998,14.2785874407360467,125.9020808223379504,82.2928070393131605,12.4760862459176547,53.6871267037580679,7.5738935143174908,3.4211623813650189,0.5139978618955195,2.1597315379512110,2.5564379495203804,-0.0226932773376681,2.0180265229437606,0.3641896536672956
3,109.1181022196080335,107.3994216438805580,16.8435194341651382,78.1673833157282871,4.9890972509430869,7.3803330907588744,126.1764670099211259,2.2454194167886188,98.8569052666831283,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,63.2731996562579440,21.6953692470184620,4.2168547802899008,14.5123316060338237,128.7825098985800309,84.1755288546587366,12.9736732023519235,54.5632719864535574,7.7906721082563140,3.5190822648789259,0.5658491846935805,2.2184560725121707,2.6534265720546428,0.0008770319709403,1.9751802420213185,0.3596134048961856
4,111.7993945732143999,109.9881821994383273,16.9456616751746694,78.0194521587485923,5.0348861668571603,12.3495029493893043,126.3713967836485494,3.3380623274759769,98.8923695132352663,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,65.1650728911279629,22.3440623528205933,4.2239286363180506,14.7335904358240928,131.7678442885618324,86.1268194552427531,13.4550246914747262,55.4268485729642677,8.0181111739943827,3.6218175323189783,0.6199546746317712,2.2744995042923768,2.7187656389133714,0.0152696461746519,1.9451366122765323,0.3557142694926048
5,116.3075366374254855,114.4548853763792664,17.6664703132969265,77.2959028610586074,5.0376268263764192,17.2636029025887048,126.6347980181582358,2.4825643714500911,98.8890385177888334,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,68.3997352164347916,23.4531763840091578,4.4408266963941676,15.1260520081349839,136.5843542045129198,89.2750130238273414,14.6563711338127494,56.3128979596570858,8.6314070267229361,3.8988460772854152,0.6880122731890853,2.4435209767401056,2.7710867749664323,-0.0019114470625553,1.9179195298214098,0.3505319686511321
6,119.1856528484044162,117.2520842063245965,17.7375990415134410,77.2049684016034377,5.0574325575661794,22.3096398291054001,126.5645838650024047,2.5095522212355892,98.9202572644100968,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,70.3050872478228968,24.1064911537867772,4.4725449656875789,15.3182102827198552,139.8400966747813072,91.4030492335986935,15.1654180118999360,57.0903683394083075,8.8790563870568686,4.0107104273375969,0.7259673004316777,2.4897404192923389,2.8031924913344142,0.0043611501346802,1.9018440786951472,0.3480348374019379
7,122.0185819306637995,120.0025414082314512,17.7569160723734534,77.1714671344490029,5.0716167938152674,27.4108690555560699,126.4937637799240662,3.4447039243138411,98.9473954922338947,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,72.1221910227711049,24.7295470063724387,4.5106692885140847,15.4804961840044655,143.0849828613422972,93.5239894998045145,15.6070649985489496,57.7881173457854658,9.1056102482635914,4.1130458438374786,0.7659288403851108,2.5217997044010576,2.8259593849492251,0.0099966692474726,1.8894517188177236,0.3462090208008474
8,126.6585435324902988,124.5499615370080733,18.2631923697254273,76.6308573239934958,5.1059503068751289,32.3745965294635809,127.6654013006157413,3.5683766802961481,98.9051062615165790,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,75.4138702537262589,25.8582112235494321,4.7065151506148153,15.8386119206219753,148.1250747067879843,96.8183219126496510,16.7047517954640625,58.4890670424915342,9.6775395876438886,4.3713889453067551,0.8215824009826651,2.6466578508864700,2.8978320641765611,0.0083769359814121,1.8570231247493050,0.3427181819678504
9,131.5586839403540864,129.3697331293571438,18.7705599500383506,76.1008417135100643,5.1285983370053057,37.3717989038923548,128.6860938516533963,2.9058623923060578,98.8633386047967946,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,78.8434072701745805,27.0341446728199308,4.8879115641707971,16.2049075274659877,153.4630745288431228,100.3073745674039827,17.9222247738113332,59.2121780437600123,10.2868597192862232,4.6466216388536736,0.8616501909753165,2.7756987223515903,2.9556218550900852,0.0026210330227889,1.8306783625813803,0.3396770863110520
