period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-1,tbsf0-1,tbsm1-1,tbsf1-1
0,103.5455854041288148,104.0265266363698515,18.2598256092459224,76.1576989237356514,5.5824754670188863,-6.9213115469749535,137.6965980463251356,1.7846520271454391,97.5055960816527971,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,22.0864164273645507,22.0864164273645507,6.4319974812452587,16.5557506278809328,73.3180218552318337,73.3180218552318337,10.3696675738460549,47.8966681438047104,8.1411471215324198,8.1411471215324198,1.3347130407497798,5.4364595975842009,0.0000000000000000,5.1421974828254040,0.0000000000000000,0.4402779841934824
1,106.2971155500589333,106.6882231660086688,18.2636304231913549,75.6948374481838613,6.0415321286241257,-1.3287317712067057,136.1658372192646596,1.9375090515256987,97.8113492284543753,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,23.3748768097082582,23.3748768097082582,6.3871054313063844,17.0692283910898155,74.5808988746578052,74.5808988746578052,10.9184606135250348,48.4525157980401460,8.3413398656928717,8.3413398656928717,1.3937099098410801,5.5279042560079548,0.0000000000000000,5.6109975270066315,0.0000000000000000,0.4305346016174946
2,109.2738672337200114,109.5711374261071143,18.2251610726599331,75.2309045413837651,6.5439343982149838,4.6777108421089366,135.5140092089345103,2.0324198551552541,98.0406699928202841,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,24.7173898156616865,24.7173898156616865,6.3562097875577210,17.6569814328250558,76.0071659634836578,76.0071659634836578,11.4403045803039376,49.0831621289115176,8.5493114545746600,8.5493114545746600,1.4500648491905370,5.6178390684075561,0.0000000000000000,6.1219672263056211,0.0000000000000000,0.4219671719093624
3,112.4078761391586738,112.6083122842935325,18.1173320608395159,74.7746027747250395,7.1080651644348221,11.1409042451261389,135.7285070885270102,2.1871565144082394,98.2041277236580328,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,26.1129527099043948,26.1129527099043948,6.3141474638437680,18.3096729630045374,77.5453802648383288,77.5453802648383288,11.9199733668490122,49.7408873546164401,8.7495431644159503,8.7495431644159503,1.5041227250102387,5.6914182047839983,0.0000000000000000,6.6935449478753171,0.0000000000000000,0.4145202165595059
4,115.5517948926501504,115.6456768700521138,18.0397210749450494,74.4296440196164326,7.5306349054385597,18.1583216545800816,135.5077886042155626,3.5678407738055196,98.3596240724178443,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,27.4144699646768153,27.4144699646768153,6.2896298673060267,18.8711282208446960,79.1766836378483987,79.1766836378483987,12.4046858495387227,50.4129513152115933,8.9606412901249364,8.9606412901249364,1.5622755778693203,5.7676945070958832,0.0000000000000000,7.1226143018222023,0.0000000000000000,0.4080206036163577
5,120.4346759699524796,120.5451181528402032,18.3802494240454664,73.7381832379168713,7.8815673380382041,25.5241425669663649,135.4208686967912456,2.4366709377487306,98.4496864139455425,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,29.1598319714511689,29.1598319714511689,6.4712432972488143,19.5277365353133270,81.8243966236150584,81.8243966236150584,13.3511884044070950,51.0223730838050287,9.4504473748862452,9.4504473748862452,1.6641036519332781,5.9933697111337043,0.0000000000000000,7.4804201013744454,0.0000000000000000,0.4011472366637572
6,123.6701651886619118,123.6659220752679431,18.3069872442367760,73.5432214336733807,8.1497913220905733,33.3561369570878412,134.9380747818274529,2.4653086677134395,98.5759110687490647,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,30.3623459076837072,30.3623459076837072,6.4500567249224945,19.9611806037034967,83.6335658875205752,83.6335658875205752,13.8614982570199601,51.6493893794122485,9.6742533934576258,9.6742533934576258,1.7140863673310687,6.0571586992097490,0.0000000000000000,7.7530083995713763,0.0000000000000000,0.3967829225191980
7,126.8356972874868944,126.7138586938096125,18.2068407592694541,73.4195599952223148,8.3735992455073678,41.5061936251650323,134.5092844389171773,3.5805578018675233,98.6834592015220835,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,31.4893242492318812,31.4893242492318812,6.4191512673798403,20.3309125883592188,85.4634369349356433,85.4634369349356433,14.3326429751975137,52.2235729343793764,9.8829361033193628,9.8829361033193628,1.7638882511180249,6.1006048684915513,0.0000000000000000,7.9801379698865791,0.0000000000000000,0.3934612756207899
8,131.8432727133167361,131.7444020204806634,18.3515880597981962,72.8581133776878431,8.7902985625131542,49.6929560986988506,135.6727492068909271,3.7122319974560281,98.6812642137295342,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,33.2621869738571263,33.2621869738571263,6.5117439869705329,20.9699789963124310,88.2542838682149977,88.2542838682149977,15.2009131704010318,52.6921299060262314,10.3268018712446157,10.3268018712446157,1.8526889647118399,6.2471545212850010,0.0000000000000000,8.4006123146779927,0.0000000000000000,0.3896862478351603
9,137.0209460335060498,136.9572072033674885,18.5020672017521477,72.3668534108604575,9.1310793873882385,58.3456918042622803,136.6485526157294714,2.9299651167778995,98.6728688917960142,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,35.0207119975388110,35.0207119975388110,6.5733531784660464,21.5663720415027100,91.2091092493011075,91.2091092493011075,16.1508906157132621,53.1944785778098108,10.7911247866661224,10.7911247866661224,1.9389359083292603,6.3967746842638951,0.0000000000000000,8.7443792630302486,0.0000000000000000,0.3867001243579877
