period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-1,tbsf0-1,tbsm1-1,tbsf1-1
0,102.1034048676165611,100.7262955384248784,17.1919242536682972,78.1011809032101070,4.7068948431216873,-7.1480837863766720,126.4249177101098240,2.0445290773440483,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,58.1893623348990943,19.9522026539292376,4.1405059303412131,14.1229164644107943,120.8602388256586977,78.9973306830413975,12.2503307285677838,52.1323444956580104,7.4492157356906468,3.3648448578582535,0.5189834127886487,2.1549523153458132,2.3624132591025253,-0.1079517136443316,2.0812417432005148,0.3711915544629788
1,104.4570188037305343,103.0183147833398749,17.3217935267751066,77.9306985889509605,4.7475078842718741,-2.4356761346096221,125.8459584320052613,2.1766850448951880,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,59.8847767449415258,20.5335331675181543,4.1557571593316647,14.2710522201213870,123.4405899760334506,80.6839139223692854,12.7334733653640075,52.8869669804710583,7.6624898367664578,3.4611817458988239,0.5515976734029417,2.2140289156231381,2.4200761870713685,-0.0961124795055663,2.0566503111942716,0.3668938655117997
2,107.0194889547153991,105.4928370465749055,17.4142804071472064,77.7584688506180441,4.8272507428225664,2.3067445414581669,125.9257032054192251,2.2522479607248957,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,61.7469055247333714,21.1720273749007646,4.1812213518710193,14.4807684034017434,126.2640622677501767,82.5294073325295585,13.1989574517542021,53.7214230846967453,7.8789912123740322,3.5589764086231197,0.5834615674842146,2.2695909177940901,2.5077874744823059,-0.0710502694764525,2.0274349991524505,0.3630785386642630
3,109.7167290225215481,108.0718944622493467,17.4467795221035828,77.6004978698879455,4.9527226080935787,7.1205885225833461,126.6777207512561745,2.3640970808954442,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,63.7386982752621520,21.8549812862094441,4.2036762442819322,14.7345139707182380,129.2492316986933361,84.4805901116840374,13.6227683292253214,54.5843873125967818,8.0839214916097379,3.6515443541320556,0.6145771605350773,2.3152709387243284,2.6295704464800629,-0.0302199865589210,1.9935966933358986,0.3597754548365379
4,112.4661579905420012,110.7240747107890826,17.4905994269804914,77.4813047109587671,5.0280958621401579,12.0627064008855704,126.9714393584140026,3.6211462436083419,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,65.6632055626095337,22.5148640872122208,4.2411720689762751,14.9627185816569099,132.3296182074763010,86.4940091983112751,14.0609650514866065,55.4389582789804152,8.3011966570588118,3.7496885412709502,0.6476463772530940,2.3616284484030374,2.7082337860263115,-0.0057780385632091,1.9689842892360760,0.3566558254409793
5,116.9480525237579798,115.1436435781645145,17.9853802665989804,76.9391301181663323,5.0754896153114473,17.0299327608440620,127.3128014373077121,2.5601906160811039,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,68.8097227795248756,23.5937545690266255,4.4410170067004273,15.3160734528550684,137.2112272094871628,89.6847531877670860,15.0771936866685312,56.2986703503565948,8.8305745059153562,3.9888109396268701,0.7002627342084364,2.4907919098624265,2.7789044981504731,-0.0033951051678734,1.9471945364931476,0.3527856858356991
6,119.8536192407500494,117.9693255175890698,18.0172251178114315,76.8784970540937138,5.1042778281661381,22.1283233308092520,127.2258121420309465,2.5651151058506683,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,70.7154661957088990,24.2472035383976170,4.4873951523974949,15.5027432791440436,140.5167779337204479,91.8453453410599820,15.5504383073827892,57.0713275717273589,9.0654161724639746,4.0948899957496439,0.7287265635757232,2.5312804120365806,2.8139464639161513,0.0062842053478475,1.9334645873576797,0.3505825715444592
7,122.7160392981496955,120.7530542273888159,18.0137730046510924,76.8621611360661205,5.1240658593483666,27.2872499755476845,127.1122763776366753,3.5979330123694586,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,72.5423230258212612,24.8736035577746293,4.5299307056114584,15.6607194548996507,143.8060093566872411,93.9952707833551955,15.9840819471882671,57.7671163982713693,9.2841284506401855,4.1936833332879422,0.7572548949793502,2.5610878840329123,2.8385007112296607,0.0139195113768364,1.9227385154132308,0.3489071213286384
8,127.3150256459517209,125.2412171048204357,18.3267878767043868,76.4407913397555063,5.2324207836012286,32.3741666593170265,128.3671593890041436,3.7022831763598996,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,75.7997096345842891,25.9905093826947287,4.6896446536209737,15.9997025717899994,148.8651868095938084,97.3020780353908350,16.9059216649689503,58.4477667196301311,9.7684925928664832,4.4124728342406856,0.8037893572525563,2.6511997260724831,2.9481951970926343,0.0397740966834401,1.8976609019087884,0.3467905879163666
9,132.1271260134607246,129.9551201162209111,18.6449061459975205,76.0405434725433906,5.3145503815141648,37.5842707874151003,129.4020961884404812,2.9334951911105689,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,79.1455085155546101,27.1377303631929543,4.8436490112027526,16.3373437287051289,154.1795760562270345,100.7756982166340549,17.9083159210672207,59.1509158141348266,10.2826562141813866,4.6447228963499194,0.8476198294839287,2.7447301463175653,3.0350125076432466,0.0570466708762713,1.8775565119534412,0.3449346910412051
