period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-0,tbsf0-0,tbsm1-0,tbsf1-0
0,290.6826623623931027,291.2869865431943026,24.4875186747999436,75.1851570504143467,0.3273242747852866,2.4717891058041772,99.7906608592973754,6.8909717776295842,1.0000000000000000,0.9663408344074373,1.7966817201458094,1.0000000000000000,216.0348869511297494,83.1164184235246637,20.6788185604400425,54.8324529637433216,299.0632189938912120,191.3447141647114904,46.9967920880512580,126.2811138104023172,36.5497570170395036,16.2215518582157401,3.5275221986204484,10.6929446582218848,0.2454123595750612,0.6543354727352273,-0.5280629193535545,-0.0443606381714474
1,297.2359772991175646,288.3303496445917062,24.1455812669001340,75.4579935129962678,0.3416615056402911,2.9284867007697510,103.0003931400369339,8.8196271639756176,1.0000000000000000,0.9387389071666120,2.0011924900000073,0.9542117061606576,221.0898148638095506,85.0612316405959064,20.9060070482809621,54.7778043048257928,306.0514880394988495,195.8159037263579876,47.3596801733746773,126.2114442985934204,36.8639953051791451,16.3610174279736391,3.5232653465829986,10.5045443120459865,0.2644316133621180,0.6908296817021057,-0.5627991482797617,-0.0508006411441709
2,303.1125806448266076,280.0952849747473579,24.1475693193001391,75.3895474391357396,0.3011889795948892,3.4925296490529782,108.0333916071492553,11.3475953642993446,1.0000000000000000,0.9177609386023736,2.5578998423552863,0.8787128438450695,226.1484254189960552,87.0074617031582136,21.3166591802714223,55.1082540040180362,311.7867175502909731,199.4853815548366356,48.2552273384088792,126.2680096300944967,37.4962844029704385,16.6416406448235961,3.5244185084705735,10.5343073592241598,0.2519349037263962,0.7389951662704833,-0.6274517557884270,-0.0622893346135632
3,306.4206252251205456,263.6201475626762658,23.1280932442001657,76.0387993778938096,0.5690635920062136,4.1904299711331019,115.7104499279113838,2.0313579573841833,1.0000000000000000,1.0012523264031434,1.1197077624313401,0.8168374685588791,229.3442253572390825,88.2370012863875246,20.6477115781410419,55.1012599193230272,315.7702823700993804,202.0341204949415044,46.7152445165553587,126.0675046599980078,36.4589502053872465,16.1812498829219074,3.4751124651184755,9.9381820459451706,0.4022871393145964,0.9076141699794433,-0.6758474850916378,-0.0649902321961882
4,311.7433265524251169,270.7100199004647152,22.8589959914999774,76.0162562562707649,0.9513423143104722,4.7724976646891069,114.6556699621705633,6.9021444272952870,1.0000000000000000,0.9620545254631448,1.6252266840446792,0.8670531516993547,233.5776085784198983,89.8657366083746183,20.7560522691235647,55.1016238179599682,321.3308332512926881,205.5918365609282148,46.9463953199059816,125.9747870565305732,36.6973524254435191,16.2870578086477522,3.5362199084954971,9.8057393797486174,0.6001946603083194,1.0127210319262243,-0.6127095877256653,-0.0488637901984062
5,321.8554544264150081,270.6929616807163939,23.0675590783000715,75.4002426116975357,1.3791713314448326,5.9285546415579509,118.3444722381418899,9.4510844401225480,1.0000000000000000,0.9418679201848770,2.1341884229285291,0.8774988958930443,242.4984747445444668,93.2979158060409901,21.4580069627355243,55.8232059576580397,330.8078930788514072,211.6553883073672750,48.8500520067432475,126.0694703311483664,38.0984788632659530,16.9089072277959502,3.7084076848909655,9.9701706693065688,0.8236302052272790,1.1757831988659866,-0.5858230663098882,-0.0344190063385450
6,328.3550234637076528,260.8701034936502765,22.5563939779996261,75.8100451389413479,1.3834258074272618,7.8551184818198410,125.0403593393048425,2.0987243066447281,1.0000000000000000,1.0094362263138184,1.1537660598103330,0.8168708570589442,247.6950425950055603,95.2972230194304046,21.2330457953293248,55.7876987002543885,337.8507660411063398,216.1615141973871062,48.7985157712548059,125.9892504849208024,38.0745838422317036,16.8983021142604599,3.8233843393562768,9.6676327173054570,0.8511427318825905,1.2167575346091219,-0.6447777132497927,-0.0396967458146577
7,334.2298911624335460,266.0970957446836564,22.0466198365998807,76.2224368997132586,1.5287456743941168,9.2699110754152514,124.7333773853187893,-4.2341428990525731,1.0000000000000000,1.0681535668747297,0.1909010197689990,0.8436924004331621,251.7593966087642343,96.8609267044991782,21.0681847296337956,55.4222121668584222,344.6354297626457424,220.5024343040758481,48.6081999207696072,125.8274744354729791,38.0279585307642947,16.8776088191580769,3.9315803268101250,9.3633865137622010,0.9319622804963255,1.2406403378508102,-0.6123867506740241,-0.0314701932789950
8,340.3835863492255385,289.9691860777465990,22.2636765571001085,76.0774323527010239,1.6077004542304090,10.1365741211459586,116.7777768540531440,-2.2451698709984313,1.0000000000000000,1.0411818954502838,0.3548954963309671,0.9531850114430742,255.7095501375431752,98.3806933411231199,21.6649889323003890,55.1462592827659108,351.2226504936276115,224.7170277005822072,50.0042498899399988,125.8019772126583575,39.1043767324981317,17.3553458851640805,4.0640522999497835,9.4895595922111049,0.9482376912689193,1.1851899334040112,-0.5114058327734827,-0.0143213376690389
9,348.6566811242855692,312.0935359938832789,22.9444206776002808,75.3389361841889809,1.7757486875260975,11.1910615473270081,111.3064717161687724,1.0950040614904566,1.0000000000000000,1.0187407093586658,0.8013658410181771,1.0633607323789946,262.3657676736518738,100.9415804721648868,22.7852145890634716,55.5499657550767765,358.9511872827823709,229.6618506306881216,52.6745766599327183,125.9320107618474935,41.0936245180833168,18.2382159435797142,4.2971484014824632,9.9068234194637625,1.0030553715915218,1.1987520530512972,-0.4274015125394814,0.0013427754227595
10,359.7759560836022388,326.7211304209675973,23.4523144262003918,74.7626954647938788,1.8981678709187308,12.6959315206530050,109.7807630265013046,1.5648768661556289,1.0000000000000000,1.0161890880758215,0.7794367796765886,1.1344584431342277,271.3464767892437521,104.3967834124212715,23.8765011837371759,55.9723396171389354,369.6795597429518807,236.5260092147821069,55.5273887886346884,126.0388543617696939,43.1843667373653872,19.1661313690210910,4.5296521124043121,10.2195183753908605,1.0537718425576958,1.2184277904694414,-0.3839864373733571,0.0099546752649508
11,373.1812727019344038,341.1952636424560978,24.3762004516000061,73.9337633687292310,1.8211503947349090,14.2740555440933345,109.1626167912580030,-2.5414747301221841,1.0000000000000000,1.0716007564092498,0.2609334067289062,1.1614605129774407,282.0456446988773109,108.5131394756057119,25.5107231486341632,56.5647935978804028,382.1708202712772504,244.5180875565797294,59.8629039388132256,126.2546533406021467,46.2460426968995435,20.5249676350866039,4.8075345810960330,10.7954307207516340,1.0201821674905827,1.1728905491406525,-0.3800494165901945,0.0081270946938686
12,388.0677148203421893,372.9856571924931359,25.2322921435003451,73.4632036477331667,1.4775877746112953,15.0590688637292871,104.0166958063828275,-1.7277339508576794,1.0000000000000000,1.0428523362642514,0.4635175271715734,1.2258111770001709,292.6317697743326107,112.5860038803921270,27.3539482216604668,56.6059549609739179,396.8692430966036682,253.9223383489234038,64.3959896713780608,126.4006743368412060,49.5089912872872944,21.9731329332851892,5.1179828412926112,11.3220377331304327,0.8467861456934747,0.9957532364725850,-0.3683723263546997,0.0034207187999356
13,398.1539307508290904,398.5875884786377696,25.7185097595001899,73.0349105562811474,1.4961348835025792,15.8303932398233655,99.9213724715302760,5.9472937493600497,1.0000000000000000,1.0020161812801798,1.7756689874907527,1.3937103483020223,300.4262222990732312,115.5848110942250884,28.4449140914402712,56.7966014602521199,406.9623806307146765,260.3800649894202479,67.4103220508384737,126.4721856050900186,51.6072531590351602,22.9043857388457504,5.2312971710055329,11.6224887206606304,0.8318333921044445,0.9452544009689693,-0.2983286967663605,0.0173757871955261
14,406.2692604776484586,388.7510950356053172,24.5149849267997233,74.7456301283190214,0.8561707970700824,18.0083175479744959,104.4332544251786885,-2.3852307084536895,1.0000000000000000,1.0842408136188482,0.2005282997568365,1.1318388747315300,303.3727658954709341,116.7184527662609241,27.6474804778673082,55.3074552519302785,417.7773613659151124,267.2996367255756809,66.3345728575402234,126.1120782293305069,50.6062374202328655,22.4601138737742154,4.8964880691837980,10.8312487690801387,0.5768709480662478,0.7434648015081141,-0.4464155300153745,-0.0177494224889050
15,430.3187413113473667,428.9674016830994674,25.4533381005998791,73.7312010041867296,1.0308190763645431,17.3626119001612160,100.3764083997561301,13.1261487562990951,1.0000000000000000,0.9264305236205804,2.2274608560891180,1.3004742615258804,322.5336803689702947,124.0903481449781935,30.2281201543795781,56.0447794681550562,441.1246806881295015,282.2375691040558650,72.7108481603285810,126.2673284535224383,55.2326308737746317,24.5134047147543761,5.3078635787169262,11.4435648898976652,0.6398968221807227,0.7602828072350053,-0.3656103826137426,-0.0037501704374425
16,452.3146193213963215,407.5102645497962044,26.0764200090996425,72.8846590612577927,1.1633297938028495,19.7975660921469725,111.0532665843885809,-5.4545842922233749,1.0000000000000000,1.1476646152095757,0.4466730840005458,1.1499999999999999,341.0686650416163843,131.2214257374309625,31.5625268885498187,57.1272735917796837,461.5835316383212330,295.3274201408121939,79.6269209263339093,126.4566708728614657,59.0626333099057987,26.2132404511678914,4.8844824521505208,11.8909188254307825,0.7515071529628944,0.8653020099633547,-0.4393350597370096,-0.0141443093863899
17,459.0435549403744062,441.9276992676155373,23.6348179265863934,75.9724491513818521,0.4698488930479769,19.5468678667850213,103.8225774243803983,-2.8864115795121714,1.0000000000000000,1.0959819998862241,0.6403375046003548,1.0800000000000001,340.2359881484873654,130.9010648825817782,29.2238968700682094,54.3639121859593573,474.7738735652408195,303.7667802675176745,74.1485284986137145,125.5857151124701261,55.1942483351461064,24.4963697358207995,4.4525637193508460,10.3246342392591401,0.4082946212752572,0.6252172669227346,-0.5135179613283571,-0.0501450338216578
18,467.1341055126424635,469.2987693671489637,22.0567846862338754,77.9903745592615536,-0.0048527528668356,19.1050875465232792,99.4757970701763838,-0.9712105781815805,1.0000000000000000,1.0623882999260457,0.7662193779902307,1.0400000000000000,342.2745123745467595,131.6853587294268664,27.9055181963409673,52.6363885319475315,487.5681501331063146,311.9527323918158572,70.9725134601719532,125.0296200874415291,52.9760192234003711,23.5118729427829720,4.2187635007529574,9.3729037745099539,0.1645589184560743,0.4639263750269100,-0.5599154809447653,-0.0734225654050546
