period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-0,tbsf0-0,tbsm1-0,tbsf1-0
0,290.6826623623917385,291.2869865431969174,24.4875186748000608,75.1851570504152136,0.3273242747852591,2.4717891058041594,99.7906608592955706,3.5600000000000076,100.2179486082134758,1.0000000000000000,1.0060827839230102,1.2848714317604477,1.0000000000000000,216.0348869511297494,83.1164184235246637,20.4687539457057923,54.8324529637433216,299.0632189938912120,191.3447141647114904,47.2174073330726571,126.2811138104023172,36.5497570170394823,16.2215518582157330,3.5169715683332190,10.6929446582218795,0.2454123595750498,0.6543354727352300,-0.5280629193535712,-0.0443606381714495
1,298.3923326507257343,299.8352051628527306,24.1455812669000132,75.5241811426038225,0.3302375904960987,2.8161189207380035,99.5040164423858755,3.7499999999999867,100.5267894619257447,1.0000000000000000,1.0056134534866803,1.1032559897263952,1.0000000000000000,221.5239252131350440,85.2282495604593890,20.7672706406239236,54.9636747636908964,307.4788692283946148,196.7291616204988713,47.8105108318661607,127.0802513796241726,37.0306641739479616,16.4349885817797521,3.5348614901327746,10.5777578605910403,0.2488160117556881,0.6574215393859337,-0.5296285466435080,-0.0463714140020152
2,305.2566654495623197,311.2027968865025969,24.1475693192999117,75.5789312391442110,0.2734994415553199,3.1451051427909391,98.1321087161986441,3.9599999999999858,101.9509704444384397,1.0000000000000000,0.9757392579457018,1.7357804111865536,1.0000000000000000,226.4691126992809416,87.1308416745481651,21.2911987260909932,55.2627220582637619,314.6766187908649499,201.3343796653437323,48.8938891402768334,127.9742876677145205,37.8368240903087028,16.7927793294217693,3.5748733233500078,10.6794129795809951,0.2139022837960983,0.6414443510805941,-0.5322340728774535,-0.0496131204439188
3,309.2685335900262658,310.4162626355386578,23.1280932442000129,76.3820624695242287,0.4898442862758796,3.5629864212262734,99.5356503485790398,2.9700000000000060,100.5332230766232300,1.0000000000000000,0.9593269502141689,1.7158579740430955,1.0000000000000000,229.2518455723730995,88.2014594488576762,20.8243633132881243,55.1033958305080986,319.9032905270133256,204.6784753142523812,47.4141069389201917,128.4420273937955130,36.9264079530381935,16.3887174754290044,3.5086238986523388,10.1264431314830894,0.3248000779553807,0.7308911135954199,-0.5210222780737878,-0.0448246272011333
4,316.2754200438936323,306.1635048844054836,22.8589959915000343,76.2766726726623574,0.8643313361035163,4.2311675236328217,103.0958869600996621,3.5700000000000065,96.9966397860921035,1.0000000000000000,0.9580201175343717,1.7191990477168615,1.0000000000000000,235.3764952362728309,90.5578332334184353,21.0933318496421158,55.7607153371341298,326.9149589889340177,209.1646361406405390,47.7455999394092814,129.1075383296810344,37.3146166768946088,16.5610126822866803,3.5975701890395237,10.0482359124648415,0.5202316703336652,0.8825549930628966,-0.5041638006531682,-0.0342915266398775
5,328.3779221907584542,304.9814524731721121,23.0675590783001283,75.6617553301496883,1.2706855915966868,5.2978624390063525,107.3925867662476179,3.5900000000000043,93.0211779015041316,1.0000000000000000,1.0017103984502025,1.3462086100251456,1.0000000000000000,245.8680738998205015,94.5943222210513284,22.0098559602233799,56.9809259933273893,338.4302585039957876,216.5322813550644128,49.8717203603361412,130.2261647526686659,38.9495545844731410,17.2866325555018072,3.7879038704694876,10.2950495948781278,0.7311394184678012,1.0463578650757686,-0.4856159710197012,-0.0211957209271818
6,336.0406220101909867,311.5477127678477700,22.5563939779998286,76.2363534447939202,1.2072525772446761,6.6609484740387526,107.5218824034223815,2.3499999999999854,92.9562718020346495,1.0000000000000000,0.9904238616575830,1.4209887853332748,1.0000000000000000,250.9648907629547523,96.5552516292731298,22.0995430698188642,56.8301468856692793,347.2388826832710720,222.1681588843644022,49.8867278075873770,130.9733336845560530,39.1010498953885914,17.3538693647956634,3.8661595295472599,10.0441552213574905,0.7098673844285094,1.0054993385882878,-0.4875658613799310,-0.0205482843921902
7,344.1256269537622074,312.3880738930307643,22.0466198366000299,76.5821497127226252,1.3712304507146782,8.0314399676406101,109.7033774006795710,2.2900000000000142,91.1078773189740900,1.0000000000000000,0.9814133934028624,1.2412619098038968,1.0000000000000000,257.1150929588432064,98.9214563951653219,22.1969863610373466,57.0575577374949816,356.1014790034581665,227.8385685233312756,49.7993636377164535,131.7780365589259759,39.2583542651564557,17.4236843567400363,4.0096356528391386,9.8029967791985566,0.8018719836144638,1.0650180472323179,-0.4806375620625294,-0.0150220180695740
8,353.1998169624608863,314.7754520896031067,22.2636765570999877,76.1514413053619990,1.5848821375735003,9.5450450205274233,111.7264365407456381,2.5600000000000067,89.4148294924102629,1.0000000000000000,0.9720264311744256,1.2285678121863699,1.0000000000000000,264.8298766859803095,101.8896121470498883,22.9803326166524400,57.8860099854812660,364.7540239863186002,233.3745844604049466,51.4044160554946856,132.6784603981895998,40.5973550726235999,18.0179611128452777,4.2673667708262668,10.0143647450551896,0.9078062250598679,1.1520641517536074,-0.4684726187905532,-0.0065156204494216
9,364.9310141131654177,318.0062710190521784,22.9444206775997692,75.1614560691480733,1.8941232532873531,11.2988828629841915,114.2996294779017035,2.4999999999999911,87.3168057215696223,1.0000000000000000,0.9863040732594839,1.2505105833074264,1.0000000000000000,275.3945074438866527,105.9542069120741985,24.3015379702104788,59.3917464704223406,375.1422518278977805,240.0211138922488203,54.5592192056991223,133.9901808440518778,42.9823511137776038,19.0764725810660494,4.5958257255819159,10.5558095725986139,1.0569785091042523,1.2885018682636582,-0.4541106826867333,0.0027535586061762
