period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-0,tbsf0-0,tbsm1-0,tbsf1-0
0,290.6826623623929891,291.2869865432006691,24.4875186747999436,75.1851570504143751,0.3273242747852885,2.4717891058041768,99.7906608592973328,3.5600000000000076,100.2179486082134758,1.0000000000000000,0.9705687132191776,1.7754292231406656,1.0000000000000000,216.0348869511296073,83.1164184235246069,20.7232819779173418,54.8324529637432718,299.0632189938913825,191.3447141647116041,46.9306129458140759,126.2811138104024309,36.5497570170395036,16.2215518582157401,3.5492379233803208,10.6929446582218883,0.2454123595750488,0.6543354727352364,-0.5280629193535545,-0.0443606381714421
1,298.6725464476045886,289.7231239494267356,24.1455812669000203,75.4545219438510486,0.3428468665407339,2.9144087046012732,103.0003931400379855,3.7500000000000089,97.1245527050392496,1.0000000000000000,0.9429395901038415,1.9713892272181659,0.9524496691865950,222.1748213291451464,85.4786727892815890,21.0610186408191247,55.1807850268068734,307.5192006278423946,196.7549661982906741,47.5132363223416476,127.1368909213083924,37.0455351665372277,16.4415886414561392,3.5668857512421064,10.5806154352112465,0.2632062884915115,0.6933491984377439,-0.5631370824004306,-0.0505715379880909
2,306.0832575800159248,282.8363691978526617,24.1475693192996381,75.3808198810659604,0.3036633754628443,3.4616873957323397,108.0333916071501221,3.9599999999999858,92.6236900591160861,1.0000000000000000,0.9211124883885100,2.5187376452399897,0.8749416083579018,228.4120653563343524,87.8783656893026972,21.5932582460257052,55.9248600127934097,314.8153014577550266,201.4231107214226313,48.6367469797648369,128.1210945323237240,37.8705665656872128,16.8077549505708213,3.5933173249323800,10.6869335873553055,0.2482868208964503,0.7455000186333938,-0.6283858015144977,-0.0617376625525021
3,310.7279408452670850,267.3130287791331057,23.1280932441999489,76.0182621973789452,0.5773047439523461,4.1417782003242483,115.7104499279109717,2.9700000000000060,86.4943219519202557,1.0000000000000000,1.0047606406216048,1.0942776955615210,0.8107353134889514,232.6754441233520367,89.5186413804116654,21.0195895844447165,56.2691399710570295,320.1510857227997349,204.8370180500279503,47.2590992597950859,128.6769729522566195,36.9809804405883682,16.4129378946349185,3.5695153458582203,10.1411121244312401,0.3969949990599383,0.9217171741876460,-0.6775443567298550,-0.0638630725653831
4,317.4201625654488907,275.6256324007018179,22.8589959914998317,75.9806171396313772,0.9711847835135451,4.7126897180103891,114.6556699621706912,3.5700000000000065,87.2390442268404627,1.0000000000000000,0.9668792411082952,1.5822918775911985,0.8576036994332917,237.9874420537456388,91.5623587118043929,21.2261956704573720,56.5999657188645529,327.0827049901116652,209.2719623131989408,47.6771546296717048,129.3026021688769163,37.3801195842450085,16.5900842519814695,3.6542074606405466,10.0613012810016116,0.5981377639111074,1.0348119717209359,-0.6146557598441190,-0.0471091922743792
5,329.5858506930300109,277.1718510204308359,23.0675590782998441,75.3469432139285971,1.4140063460442420,5.8539490413450102,118.3444722381421741,3.5900000000000043,84.4332680691239119,1.0000000000000000,0.9461415771017764,2.0785767821908046,0.8657810462587054,248.5433362818822332,95.6235922184960430,22.0840550385875254,57.8137666057337896,338.6000031483213206,216.6408862866863103,49.8700925710188869,130.4207010170138687,39.0334425207746349,17.3238637882117530,3.8677685083508915,10.3097392533548273,0.8274212479522276,1.2064658407656303,-0.5878691261951984,-0.0320116164784178
6,337.9813369264091421,268.4736168338017137,22.5563939780002158,75.7438677325479972,1.4248657797648969,7.7728018138557440,125.0403593393018156,2.3499999999999854,79.9415372366682959,1.0000000000000000,1.0143469487528278,1.1148006754726290,0.8040291269655859,255.2608819555118487,98.2080744975773854,21.9855653883846607,58.2013601100241544,347.5562043790259850,222.3711856202390038,50.0349182286190910,131.2436710285044796,39.2161170604477505,17.4049385958254312,4.0318379416323422,10.0638934622441933,0.8545105111780192,1.2548645704919323,-0.6478472397599845,-0.0366620621450699
7,345.8771812393677010,275.3165997129572702,22.0466198365999837,76.1446914745656329,1.5801345974940122,9.1798328485046774,124.7333773853197982,2.2899999999999920,80.1358453936143178,1.0000000000000000,1.0728069638455695,0.1757423544177556,0.8285600299122567,260.8828985809691403,100.3710672105609518,21.9487519161192850,58.2401382737623976,356.3986598675090249,228.0287088812072227,50.0832676701496169,132.0120677743710473,39.3887146671144279,17.4815410483627254,4.1846741341846698,9.8138804967009783,0.9400045369321414,1.2838660315163934,-0.6157254599783670,-0.0280105109761558
8,353.8999061239741764,301.4352843102289512,22.2636765571001227,75.9928856811619653,1.6681384247694708,10.0526936100579327,116.7777768540530730,2.5600000000000067,85.5574970621382818,1.0000000000000000,1.0471387458246824,0.3306571079741880,0.9334778020665699,266.2122769113273080,102.4214714091361316,22.6854134272635619,58.2876191687291652,364.8832806825386683,233.4572846522751206,51.7701205324061462,132.7832224141903055,40.7086013189040159,18.0673345396570717,4.3493341539643628,10.0029872523231269,0.9624214865658945,1.2305089556955793,-0.5142127421491157,-0.0105792753428871
9,364.7040794725866135,326.4092726228977881,22.9444206775996449,75.2456143752722113,1.8476498569774218,11.1011521194308447,111.3064717161736752,2.5000000000000133,89.6706788132297277,1.0000000000000000,1.0276322462675875,0.7528334317997636,1.0388792390496573,274.8030240099209323,105.7266418864346207,24.0161667580322415,59.1754822109426328,375.1350228296654450,240.0164886808800873,54.8619047600623375,133.9803529959594641,43.0535821004980548,19.1080863930117495,4.6349787560389935,10.5228776218129596,1.0244949391310501,1.2474426089177659,-0.4296044172480258,0.0053167261766315
