period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-0,tbsf0-0,tbsm1-0,tbsf1-0
0,290.6826623623927617,291.2869865431967469,24.4875186748000608,75.1851570504150430,0.3273242747852607,2.4717891058041599,99.7906608592963948,3.5600000000000076,100.2179486082123816,1.0000000000000000,0.9658226884531452,1.7913572798887840,1.0000000000000000,216.0348869511301189,83.1164184235248058,20.7312764609698235,54.8324529637434708,299.0632189938908709,191.3447141647112630,46.9319213337794139,126.2811138104021040,36.5497570170395747,16.2215518582157721,3.5399350523627313,10.6929446582219168,0.2454123595750488,0.6543354727352224,-0.5280629193535609,-0.0443606381714497
1,297.6106361027557341,288.6979078929001616,24.1455812669000132,75.4515315613454334,0.3438792043900724,2.9247582724974697,103.0003931400370334,3.7500000000000089,97.1261662794813248,1.0000000000000000,0.9444527317450059,1.9707535794386084,0.9509506932290949,221.3952519921461999,85.1787443281029510,20.9955731938657806,55.1867284616600102,306.4210356913342821,196.0523453390998725,47.3467252281247468,127.1404151331828842,36.9128222399717671,16.3826878498712993,3.5428337234816052,10.5817684635610387,0.2620872163301544,0.6955135554483270,-0.5633586236142112,-0.0503629437741979
2,305.3488707718813657,282.1612041652664402,24.1475693193003735,75.3791063444096494,0.3041399988479119,3.4697740753570798,108.0333916071485305,3.9599999999999858,92.6247391167188852,1.0000000000000000,0.9283917500732499,2.4930523157690723,0.8742015747932923,227.8727005082808148,87.6708525647956378,21.5522279039228870,55.9280404590165929,314.0576878484625354,200.9383792321908118,48.5221902624439281,128.1231556829969804,37.7772523937844653,16.7663401559958203,3.5703896356328091,10.6883117193814918,0.2476065853727241,0.7467310833719654,-0.6285611111854148,-0.0616365587113628
3,311.7388680454325254,268.1851303982693935,23.1280932441999418,76.0239588375796274,0.5749359743354274,4.1278212653992670,115.7104499279131602,2.9700000000000060,86.4934612807775380,1.0000000000000000,1.0052534876983328,1.0899110878910725,0.8123595152183900,233.4106140353993055,89.8014877802893352,21.1046826615837197,56.2533686815482596,321.2045138678428771,205.5110157017099652,47.4119592105128831,128.6718630814864923,37.0975390746472087,16.4646690710152939,3.5613487559135883,10.1419086956101232,0.3987559292221131,0.9176818818340209,-0.6772687122562888,-0.0642331244644178
4,318.5603665282367274,276.6189898456179890,22.8589959914997820,75.9877003273253706,0.9670951430964917,4.6947879042305685,114.6556699621722828,3.5699999999999843,87.2387021275062011,1.0000000000000000,0.9531456056333109,1.6230210057859771,0.8593557631328971,238.8213511425416300,91.8831936368006836,21.3232343498587440,56.5820235270338898,328.2733093326356766,210.0337271613469170,47.8453338967489188,129.2977182972028345,37.5082807570416250,16.6469648793892198,3.6437418609067138,10.0628889331038156,0.5988716490771600,1.0302730538462141,-0.6145180077448774,-0.0475315520820051
5,327.2897034237894331,275.2460306423213297,23.0675590783000679,75.3584413553660255,1.4062444477910592,5.8932626467944207,118.3444722381405541,3.5899999999999821,84.4333590737061996,1.0000000000000000,0.9421202939167382,2.1033195903234754,0.8680939343210207,246.7799304359674863,94.9451463424246640,21.9590274975197666,57.7863986722632959,336.2673137554081677,215.1483998932621091,49.5162961971960840,130.4143760726978485,38.7528235318584180,17.1993191714313376,3.8104519019069159,10.3119492130285320,0.8270291278183083,1.1996582138560137,-0.5878053587067066,-0.0326375351765565
6,334.6162364755068666,265.8095333820307360,22.5563939780001519,75.7477753763755004,1.4221989224202025,7.8300021207690271,125.0403593393041888,2.3500000000000076,79.9429882837621335,1.0000000000000000,1.0103664412753350,1.1323460119665232,0.8046404625686019,252.7143514640625028,97.2283323048108628,21.8073301489080329,58.1871768379393117,344.1067575448667526,220.1641826302723643,49.5281621322753622,131.2426499061463687,38.8138000608074876,17.2263818390715144,3.9500629727613537,10.0682524972757363,0.8546889991215010,1.2523954352958515,-0.6479503406409268,-0.0369351713562231
7,341.4912436316085405,271.8370142612224640,22.0466198365996924,76.1401602170886775,1.5829424070007925,9.2596563608552671,124.7333773853205514,2.2900000000000142,80.1387864923033248,1.0000000000000000,1.0705235938047597,0.1819680802252863,0.8275897578629041,257.6047773935079590,99.1098556715113261,21.7175242003905922,58.2413840816601009,351.8722111378065165,225.1326254334334749,49.4382505143206359,132.0171397685907664,38.8727719136929792,17.2525547892585998,4.0817068815033579,9.8207733970208348,0.9407254442690391,1.2861624670862832,-0.6160669180380488,-0.0278785863164807
8,348.7572231703278476,297.0675020244351003,22.2636765571001547,76.0077464469812583,1.6570354252938664,10.1489242879296064,116.7777768540509271,2.5600000000000067,85.5598153012306284,1.0000000000000000,1.0424625147147903,0.3438013589152332,0.9364452188438018,262.3154248179814658,100.9222117585483574,22.4050196919967739,58.2490539418879649,359.6188074099265464,230.0890030663128414,51.0036985216763412,132.7779320734322823,40.0958786016962563,17.7953952945545986,4.2331235712664554,10.0095374150053900,0.9606527918181019,1.2222360044828882,-0.5144176496769276,-0.0114357213301959
9,358.1461526333906136,320.5480637695424093,22.9444206775999717,75.2754641773435083,1.8238915768964352,11.2212514806642734,111.3064717161711030,2.5000000000000133,89.6729297198847632,1.0000000000000000,1.0131390036552765,0.7946894947101135,1.0456740764874402,269.8010777792808881,103.8022126347281784,23.6396751674443770,59.1096650713480827,368.4654526615249210,235.7492069946945037,53.8548881989580934,133.9685687784364632,42.2520727559576841,18.7523596670790766,4.4921078071846861,10.5296016421890020,1.0187085138474210,1.2315160060991512,-0.4300708294880915,0.0037378864379541
