period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-1,tbsf0-1,tbsm1-1,tbsf1-1
0,100.0196483117165371,100.0041662463287366,18.5313282732999269,82.4220850213993401,-0.9534132946999695,-7.1997000427612523,100.2097782887706501,3.5600000000000076,99.9875319160968274,1.0000000000000000,0.9912835789617249,1.1643853737236867,1.0000000000000000,50.8599258775974050,17.4390559950342663,2.9359065619497358,11.5169292983162492,120.8863631029054631,79.0144061760949512,14.8423513257398128,52.1494190090315328,7.8949933563557044,3.5662046503336473,0.7492566496013342,2.3533251306612470,-0.7148244854618350,-1.9059146753134177,1.5381144831988312,0.1292113828764517
1,102.5995107880271036,102.9355332895708983,18.8723789451999160,82.0925910876995744,-0.9649700329000436,-8.2029165962267836,97.0870080699993991,3.7500000000000089,100.1195339619193305,1.0000000000000000,0.9887080032861830,1.1032257331959632,1.0000000000000000,52.0320611014567120,17.8409624361059436,3.0470293178319210,11.6820211442049828,123.9803469283681920,81.0367128152588236,15.6170104581588074,52.9010946791339478,8.2543625107389218,3.7285333429241470,0.7901888746653889,2.4477534301315909,-0.7405943619824216,-1.9514000931480486,1.5847338481401003,0.1422905740903262
2,105.6871296307177488,106.6579121776468924,19.5312979035000751,81.2739427993005421,-0.8052407028000357,-9.1797230795290421,92.5639735199992515,3.9600000000000080,100.3079441742393811,1.0000000000000000,1.0038240019101745,1.2277085033816335,1.0000000000000000,53.6930380999381072,18.4104849114766722,3.2161352909197300,11.9955408165207285,127.5238385560315209,83.3528292039323873,16.8340290093927933,53.8369766840844264,8.7944470304722913,3.9724919935411007,0.8380098378684090,2.6169399259843575,-0.6579349780336085,-1.9766937211714180,1.6657729240781394,0.1636150723268514
3,108.3435449185933663,110.1954731897930486,19.8519841251999445,81.5483994731996802,-1.4003835984000004,-10.0471315526490379,86.4226178899994011,2.9700000000000060,100.6813980228070733,1.0000000000000000,1.0068142981354882,1.0196223127559676,1.0000000000000000,54.0435186295946579,18.5306590854729052,3.3635091816746812,11.8446322334617342,131.3006172277489725,85.8214279469540742,17.8690446042525295,54.7604899607646018,9.2173208954223291,4.1635060546834524,0.8636501576895999,2.7256653812516238,-0.9622852007906080,-2.2355148484960798,1.6426579729405537,0.1547584779461339
4,111.1367875442842035,112.9099511861570875,20.3023829917758007,82.0682760807989808,-2.3706590656849666,-11.5041218815021153,87.2176666300014745,3.5699999999999843,100.6563026957094706,1.0000000000000000,1.0262935404654385,1.1223522427783155,1.0000000000000000,54.6131302250298702,18.7259698008703666,3.4981341318705454,11.7543654298636966,134.9546117734480788,88.2097718576177670,18.7400650135138598,55.4766877554918807,9.6299177737803578,4.3498779539237509,0.8738152924625320,2.8252829837712987,-1.4590087581085709,-2.5255070163511082,1.4990932094389919,0.1147634993357207
5,115.1672766597951636,117.3994562242522619,20.5223210489734669,82.8158405539850122,-3.3381616041983917,-13.8205792558641321,84.4990882200017666,3.5900000000000043,100.8526854574751042,1.0000000000000000,1.0177648271012352,1.4653331919454256,1.0000000000000000,55.3408333788804896,18.9754875858216394,3.7060187674782776,11.4877866339787271,140.5208698561472147,91.8480199257887477,19.8002189389490937,56.2097278842031116,10.1087530556555034,4.5661700433391621,0.8782364504372386,2.8972333442672142,-1.9519662694708919,-2.8475577301477970,1.3861007921108253,0.0752616033094723
6,117.3940732707148555,120.3159767737421646,19.0029433209227250,84.1762445195145972,-3.1791878414938672,-17.3438709154979307,79.9741783600011757,2.3500000000000076,101.1821934935982199,1.0000000000000000,1.0145922736490023,1.0876054024016182,1.0000000000000000,55.2964313873353319,18.9602628523308638,3.6357773894049710,11.1862256284807735,144.4790258352540206,94.4351714970147782,19.0023191709046841,56.8846496288165753,9.7443718482054980,4.4015773834281440,0.8309529905099730,2.6638627396834926,-1.9047996661272923,-2.7990110346679486,1.4432240237357339,0.0813988355656402
7,119.8093010834731871,122.6530824518637672,18.4259983454465299,85.1205178918908132,-3.5465162382811899,-20.6051020400259546,80.1710032200009834,2.2899999999999920,101.2036178894336587,1.0000000000000000,1.0161232806374056,0.8795322135837971,1.0000000000000000,55.6492463094577161,19.0812374522070698,3.6873240571714323,11.0286933333979444,148.0045536877274230,96.7395463046457849,18.7591990778702993,57.4165684810753518,9.6925740300354288,4.3781800717779031,0.8253970650677290,2.5769528327157731,-2.1074041345581547,-2.8804416284680783,1.3789940689634168,0.0623354557816260
8,124.0488009388744928,125.9346393760023801,18.4126260603593792,85.5797005928464927,-3.9923266540651268,-24.0609449142606060,85.6327314100002894,2.5600000000000067,100.8625598849068012,1.0000000000000000,1.0070886440779676,0.7309256030572937,1.0000000000000000,57.6341552897452374,19.7618310286819323,3.8200308483323289,11.1629966242468690,152.9592630377101159,99.9780705435689612,19.0301725879824417,57.8085881431284463,9.9451152994239713,4.4922541195501617,0.8440622249027173,2.5707216695119586,-2.3001932748508502,-2.9436034924409014,1.2268507993574118,0.0246193138692128
9,128.8136869750784115,130.1766165672318607,19.4345622430537759,85.1976080914582496,-4.6321703353530417,-27.8338800542589091,89.8420356500015487,2.5000000000000133,100.5955818592956490,1.0000000000000000,1.0017654080403575,0.8771471840419001,1.0000000000000000,60.1216464706605507,20.6147520120025902,4.1748130276870246,11.4263297218458106,158.2505910300388052,103.4366173015758790,20.5053672669043756,58.3706419795111628,10.7301361398412141,4.8468516277863252,0.8972077669756412,2.7696327227301247,-2.5644625556946381,-3.1257738393787848,1.0722852939491985,-0.0142192342288176
10,132.2069337302614542,133.4595170883027890,19.9856448332564547,85.1184067384887442,-5.1040515725448579,-32.4591209555220885,91.0906403299990757,2.1400000000000086,100.5259850631278198,1.0000000000000000,0.9885386390364060,0.9279680525246207,1.0000000000000000,61.5663419570446848,21.1101150124021544,4.4551484896704840,11.5376476504382754,162.2940328398881888,106.0795138642003508,21.4899113928391579,59.0399343973721855,11.2444851300781590,5.0791854218864509,0.9106117311197063,2.8996526702759082,-2.7849688167432509,-3.2738437929411397,0.9917239157328781,-0.0369628785933448
11,134.2513312961150405,135.4781115342201758,20.2184589343637100,84.8609857491276642,-5.0794446842411727,-37.7953640867379477,91.6064518600010729,2.2800000000000153,100.4822362715076451,1.0000000000000000,1.0025756438281026,1.0965271377069326,1.0000000000000000,62.6997997773811306,21.4987595897542327,4.6412272078410295,11.7238556852711824,164.6339696233834502,107.6089561494322453,21.9801215802110690,59.6507560939953265,11.5064330247687003,5.1975084853806708,0.8899808192200486,2.9772932861830048,-2.7984097488035924,-3.2685833677730374,1.0201063213080128,-0.0325578889725544
12,137.4697112482752459,137.9524957636361648,19.2521043084872900,85.2110908413010151,-4.4631951504373291,-43.0657968819542702,96.1384124200012025,2.3000000000000131,100.2312441698091305,1.0000000000000000,1.0129449412002924,1.1740892837789509,1.0000000000000000,64.8552988881304344,22.2378457964480809,4.5636824466440080,11.9913119088972522,168.5342582876328947,110.1582841696547206,21.2285627147748315,60.1179391221575159,11.2510994620814451,5.0821731459394401,0.8339544609818227,2.8117426700576860,-2.5114795551920936,-3.0046587411451120,1.0730002326003438,-0.0200570867004670
13,139.6629504431413409,139.4424681138007713,18.1338409612086480,86.6857586171635717,-4.8195995789287549,-48.1026207680957754,100.0786894000011529,1.3700000000000045,100.1008232623017875,1.0000000000000000,1.0237578300196051,1.4909705118619432,1.0000000000000000,65.2187993001936945,22.3624842801030752,4.4770855612273603,11.7746335842643308,171.9758795606483091,112.4078154996595629,20.1342921070472549,60.4505551934507110,10.8359135544654972,4.8946317703281439,0.7928418984588276,2.6033242062905999,-2.6400741832254626,-3.0403673669895275,0.9254476498667210,-0.0646056785804865
14,141.8053946221166370,141.8523204354471545,14.8986405013446142,87.7673002545732999,-2.6659407563345718,-52.7358705807476724,95.7549398900016797,1.5600000000000058,100.3395991663423388,1.0000000000000000,1.0078802635608466,0.5910952210374565,1.0000000000000000,66.4252351792456182,22.7761518678191628,3.9869038790414169,11.8091254201211928,175.6320980177514457,114.7976130154650463,16.9128964075016093,61.0423393183884500,9.3882401054532494,4.2407110444954998,0.7711197155087776,2.0580627985581956,-1.7422061112329295,-2.3134333308733686,1.3454434231438521,0.0442552626278744
15,145.7444215762116357,145.3051774006725623,15.9360459539402139,87.5463022098718824,-3.4823481642285645,-54.9290403478959632,99.6250031199999881,2.2500000000000187,100.1691101944983728,1.0000000000000000,0.9841818523553254,0.8009056353921842,1.0000000000000000,68.2776135789677596,23.4113028256575717,4.4195499446596243,11.8902726165041539,180.1382560793792891,117.7429527066927193,18.2462607421894702,61.5202345324270610,10.1655037030898985,4.5918045706471631,0.8728078728768317,2.2492532077162841,-2.1219546970357301,-2.5652026820056535,1.2005908252127129,0.0042183896001067
16,147.3398531533298979,148.2079297127983466,16.9829367900351862,86.6969282285692060,-3.6798650190306978,-58.5558776990502992,104.7562716999999992,1.1300000000000088,100.6135038272937692,1.0000000000000000,0.9769272681751288,0.4914422270773642,1.0000000000000000,68.4627282382837734,23.4747756847624558,5.0038345485815912,11.8488079402477808,182.0333604426947147,118.9816411911963598,19.7176272403073050,62.3544064742737518,10.9207589979450912,4.9329568456561637,0.9830091662533552,2.4942092759683474,-2.3270898775674835,-2.7255025161516873,1.3395129745918570,0.0332144000966161
