period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-1,tbsf0-1,tbsm1-1,tbsf1-1
0,100.0196369066741084,99.9960960118029476,18.5313282733002964,82.4220850214021681,-0.9534132947000615,-7.2002810981243224,100.2940579433942929,3.5600000000000076,99.9837689537667700,1.0000000000000000,0.9913566639035623,1.1647786974159438,1.0000000000000000,50.8594177528479676,17.4388817671759888,2.9709352572231804,11.5167549626388954,120.8869913689292872,79.0148168267714937,14.8051866562381882,52.1498296595564454,7.8944701027918081,3.5659682943028512,0.7485425141854712,2.3530888158136656,-0.7180752825051706,-1.9058826076233908,1.5406561435552875,0.1298884518732126
1,102.6013154294786034,102.9327090880217384,18.8723789451999941,82.0925910877001712,-0.9649700329000089,-8.2030642509911029,97.0870080699986886,3.7499999999999867,100.1188148083639078,1.0000000000000000,0.9885436999451760,1.1023945669243782,1.0000000000000000,52.0657570369196208,17.8525162340166403,3.0873923466652027,11.6889276836618716,123.9624716794827606,81.0250290972638538,15.5764642829348894,52.8942333664588205,8.2540622416101446,3.7283977099837422,0.7894668073264163,2.4477082033498476,-0.7326179053988581,-1.9416289276204590,1.5704413863501170,0.1388354137691911
2,105.7024331650847699,106.6422046918899014,19.5312979034999294,81.2739427992997463,-0.8052407027999700,-9.1809711399065552,92.5639735200006726,3.9599999999999858,100.3017523254081880,1.0000000000000000,1.0034949521449079,1.2240418023144770,1.0000000000000000,53.7678407015415658,18.4361335284462768,3.2620356981055454,12.0111482024907197,127.4853833968430337,83.3276939323459658,16.7828664123352276,53.8219344512294242,8.7927874963881596,3.9717423743962725,0.8370447411884407,2.6163747728693600,-0.6523341720291989,-1.9494187031617511,1.6391705019918426,0.1573416703991373
3,108.3980863261675722,110.1533459834294462,19.8519841251999907,81.5483994732002486,-1.4003835984000541,-10.0507499139529308,86.4226178899988184,2.9699999999999838,100.6553252885196628,1.0000000000000000,1.0069136706145891,1.0201594469013007,1.0000000000000000,54.2559754339292724,18.6035071292595617,3.4095654232860033,11.9003498578090703,131.1916679801174439,85.7502159435156841,17.8009486266134722,54.7070306809565423,9.2116028320505539,4.1609231792753416,0.8623085923869012,2.7234070367123637,-0.9177808744974304,-2.1833105371707613,1.5645168601193342,0.1361909531488036
4,111.1800256768373458,112.8748185079173680,20.3023829917734098,82.0682760807986398,-2.3706590656488369,-11.5069392341630632,87.2176666300014176,3.5699999999999843,100.6309305157046481,1.0000000000000000,1.0261558702017979,1.1201134016906193,1.0000000000000000,54.9119105369644629,18.8284167962234648,3.5449409421388034,11.8323337205831862,134.7961469968513200,88.1061952431739854,18.6715733287251524,55.4007664692298505,9.6242565301438336,4.3473207442502311,0.8726850006160602,2.8232359793138198,-1.3598491517839906,-2.4774958641015616,1.3805675523677383,0.0861183978689766
5,115.2308402150655411,117.3517658814012350,20.5223210489740850,82.8158405539888776,-3.3381616041850424,-13.8247002739722014,84.4990882199986686,3.5899999999999821,100.8138010269898501,1.0000000000000000,1.0172351556316113,1.4633078728591922,1.0000000000000000,55.7992117497268438,19.1326582056794088,3.7465014668138812,11.6086986928319522,140.2776993774092205,91.6890775067775650,19.7252026121095554,56.0919467627794717,10.1001701255028653,4.5622930944878766,0.8771430734451854,2.8941024068376273,-1.7895263777757948,-2.7878355085267454,1.2070758332373386,0.0321244488801600
6,117.5138402418466654,120.2223913230619559,19.0029433209230270,84.1762445195157198,-3.1791878414783108,-17.3544880795734464,79.9741783600012468,2.3500000000000076,101.1222953609186561,1.0000000000000000,1.0145928476993133,1.0893336019054773,1.0000000000000000,55.8595877302033514,19.1533601647585243,3.6571399667043565,11.3332786568609656,144.1796785935637217,94.2395105147873977,18.9254848428001523,56.7425749974896334,9.7308085226760621,4.3954507671798702,0.8300414232261739,2.6588843426302615,-1.7317832634815784,-2.7207956890505232,1.2405457951892433,0.0328453158645478
7,119.9171393116282047,122.5577460690028033,18.4259983454470202,85.1205178918937122,-3.5465162382676718,-20.6157503872504613,80.1710032200001734,2.2899999999999920,101.1438300551845657,1.0000000000000000,1.0166101072735936,0.8857245042710925,1.0000000000000000,56.2652178812769037,19.2924442628138415,3.6949004930407590,11.1879156494102663,147.6682874050958958,96.5197540968468388,18.6957941105046324,57.2621354995753578,9.6789949879979105,4.3720463563109622,0.8252444374750346,2.5721634982034760,-1.9060073504494319,-2.8048979694846952,1.1559266125563581,0.0084624691100968
8,124.0812614142132446,125.8797070839024173,18.4126260603593721,85.5797005928454411,-3.9923266540567051,-24.0633391828620411,85.6327314099999342,2.5600000000000067,100.8281654805099663,1.0000000000000000,1.0073599155227959,0.7336281119595106,1.0000000000000000,58.1810598688849012,19.9493558709813641,3.8224279159500694,11.2984153313780773,152.6437226227446899,99.7718252908118046,18.9941883347129803,57.6757116606870923,9.9369728565527051,4.4885761408208689,0.8452833090368077,2.5681794448221433,-2.0935870282676561,-2.8917898961760842,1.0191152272494595,-0.0260649568624249
9,128.8110030255392644,130.1449143259807784,19.4345622430541205,85.1976080914607650,-4.6321703353476726,-27.8308912390543526,89.8420356499995449,2.5000000000000133,100.5733603914523684,1.0000000000000000,1.0018730760451002,0.8770792863216574,1.0000000000000000,60.6462123307308119,20.7946172644385570,4.1713680325335023,11.5533200467771930,157.9386972765668418,103.2327555996596544,20.4852044744092616,58.2452562173716544,10.7247704300686131,4.8444279121123932,0.8993375429456053,2.7680281599382455,-2.3519462520237058,-3.0862249017907644,0.8696253453323796,-0.0636245268655831
