period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-1,tbsf0-1,tbsm1-1,tbsf1-1
0,100.0196483117166935,100.0041662463294330,18.5313282732999554,82.4220850213994680,-0.9534132946999597,-7.1997000427612079,100.2097782887715169,3.5600000000000076,99.9875319160968274,1.0000000000000000,0.9869627181096298,1.1426630500393362,1.0000000000000000,50.8599258775975045,17.4390559950343018,3.0152386745917581,11.5169292983162848,120.8863631029053778,79.0144061760948944,14.7751123628148111,52.1494190090314902,7.8949933563557222,3.5662046503336553,0.7371634998843843,2.3533251306612555,-0.7148244854618300,-1.9059146753134308,1.5381144831988511,0.1292113828764500
1,102.6061984691072553,102.6113271116956440,18.8723789451999338,82.0925910876993044,-0.9649700328999834,-8.2288341660696549,100.4984558165059667,3.7499999999999867,99.9505653812365722,1.0000000000000000,0.9807028191221840,1.0695380537786716,1.0000000000000000,52.2863814360868275,17.9281648155778335,3.1099340842142067,11.7582774968506971,123.8644946507207862,80.9609888155661110,15.4424448010282962,52.8347003070633292,8.2290203415342855,3.7170861690523203,0.7720902415415023,2.4378914495564992,-0.7270522858686055,-1.9210171789873711,1.5475999425492233,0.1354994894067698
2,105.7166757060634268,105.6998123206446820,19.5312979035000325,81.2739427993003858,-0.8052407028000763,-9.2598604997475142,101.9034455778417652,3.9599999999999858,99.8285328006762001,1.0000000000000000,0.9958597121388686,1.2080233820894029,1.0000000000000000,54.4025953418133668,18.6537807531286006,3.2303390603989723,12.2180096624764118,127.1763853812205127,83.1257249584492115,16.4526515341012782,53.6448648834234945,8.7184437833232984,3.9381609787841354,0.8113629340764189,2.5865828806895963,-0.6297739562282527,-1.8885490117785202,1.5670106544305353,0.1460716107761609
3,108.4476346544368681,108.5814149729134783,19.8519841252000013,81.5483994732000070,-1.4003835983999926,-10.1859874360095226,100.4665159164528347,2.9700000000000060,99.9141833015463590,1.0000000000000000,1.0114518516130602,1.0734758568677913,1.0000000000000000,55.1991980747992699,18.9269231029576552,3.3033509014462830,12.2113609422726963,130.6810116370657511,85.4164379501125950,17.2845397270789363,54.4450783326823782,9.0863944906395133,4.1043659981295013,0.8323734317528211,2.6743483005228592,-0.9285495711010221,-2.0894965122015989,1.4895163076468048,0.1281461772558236
4,111.1265507812743039,111.6257985298657758,20.3023829917516814,82.0682760808004161,-2.3706590656287405,-11.6051046966700966,96.9970800471430721,3.5700000000000065,100.1161284332293491,1.0000000000000000,1.0266248064621744,1.1434141805433893,1.0000000000000000,55.4477476002774452,19.0121467641714901,3.4399250293932089,12.0178246902876733,134.3607417303985301,87.8216032702528793,18.2940841085632933,55.2500871661898501,9.5219307268413633,4.3010997103474438,0.8511996583816102,2.7884243126493442,-1.4268740169290601,-2.4206423021204571,1.3828036016469634,0.0940536517738136
5,115.1406720889205246,116.0925033935289008,20.5223210489792294,82.8158405540087017,-3.3381616041840916,-13.9177787920910916,93.1162969541478276,3.5900000000000043,100.3530685721865581,1.0000000000000000,1.0097806856053748,1.4465830659739503,1.0000000000000000,56.1397973380501440,19.2494395623838201,3.6214186141675069,11.7383384712776895,139.8550891409246901,91.4128486913623846,19.3692198586725937,55.9943281413408016,9.9965479451998362,4.5154864811578115,0.8596747552713631,2.8620812498306045,-1.9207438489704385,-2.7488402107738801,1.2757401197880773,0.0556823357721497
6,117.4930372785501476,118.3059315548715205,19.0029433209284448,84.1762445195402478,-3.1791878414753993,-17.5409908419406548,93.0043241103236369,2.3499999999999854,100.3907097689720160,1.0000000000000000,1.0166740501848017,1.1260320600152034,1.0000000000000000,56.5715767191677728,19.3974898136353318,3.4430809533436451,11.5879636847560459,143.5158850389866814,93.8056381391764518,18.4187501269780007,56.5365797988192824,9.5814465904862089,4.3279832984796629,0.8124893955481953,2.6101945134055078,-1.8693700060560483,-2.6478893746884622,1.2839595355888829,0.0541120036802290
7,119.7820251259260971,120.7822016265559455,18.4259983454510632,85.1205178919120016,-3.5465162382670932,-20.7723160224885888,91.1548963846035178,2.2900000000000142,100.5269584461260308,1.0000000000000000,1.0269417864278643,0.9552790839098378,1.0000000000000000,56.7046434720590256,19.4431162771959123,3.4560113549313791,11.3775568390765134,147.0094283118973806,96.0891070108849163,18.2993021525312294,57.1128934322592698,9.5443064125199921,4.3112069100270096,0.8172216680183286,2.5317643758533177,-2.0739416991636519,-2.7545361150551453,1.2431090030763579,0.0388525728753462
8,123.7029880474426164,124.9602135777311389,18.4126260603617631,85.5797005928571082,-3.9923266540602298,-24.0440198966462688,89.5043313795574988,2.5600000000000067,100.6318769257447627,1.0000000000000000,1.0164828026337249,0.7812143233764640,1.0000000000000000,57.8564009951890981,19.8380355302618021,3.6259648595440108,11.2828837126829136,152.2225094901790499,99.4965096581054524,18.9113124070296656,57.7041961793343319,9.8687985321802110,4.4577814863307772,0.8543700836534414,2.5552265448700875,-2.2867687780096722,-2.9020558129799192,1.1800850538693048,0.0164128830600562
9,128.2936559156843828,130.0347416050368565,19.4345622430554457,85.1976080914665062,-4.6321703353548651,-27.6319663621302318,87.4893474780105578,2.4999999999999911,100.7329383253737944,1.0000000000000000,1.0074715477878344,0.8938478102921258,1.0000000000000000,59.6035918554922901,20.4371193614134405,4.0229321239403557,11.3504249879042334,157.8133447527951603,103.1508219971071298,20.6836840601641683,58.4374602037246476,10.7197285305054848,4.8421504629928105,0.9216821788293361,2.7787192324582217,-2.5848922378640755,-3.1510938482284514,1.1105497119358325,-0.0067339611981709
10,131.6311859915318792,133.8599818967513784,19.9856448332574708,85.1184067384931069,-5.1040515725497819,-32.1256964522545658,85.3060631322290135,2.1400000000000086,100.8644861856258217,1.0000000000000000,0.9912343090564197,0.9214475248642440,1.0000000000000000,60.6027663742051388,20.7797203400814006,4.3400330604714012,11.3490770187285310,162.1043834484727881,105.9555541911676784,21.8580042016950671,59.2048666013397735,11.2802250931009098,5.0953293268375406,0.9424414461600380,2.9232910980180766,-2.8324064306932479,-3.3367332845035000,1.0842190872723334,-0.0191309446253674
11,133.7074294124479650,136.1514976820624554,20.2184589343649641,84.8609857491331070,-5.0794446842468624,-37.3864551911384027,84.5834266903506631,2.2799999999999931,100.8906074744594150,1.0000000000000000,1.0078993410623109,1.0973996146022584,1.0000000000000000,61.5695655344031252,21.1112203255753101,4.5484658399826978,11.4956889527287096,164.6179121451573621,107.5984605726429919,22.4294396827808065,59.8501600708132671,11.5667671058917474,5.2247616660944205,0.9237937332687641,3.0060560419075890,-2.8586268692733356,-3.3449819166640107,1.1347454426923529,-0.0105813410018692
12,136.9876461576637894,139.1691884077901022,19.2521043084882102,85.2110908413057899,-4.4631951504448040,-42.4923137218544724,85.7047575788985796,2.2999999999999909,100.8123674569209527,1.0000000000000000,1.0237298328189552,1.1962786639256351,1.0000000000000000,63.3565593817733799,21.7239519650604223,4.5324347570128687,11.6682152727223620,168.7961687167111222,110.3294754975576524,21.8047229732648020,60.4019080632688699,11.3532641799067484,5.1283214167945781,0.8698728568640548,2.8508703651211742,-2.6000757956807816,-3.1071267188958722,1.2333230566180331,0.0106843075138163
13,139.1749960730825251,141.7483759166889854,18.1338409612084241,86.6857586171622216,-4.8195995789396910,-47.1614542261519318,82.7166649606902524,1.3700000000000045,101.0684302744655270,1.0000000000000000,1.0092513932158969,1.3724529296573174,1.0000000000000000,62.8678948041573662,21.5563966887836820,4.5963782264931003,11.2241846290954150,172.7645460776257096,112.9233080242952241,20.9505497702043293,60.9382656227874620,11.0179170582037980,4.9768435863629268,0.8341445105341002,2.6660627321228185,-2.8024704858020510,-3.1990588117553549,1.1943726715853156,-0.0124429529676003
14,141.6746310449814246,142.7257326963413391,14.8986405013456658,87.7673002545797090,-2.6659407563373412,-52.3323619685278700,89.4953329512366054,1.5600000000000058,100.6618471275827744,1.0000000000000000,1.0199524934486308,0.6425884778358467,1.0000000000000000,65.5590154427341929,22.4791389597511966,3.9902742249401668,11.6472497906660397,175.9683410375044730,115.0173900180540443,17.1900088392574339,61.1890413549137264,9.4532303904382982,4.2700674538145282,0.7849122341477256,2.0732363914880780,-1.7948663377225027,-2.3664221442499236,1.4341685707969847,0.0611791548381007
15,145.5331154774515880,147.4579820394085630,15.9360459539404573,87.5463022098725077,-3.4823481642355065,-54.0637261057740162,85.0423938734668212,2.2499999999999964,100.9579152378276916,1.0000000000000000,0.9771283356940789,0.7408589272822171,1.0000000000000000,66.3725537508985894,22.7580882477294857,4.5477285225805701,11.4555363983710325,181.0108647251146294,118.3133119448824715,18.8556950469223992,61.9102473917741705,10.3222915449093477,4.6626263567303869,0.9063372184469923,2.2939765665023319,-2.2476139670674185,-2.6855446275663311,1.4068617804620505,0.0439486499361926
16,147.2302159402350981,149.6253630828553582,16.9829367900363337,86.6969282285755725,-3.6798650190345414,-57.9885283955631508,83.2289531061152985,1.1299999999999866,101.0681875347179641,1.0000000000000000,0.9744428720117004,0.4582216189700828,1.0000000000000000,67.3252013916958845,23.0847359033195438,5.0929637593526103,11.5990794589885908,182.7133939766855235,119.4261284310215387,20.1249634638946624,62.5769046372982203,11.0331227992073106,4.9837120892014806,1.0049915439595780,2.5214395942030303,-2.3960822594975326,-2.8000207339267971,1.4602171577385425,0.0560208166512460
17,152.9455157281525146,154.2427305580465315,18.0731525960124841,83.9458546615851589,-2.0190072580100877,-60.4982975966726571,90.9518662972992331,1.6329743596045221,100.5012064694650746,1.0000000000000000,0.9833878668076053,0.6478440523305538,1.0000000000000000,74.0368710589267636,25.3860601999514408,5.5463394273436002,12.9609664522418555,187.0245467656137066,122.2440077087825898,21.6105935241546874,63.1953177581743049,11.9443523309529827,5.3953186412217837,1.0903272687371481,2.7600840447791559,-1.5663245607309946,-2.2784138888032657,1.6766271698831849,0.1491040216409876
18,158.2504002195987027,158.8808407602510329,18.7186295572894217,82.0595410782846244,-0.7781706359621368,-61.6833651094463065,96.3852446248877328,2.0258267402470054,100.1432116786891839,1.0000000000000000,0.9892021134249435,0.7710986340148600,1.0000000000000000,79.6117424689077069,27.2975945367837447,5.8836039382631649,13.9624777597427805,191.6272002436948867,125.2524192621630306,22.7791369697258048,63.7697043408479018,12.6558110733878735,5.7166878129576038,1.1542958913770396,2.9170081278633861,-0.9266851556182580,-1.8923987267498741,1.8260124180459267,0.2149008283600684
19,163.2656174358195074,163.4711150090310525,19.1068334834703535,80.7863651387385460,0.1068013774300285,-61.9374448548594714,100.0406397240811742,2.3014910493552199,99.9240928208480881,1.0000000000000000,0.9929813737262132,0.8512141121096590,1.0000000000000000,84.3017202305709930,28.9057129795425745,6.1329375473915757,14.6765857029466744,196.4078514812757419,128.3771746851623163,23.7879781379214350,64.2870964437812802,13.2463271845310508,5.9834266443412210,1.2039391742429955,3.0219214371669052,-0.4606782662883840,-1.6186340458655277,1.9262709491035341,0.2598427404804060
