period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-1,tbsf0-1,tbsm1-1,tbsf1-1
0,100.0196483117160540,100.0041662463295467,18.5313282733002254,82.4220850214020402,-0.9534132947000568,-7.1997000427613429,100.2097782887697548,3.5600000000000076,99.9875319160990443,1.0000000000000000,0.9912968377054159,1.1641203893402385,1.0000000000000000,50.8599258775976821,17.4390559950343622,2.9265228997423818,11.5169292983163452,120.8863631029052925,79.0144061760948375,14.8528952286252540,52.1494190090314191,7.8949933563557515,3.5662046503336686,0.7480964089234144,2.3533251306612688,-0.7148244854618354,-1.9059146753134721,1.5381144831988207,0.1292113828764301
1,102.5994487070456245,102.9365284141886292,18.8723789452001149,82.0925910877009386,-0.9649700329000215,-8.2028372956678783,97.0870080699995981,3.7500000000000089,100.1190123025552481,1.0000000000000000,0.9887226933749109,1.1029720038652933,1.0000000000000000,52.0299748905928965,17.8402471077321074,3.0359937497874272,11.6825339262055561,123.9815328013289104,81.0374879320328461,15.6291243437446621,52.9005297968561834,8.2541541347429135,3.7284392185325936,0.7887935867772703,2.4478055304087567,-0.7408152316741974,-1.9514869876991618,1.5849945324397554,0.1423376540335824
2,105.6868024850871279,106.6600909214053274,19.5312979034999792,81.2739427992993484,-0.8052407028001017,-9.1795449061483403,92.5639735199996920,3.9599999999999858,100.3068948464865144,1.0000000000000000,1.0038418467991803,1.2274475039967954,1.0000000000000000,53.6884034078645414,18.4088957496130625,3.2027010286739412,11.9966080397601136,127.5263430570163621,83.3544662095714415,16.8484925827258039,53.8357915912035310,8.7939841577700513,3.9722829118219996,0.8362853783437028,2.6170577956258758,-0.6583956786027486,-1.9768829811196491,1.6663248364077179,0.1637131205145784
3,108.3427541128872633,110.1991481553929191,19.8519841251998557,81.5483994731986144,-1.4003835983999973,-10.0468224463845850,86.4226178900014901,2.9700000000000060,100.6798383384186195,1.0000000000000000,1.0068324325996194,1.0193156295110404,1.0000000000000000,54.0359040362544576,18.5280481630748106,3.3467606351016168,11.8462611678711216,131.3047318860507744,85.8241173924298835,17.8868343137213444,54.7586607270948775,9.2165587741327357,4.1631618010071811,0.8614931424248032,2.7258656805119861,-0.9630014150312453,-2.2358340661799914,1.6435375151382556,0.1549143676729836
4,111.1356470054742687,112.9151905513385969,20.3023829917535608,82.0682760807997056,-2.3706590656830469,-11.5036610884017136,87.2176666300007923,3.5700000000000065,100.6540763618958039,1.0000000000000000,1.0263159080278002,1.1220186737972506,1.0000000000000000,54.6020192440769279,18.7221600230216048,3.4777109717048935,11.7566884436152961,134.9605754008884162,88.2136698364199958,18.7614048670047353,55.4740702327103818,9.6287662779851342,4.3493578180003354,0.8712033332265305,2.8255774928011865,-1.4600524396740366,-2.5259728361501566,1.5003728168774790,0.1149933932636675
5,115.1655292677924933,117.4067653869109762,20.5223210489740140,82.8158405539877691,-3.3381616041984210,-13.8199011464271386,84.4990882199990097,3.5900000000000043,100.8497854041483492,1.0000000000000000,1.0177938820086061,1.4649521048752725,1.0000000000000000,55.3254754933322772,18.9702216122399001,3.6800768105860344,11.4908252441762890,140.5292132219868790,91.8534733622261399,19.8270238469156581,56.2062804513624243,10.1071281357485852,4.5654360595766796,0.8749963115316807,2.8976421669103298,-1.9533617003481589,-2.8482035867007229,1.3878312150779324,0.0755724677725289
6,117.3913800929096425,120.3259726913335470,19.0029433209229666,84.1762445195149951,-3.1791878414937536,-17.3428244062596022,79.9741783600014884,2.3499999999999854,101.1786199013966439,1.0000000000000000,1.0146243528801013,1.0870775373175836,1.0000000000000000,55.2759647609718670,18.9532451731458629,3.6033752817051985,11.1900375035471473,144.4904053185640862,94.4426094171677022,19.0358586115818547,56.8803268803190605,9.7423684725565156,4.4006724494740181,0.8269638078111423,2.6643736131146496,-1.9066002329103720,-2.7998778845594088,1.4454891801318088,0.0818010958442179
7,119.8059923184516435,122.6660912404786927,18.4259983454468426,85.1205178918922485,-3.5465162382813049,-20.6035778936568299,80.1710032200004150,2.2899999999999920,101.1990585538983396,1.0000000000000000,1.0161519709792259,0.8788751375833218,1.0000000000000000,55.6225037980993235,19.0720678723270431,3.6478253779826311,11.0335540186057202,148.0196422088619386,96.7494085463984419,18.7998871663827494,57.4110665103783688,9.6900119731155829,4.3770227789355198,0.8205768918058366,2.5775941182050310,-2.1097831536471823,-2.8815594163761871,1.3819584392365531,0.0628678925055115
8,124.0455825103690159,125.9505606404200364,18.4126260603594645,85.5797005928474022,-3.9923266540651898,-24.0589366257967363,85.6327314099996357,2.5600000000000067,100.8564335393005820,1.0000000000000000,1.0071200576878114,0.7301508441872734,1.0000000000000000,57.5995779349072379,19.7499750061499455,3.7721405674634587,11.1694246508277235,152.9785261463999007,99.9906614020840294,19.0789069722904330,57.8013766710627408,9.9417216874240584,4.4907212094704114,0.8382504432059119,2.5715051149968531,-2.3033465905523109,-2.9449556637173444,1.2306564046839024,0.0253191955205634
9,128.8100639762095909,130.1959993299386440,19.4345622430538398,85.1976080914589176,-4.6321703353531571,-27.8312621526637933,89.8420356499982660,2.5000000000000133,100.5875258707989701,1.0000000000000000,1.0018050299325518,0.8762670473694540,1.0000000000000000,60.0772477452304230,20.5995283984104738,4.1148559281525063,11.4347157493958633,158.2746292321267845,103.4523292827685452,20.5654031485371434,58.3612510133292162,10.7254643212433773,4.8447413459333699,0.8900509896985001,2.7706376613619628,-2.5684709945669542,-3.1274143346279257,1.0770443490675428,-0.0133293552258201
10,132.2024864546240508,133.4832093551530932,19.9856448332563232,85.1184067384883747,-5.1040515725449298,-32.4555746092408981,91.0906403299988909,2.1400000000000086,100.5158225755902635,1.0000000000000000,0.9885867330317629,0.9269210559499083,1.0000000000000000,61.5105843445090343,21.0909966179023520,4.3796381036160179,11.5481988076310156,162.3238732427863624,106.0990183116378915,21.5647167369522137,59.0281191612697711,11.2383836459121458,5.0764293535498952,0.9018870771144331,2.9009167491855221,-2.7899847370728268,-3.2758201610533848,0.9976043946434983,-0.0358510690622174
11,134.2455074646055664,135.5069343300391722,20.2184589343637313,84.8609857491280906,-5.0794446842413237,-37.7904648965234387,91.6064518600009166,2.2799999999999931,100.4695815415264093,1.0000000000000000,1.0026194614719293,1.0953008005266256,1.0000000000000000,62.6301587840373983,21.4748808057899367,4.5473435956924266,11.7370529522106732,164.6705231958132174,107.6328484954754003,22.0723323062829024,59.6359957951690163,11.4987354900396994,5.1940314736964783,0.8795951947631331,2.9788563180698047,-2.8046410862220394,-3.2709733499978388,1.0273624455485462,-0.0311926935699905
12,137.4637814362582162,137.9861640275361196,19.2521043084873789,85.2110908413009156,-4.4631951504377367,-43.0595280379525889,96.1384124199992414,2.3000000000000131,100.2149926378145892,1.0000000000000000,1.0129954846712204,1.1725055485987359,1.0000000000000000,64.7687475924610254,22.2081687399919971,4.4493953104744559,12.0082456730853639,168.5786603090583355,110.1873064618793734,21.3401498744997795,60.0992524811676674,11.2418397707384106,5.0779905009595554,0.8217883296990476,2.8134955468594045,-2.5191979933785817,-3.0074460884444529,1.0818445161468779,-0.0183955847615806
13,139.6590257197016172,139.4815001388879523,18.1338409612084988,86.6857586171638985,-4.8195995789289539,-48.0945521132818712,100.0786893999987797,1.3700000000000045,100.0801544223146351,1.0000000000000000,1.0238627618189187,1.4889480522405985,1.0000000000000000,65.1154955235081303,22.3270630655607327,4.3372415893304641,11.7957253445237544,172.0306533438634631,112.4436170395824774,20.2705827184575575,60.4275384070246488,10.8249945573022668,4.8896996093112959,0.7784324576079861,2.6052492324572736,-2.6496207675476571,-3.0435566491960029,0.9361323529873621,-0.0625545151726561
14,141.8000970505293026,141.9026269503039828,14.8986405013444898,87.7673002545734846,-2.6659407563347810,-52.7238916389779391,95.7549398899992212,1.5599999999999836,100.3149666585921835,1.0000000000000000,1.0079771107979467,0.5884477415103255,1.0000000000000000,66.2969650399114272,22.7321700864118661,3.8224047697286005,11.8350104807971199,175.7014685902101974,114.8429553886511627,17.0769194914174989,61.0144987969957242,9.3771268703442416,4.2356911453091257,0.7535756719853173,2.0600182592750205,-1.7534612360881732,-2.3171185525266500,1.3580082466739876,0.0466307856060548
15,145.7411481070891455,145.3667446959117910,15.9360459539399475,87.5463022098707597,-3.4823481642289229,-54.9133720948791719,99.6250031199974302,2.2499999999999964,100.1378381156559243,1.0000000000000000,0.9838482648136333,0.7950792049923933,1.0000000000000000,68.1186069614980028,23.3567819969739112,4.2157624890786281,11.9227701370244343,180.2257636218895414,117.8001498654945891,18.4473830270578212,61.4852370490109053,10.1505891326159450,4.5850675908700840,0.8508052628725058,2.2517531706122038,-2.1360569405751058,-2.5696989358019637,1.2162023300379889,0.0072053821101578
16,147.3369157536845933,148.2348953085849814,16.9829367900349162,86.6969282285678986,-3.6798650190309421,-58.5543211315038548,104.7562716999999992,1.1299999999999866,100.5560651827236001,1.0000000000000000,0.9918999819109378,0.6244194462970574,1.0000000000000000,68.3126389242682421,23.4233124569616074,4.7309802195578952,11.8995090723251113,182.1237766584897315,119.0407395329476969,19.9668650460537194,62.3016706801892042,10.8976019114774765,4.9224966836621702,0.9537495465152801,2.4962439379755392,-2.3410581666861416,-2.7279599161467893,1.3533611016873253,0.0357919621146640
17,152.0317871865016457,152.8074004221174675,17.5484238353780988,84.8886689100798435,-2.4370927458676124,-61.0541353693365991,101.6700000000000017,1.5150977985112002,100.3735622472198514,1.0000000000000000,0.9935199855287502,0.6995355570376458,1.0000000000000000,72.8432789985973272,24.9767965524697608,5.0732309307133630,12.7254123764285882,186.4713377358835089,121.8824161954522225,21.0371154411167574,62.9592426465629984,11.5268710546437863,5.2067404370612271,1.0237447020518440,2.6417626027514851,-1.7659716124781712,-2.3616020522143564,1.5772381352831089,0.1132427835418066
