period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-0,tbsf0-0,tbsm1-0,tbsf1-0
0,277.9145347254784042,344.2050254767385695,18.3350287342840836,82.7791624534230976,-1.1141911877080295,2.0917765480116381,80.8037552235756209,2.5184790137654955,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,198.2571737221741728,76.2766904878900789,13.3084055603431999,48.1426653242066394,296.2795486269819776,189.5636840116992516,38.1873616667748976,124.5044501422038365,27.7768990560942441,12.3279727492796773,1.4167766980251637,7.0548883828033748,-0.5532575938184949,0.1288165253777507,-0.5879211650982943,-0.1018289541689910
1,284.0294609587569994,351.4907177717174704,18.4451816594976492,82.6808848133020859,-1.1260664727983714,0.9795609818387427,80.9580905112842686,2.1533103732282566,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,202.4198393326888663,77.8782181926215031,13.8220623408048642,48.6670413941758611,302.9638554789344198,193.8403944285766443,38.8175598801853141,125.2603975571704922,28.3434172009420138,12.5794054321558999,1.5419707383990284,7.2289317570647302,-0.5712511068792795,0.1299338914733010,-0.5834334884932935,-0.1013157688990994
2,288.6330951613460911,360.9882457548601451,18.3892444013547767,82.7885133369188821,-1.1777577382731046,-0.1470822874926819,80.2097250065482683,1.6168043652735831,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,205.2969684069628897,78.9851535925967170,14.1485227815967409,48.9940949740513076,308.3369562666783281,197.2781773758338204,38.9735969759768182,125.9959552269022396,28.5737347869326399,12.6816252270307110,1.6452180893852071,7.3091096944910268,-0.6170231410005566,0.1212337438369854,-0.5795432132601831,-0.1024251278493503
3,291.4607727502835814,365.4809627709141751,18.0800388884257544,83.1019201231466269,-1.1819590115724128,-1.3323048822003254,80.0535659765967296,2.0772079444578040,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,206.8527217529869517,79.5837080570947819,14.1992434286791820,49.1257318902227738,312.0399914188735124,199.6474296199660046,38.3967848913139491,126.5274505692589457,28.3088611176345069,12.5640687146743524,1.7225071023586724,7.2322921513586049,-0.6331441183418326,0.1245225936527739,-0.5725132087536460,-0.1008242781297081
4,296.1688049672639522,369.8470379910636439,17.9323671679140659,83.2208399028042862,-1.1532070707032911,-2.5247190781025051,80.4173721186297996,3.2203877206368858,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,209.9908002529747932,80.7910401196697450,14.4407646805237242,49.3928076197676162,317.4250778197871909,203.0928811255092228,38.3753184634471580,127.0819051611376693,28.4374124448328516,12.6211225008217731,1.8268923774433328,7.2347477575877503,-0.6249922762288744,0.1363914716675128,-0.5662574984147152,-0.0983487677272142
5,305.5779110430029277,376.1413826040926551,18.1922177518987347,82.8689943619017129,-1.0612121137989483,-3.6786490969509331,81.6020432306528392,2.4848939769345879,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,216.9901692617972913,83.4839500077358565,15.1842963954365953,50.1459765823821542,327.1075191041720700,209.2878387207963442,39.7812624625919824,128.0566340463636266,29.5524231348763919,13.1159877258511486,1.9880255902597117,7.4792019038410062,-0.5785845815789740,0.1687558552589052,-0.5582752734576839,-0.0931081140211956
6,312.3730971485742316,376.0262069198936956,18.0993625054990517,82.8482937766179646,-0.9476562821157889,-4.7542182115616800,83.4027567639755745,2.5508110057648858,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,221.9514716343113037,85.3927421002499898,15.5174057675799677,50.6348652282142240,334.3890482248704075,213.9466600662273379,40.1582920444428026,128.8364522136595838,29.9523349247448323,13.2934769998574964,2.1020560983277532,7.5114807286051395,-0.5101258270790237,0.2009886889082488,-0.5512341471529629,-0.0872849967920510
7,319.2463654382119103,378.5943889580192945,18.0041417711182312,82.8680858738434409,-0.8722276449588485,-5.7230025551380281,84.6363955808621427,2.4819290536644445,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,226.8918267718845243,87.2934750354274200,15.8493773908927018,51.0709363333354247,341.8220806062301449,218.7024152579661802,40.5600086841916649,129.6606703972074968,30.3728363092372184,13.4801043695501246,2.2231424503048420,7.5382521627080221,-0.4640494812230273,0.2220876054558603,-0.5467413168040338,-0.0835244523876480
8,325.5253929065828515,385.0701674955835188,17.8577307854206957,82.9801430240602116,-0.8378738094792052,-6.6279790748384588,84.8569818251194192,2.8402094274529111,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,231.2437552126882565,88.9678189820924104,16.1234167608263235,51.3349299845539377,348.8022972819300094,223.1684528038498172,40.7943220900656840,130.3578417780405516,30.6885031328455682,13.6202039534322790,2.3473462156746554,7.5225827554669777,-0.4510268949457290,0.2345998209729268,-0.5409341599592734,-0.0805125755471297
9,333.0295535315796656,397.0474308276399142,17.8284151516065030,83.0309688745830385,-0.8593840261882119,-7.5012326062982142,84.2354328746889820,3.7102788800042585,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,236.4249022308126769,90.9611932446930780,16.5740278421016995,51.6943249687943975,357.0281857455562431,228.4314880982553007,41.4297916970777678,131.3505872819415004,31.3070540209831805,13.8947298635277114,2.5053327269134198,7.5836697524223258,-0.4712805670307209,0.2313701955354239,-0.5388785187188359,-0.0805951359740790
