period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y,va,i,l,tbsm-1,tbsf-1
0,102.7042938995532211,100.6500123148333330,18.1338891801343429,77.1655884810809596,4.7005223387847073,-7.1535013602168185,122.2504999215189940,2.5531399367167529,99.9999999999999716,1.0000000000000000,0.9917836256442273,0.9999999999999999,1.0000000000000000,184.8424533351427215,102.9288194637207567,18.2517616929634485,68.9508108058013818,4.6987141205635297,0.0018082182211782
1,105.4612351856982144,103.3096336191441793,18.6060796460826978,76.6010551052268198,4.7928652486904415,-2.4508447809907214,122.8496498901847644,2.7835134295813191,99.9999999999999716,1.0000000000000000,0.9891493120351991,0.9999999999999999,1.0000000000000000,189.8227871126546233,105.7020994489476777,19.2218727132542000,70.1548681055831196,4.7650347186390025,0.0278305300514387
2,108.5903906726683346,106.2897303588611067,19.1758782292436365,75.8845211685670762,4.9396006021893015,2.3397187813927367,124.0498259497697404,2.1678797092586466,100.0000000000000284,1.0000000000000000,1.0066268729158825,1.0000000000000000,1.0000000000000000,195.4939363805523556,108.8600574213453456,20.3819892638066058,71.5994054171990655,4.8726778520424583,0.0669227501468440
3,111.5379963713749589,109.1081143738625343,19.1820045486754900,75.8719330333191806,4.9460624180053818,7.2450170234891660,124.9878710684948828,2.2782636016500213,100.0000000000000284,1.0000000000000000,1.0062441278680989,1.0000000000000000,1.0000000000000000,200.8323210202499354,111.8327166719292336,20.9291234621683628,72.6915832026830486,4.8852593035924832,0.0608031144128986
4,114.5479074878948182,112.0171188968551519,19.2071390915919835,75.8748408164742614,4.9180200919338022,12.1450179092831387,125.4790784121617833,2.4621478675842967,99.9999999999999716,1.0000000000000000,1.0281727276823582,1.0000000000000000,1.0000000000000000,206.2692248499288041,114.8602359600008782,21.5152838329129423,73.7614890678082418,4.8709962422871254,0.0470238496466767
5,118.7915014796699609,116.2102519109410537,19.0501407605963351,76.2843791726174771,4.6654800667860590,16.8523227994798575,124.8992832036092153,1.7575966951060007,99.9999999999999716,1.0000000000000000,1.0223877203535681,1.0000000000000000,1.0000000000000000,213.8895605021767494,119.1035909818099299,22.1382165672778690,74.5184289101192832,4.6990160189777503,-0.0335359521916916
6,121.3592553771690632,118.7816121094489290,18.4904802578721643,77.0648444069950784,4.4446753351326951,21.4219989206955610,124.1323594834679085,1.9993554373967104,99.9999999999999716,1.0000000000000000,1.0149060895647959,1.0000000000000000,1.0000000000000000,218.4845909215054007,121.6623162525887523,21.9632905370799527,74.9870388717564822,4.5465654105477098,-0.1018900754150154
7,123.9201340975049845,121.3342755849992329,18.0786274812934380,77.6344910081309365,4.2868815105756548,25.8287705941027141,123.5573002339918247,2.9313236223993844,100.0000000000000284,1.0000000000000000,1.0123845749837244,1.0000000000000000,1.0000000000000000,223.0735465812978191,124.2176588165471856,21.9355716901379800,75.4951784975385323,4.4374819400852195,-0.1506004295095655
8,128.2215210059590618,125.4989489394865387,18.0895784380051481,77.6766515593517823,4.2337700026429781,29.9697584084680031,124.1223761192402719,3.3963142251713041,99.9999999999999716,1.0000000000000000,1.0033154538517703,1.0000000000000000,1.0000000000000000,230.8384269651868692,128.5415030242498347,22.7022308072804542,76.2973378881832218,4.4071990441715307,-0.1734290415285529
9,132.9027559372279939,130.0176488628212041,18.3510872939676055,77.3923253298520564,4.2565873761802964,34.1360878752117145,124.8663617815818867,2.8917977291574637,99.9999999999999716,1.0000000000000000,1.0005789379888081,1.0000000000000000,1.0000000000000000,239.2961826886716494,133.2511722383475501,23.8596522403806084,77.3414677364935557,4.4284653872021646,-0.1718780110218694
10,136.1274101949743169,133.2455203209501065,18.3519323253231228,77.4737020722253931,4.1743656024514335,38.5459560535800350,124.0249349317246725,2.5962555332362580,100.0000000000000284,1.0000000000000000,0.9879657263750723,0.9999999999999999,1.0000000000000000,245.0674693626740464,136.4648913457471622,24.4531277158254277,78.2093049852137767,4.3671553320300855,-0.1927897295786528
11,137.7751611576398147,135.0019913757072061,18.3395788532927035,77.5573185299816856,4.1031026167255904,43.2591983313150763,122.4388613898315867,2.9023912787721651,99.9999999999999716,1.0000000000000000,1.0015810068071300,1.0000000000000000,1.0000000000000000,247.9689561783688418,138.0805732805001753,24.7587966618632471,78.9234703948892218,4.3066913337465538,-0.2035887170209633
