period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-1,tbsf0-1,tbsm1-1,tbsf1-1
0,102.9046186658910500,101.6165665252293024,18.3879704053872146,76.6157526971589107,4.9962768974540728,-7.0854588441662782,128.2820863034326067,2.7211322763753820,98.4742149561226370,1.0000000000000000,0.9912327991689505,1.0000000000000000,1.0000000000000000,59.5835680645751822,20.4302535234278189,4.2232103875603659,14.6387689078028238,121.0653030153416125,79.1313658608718811,13.2381229065401378,52.2664230767633811,7.9259619992581474,3.5801933281384621,0.6266738093472357,2.3673257322252330,2.5571063806737699,-0.0566915470812568,2.1117720237312487,0.3840900401303119
1,105.5935436306908031,104.2469622396854874,18.7284488468403154,76.1419655175328955,5.1295856356263130,-2.0918819393541170,128.4065766590300086,2.9882053187415991,98.5149323560609105,1.0000000000000000,0.9886714177602660,1.0000000000000000,1.0000000000000000,61.7025877100853464,21.1568315043231223,4.3150424137957870,14.9201994462785645,123.8701856491991151,80.9647085971342904,13.9188773444811655,53.0439192585058734,8.2572694228555967,3.7298464084380334,0.6568856163878624,2.4651549141028721,2.6708655288785770,-0.0236703655121436,2.0978151431543108,0.3845753291055689
2,108.6079547418424909,107.1848153657478520,19.1117751424626938,75.5431739477740507,5.3450509097640033,3.0427273910318768,129.4038804933472306,2.2127075679828634,98.5087581596127535,1.0000000000000000,1.0037785636586976,0.9999999999999999,1.0000000000000000,64.1765641645600198,22.0051185038718948,4.4190868614174859,15.3171240011343990,126.9777443375043333,82.9958881124347982,14.6833638009012510,53.9137524101975174,8.6329708612049725,3.8995524684817680,0.6859084122035198,2.5778268077353022,2.8436091783287614,0.0329885460429512,2.0816925168411480,0.3867606685511424
3,111.5455514697877106,110.0034248690894572,19.1252852007072889,75.4319209544085396,5.4427938448837132,8.3537003537215710,130.1315280920180157,2.1679541821035375,98.5270376779075860,1.0000000000000000,1.0067574728360578,1.0000000000000000,1.0000000000000000,66.2999202116424300,22.7331833675836883,4.4419771216530064,15.5716222051233704,130.2427724475403465,85.1299936528847354,15.1902496135300265,54.7712267293046153,8.8700102888833676,4.0066242633704361,0.7016641710907323,2.6229053022206421,2.9509006202036629,0.0657029087948684,2.0446592107787471,0.3815311051064347
4,114.4750376131520540,112.8368181933081189,19.0979865470572960,75.4658724222724260,5.4361410367075900,13.7416478616637043,130.1375122875749923,2.4370162822602071,98.5688377546123320,1.0000000000000000,1.0262056340270762,1.0000000000000000,1.0000000000000000,68.2127890736346956,23.3890755384791689,4.4593868578013920,15.7514805774214022,133.5963603542273574,87.3219841322462429,15.6761205958087917,55.6096567760830069,9.0922124415873569,4.1069939932131083,0.7156857943441118,2.6588548959705220,2.9816156883702969,0.0674971768585511,2.0122740648853163,0.3747541065934255
5,118.6883718031033510,116.9632036139670248,18.9895792323069443,75.8261323365143340,5.1842884302323462,18.9520865104432730,128.9015883890404268,1.6849634164968430,98.6608310436957510,1.0000000000000000,1.0176422511573067,1.0000000000000000,1.0000000000000000,70.4764538887877592,24.1652500370509706,4.5214308555638434,15.7569662005431770,138.6513372870531100,90.6260458173602075,16.2871764423654461,56.3792304487223319,9.3865513509462666,4.2399482263518689,0.7356543955957141,2.6739554509978940,2.8650528333066374,-0.0017536069452321,1.9632100189852040,0.3577791848857365
6,121.3963112248941485,119.5903292702048333,18.6831032988589314,76.3242140149441894,4.9926826853349464,24.0039091187559777,127.7034970118377686,1.8107421374772947,98.7515901998111900,1.0000000000000000,1.0145129503440746,1.0000000000000000,1.0000000000000000,71.7404038244888653,24.5986382758907070,4.4903972501829843,15.7183530635744759,142.0588869666692631,92.8533070860379439,16.5122829907147555,57.0923142705062290,9.4764719386476433,4.2805657675640134,0.7414764156820072,2.6488167836164163,2.7630833745755869,-0.0481996316630643,1.9312821962397848,0.3465167461826394
7,124.0453195598012996,122.1682439942791945,18.3966415582097689,76.7767415558439268,4.8266168851593720,28.8986987766871657,126.6379818654118594,2.7723369753158478,98.8295993014698695,1.0000000000000000,1.0160977006910308,0.9999999999999999,1.0000000000000000,72.9712552667031105,25.0206775701280151,4.4675896904491665,15.6848785486596967,145.3957033971801991,95.0343353013629155,16.7186306431643175,57.7354756096884643,9.5636689058043363,4.3199530369046331,0.7500887951086755,2.6235746649983422,2.6712351851781171,-0.0880898352601944,1.9060931724444050,0.3373783627970442
8,128.2876229807523600,126.2921063940216868,18.2703888872291813,76.9567695311867794,4.7728415808605007,33.5285197505057795,126.8710177251676186,3.3446370565050509,98.8424317680434541,1.0000000000000000,1.0070839816384871,0.9999999999999999,1.0000000000000000,75.4539614427729788,25.8719578517371289,4.5273842242936526,15.7900368482745908,150.4304642541480348,98.3251832443464906,17.2382470292317400,58.3447791722579794,9.8322562229996127,4.4412751579462357,0.7744815675082105,2.6272551710971581,2.6734550498814382,-0.0978783367893385,1.8693776426183271,0.3278872251500732
9,132.8197909336346356,130.7239498557258628,18.3209097465499013,76.8898208999990089,4.7892693527776027,38.2404680878675762,127.3924777934880979,2.8058103338337803,98.8292076469303566,1.0000000000000000,1.0017573652278595,1.0000000000000000,1.0000000000000000,78.2913564969359044,26.8448552827846250,4.6256452081267598,16.0009561481936018,155.6636009350428651,101.7456946789344983,17.9504880323074403,59.0019430064055967,10.1985338681910562,4.6067244474688716,0.8066771836244807,2.6675955279646644,2.7112748863691563,-0.0925046865849512,1.8472226566101282,0.3232764963832693
10,135.9578836005921687,133.8587370088276032,18.3103549587053358,77.0425777649253121,4.6470672757462799,43.2010990370192403,126.0933031783024489,2.5051447358965806,98.8883184609117478,1.0000000000000000,0.9885208709877628,1.0000000000000000,1.0000000000000000,79.8593350194237104,27.3824900665726290,4.6706147921803183,16.0743857331960989,159.4516366201639528,104.2216512926586631,18.4583893622849260,59.7220369971160139,10.4383959546118952,4.7150712502364902,0.8297824278434769,2.6979701734567856,2.6102535526807378,-0.1354040339769316,1.8510835523226787,0.3211342047197954
11,137.5538524298259233,135.5352398555744458,18.3599365650966391,77.1539145615402475,4.4861488727837546,48.4401474518811597,124.0474323413281041,2.8219158439049874,98.9710755177334676,1.0000000000000000,1.0025679268741556,0.9999999999999999,1.0000000000000000,80.3981774727894418,27.5672505347526595,4.6835768214925544,16.0994062803585543,161.4463382631138586,105.5254390961018061,18.8291116539622614,60.3564471549006001,10.5918550344932054,4.7843894193098162,0.8457709842176359,2.7365570713877805,2.4653498406063368,-0.1879224715551754,1.8831522098574462,0.3255692938751476
12,140.6190432163707555,138.6692575232000593,18.3829020525205848,77.4059108461771217,4.2111871007655450,53.1899073856631688,121.8358195453751591,2.0858484399113975,99.0651000430080586,1.0000000000000000,1.0129370528730879,1.0000000000000000,1.0000000000000000,81.6052095451331780,27.9811225476231407,4.7477993396336178,16.0709857590750076,165.2676911339584080,108.0231726710797062,19.3805452285046194,61.0096448269114617,10.8486035130220362,4.9003638827156024,0.8693594372868316,2.7695151840326884,2.2687832835228621,-0.2735632168160562,1.8937140108238713,0.3222530232348673
13,143.4872435098714050,141.5193918166802121,18.0521242207906063,77.9790656638799788,3.9688101148434787,57.4182500937750788,120.3883812019411437,1.4403636299105793,99.1440211254616486,1.0000000000000000,1.0237205080913381,1.0000000000000002,1.0000000000000000,82.5680175008616715,28.3112540128718848,4.7242367953652602,15.9711401283558985,169.0707422736443277,110.5089437683854072,19.5278599379337443,61.5954589033177271,10.9141473599475738,4.9299703384979168,0.8807937149282231,2.7272010969187610,2.1109615760381968,-0.3376653940948374,1.8809287648531152,0.3145851680470041
