period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-1,tbsf0-1,tbsm1-1,tbsf1-1
0,104.0920211169336369,104.8135637253135570,18.8474013880062650,75.1270409762805826,6.0255576357140930,-6.8693399442740501,140.2272486700508978,2.2918277082282890,97.3061426472265367,1.0000000000000000,0.9913143161557999,1.0000000000000000,1.0000000000000000,22.5472634348686789,22.5472634348686789,6.7649953141461507,17.0819575349000736,73.1832474289961397,73.1832474289961397,10.4620556747708342,47.7633306214723703,8.3615102530688148,8.3615102530688148,1.4670364327351708,5.6609666245771049,0.0000000000000000,5.5678373257674219,0.0000000000000000,0.4577203099466715
1,107.1669008890241912,107.8770687273388234,19.1017894979523071,74.2689470128371880,6.6292634892108211,-0.8386093576925763,139.3117061138955819,2.7430063775640834,97.5763385064582707,1.0000000000000000,0.9867919907264365,1.0000000000000000,1.0000000000000000,24.0788855917473015,24.0788855917473015,6.7689597418152143,17.8013405214483491,74.4080192891317722,74.4080192891317722,11.2455791124338873,48.2702790751670534,8.6799960081451069,8.6799960081451069,1.5407462184285454,5.8527736770467289,0.0000000000000000,6.1777609155183058,0.0000000000000000,0.4515025736925156
2,110.6350388586897537,111.3926042481384684,19.4432372818518715,73.2231404325652022,7.3336222855823117,5.7617269764464547,139.6714535255765099,2.1312260836538144,97.7347733774947471,1.0000000000000000,0.9993335810220239,1.0000000000000000,1.0000000000000000,25.7714592691283997,25.7714592691283997,6.8043526115981257,18.6999676467271421,75.7999568147571097,75.7999568147571097,12.1408741411072327,48.8256822043673111,9.0636227748042444,9.0636227748042444,1.6106068475480397,6.0981526111115283,0.0000000000000000,6.8850849188605734,0.0000000000000000,0.4485373667217389
3,114.0732248452276565,114.7700008938908098,19.4317189526362419,72.6356647516041960,7.9326162957589839,12.9808641208873858,140.0003266967440823,1.9234969596278129,97.8978714694322463,1.0000000000000000,1.0060361036646490,1.0000000000000000,1.0000000000000000,27.3286114421119066,27.3286114421119066,6.7254393456528643,19.4424357700047317,77.4080905975275897,77.4080905975275897,12.8591968752563144,49.4622541441929258,9.3365228055881655,9.3365228055881655,1.6492674950667021,6.2186728362832060,0.0000000000000000,7.4924003888167112,0.0000000000000000,0.4402159069422715
4,117.3864110274056571,117.9534148387104295,19.3072374767736541,72.4100390246710646,8.2827235128859034,20.7404653445348757,139.4157932165826423,2.3026627058775118,98.0830406120037850,1.0000000000000000,1.0230748294456529,1.0000000000000000,1.0000000000000000,28.6530803912116561,28.6530803912116561,6.6122922009675920,19.9520626098462444,79.1744656290964173,79.1744656290964173,13.4944529819091947,50.1474747051626579,9.5588650070975802,9.5588650070975802,1.6755209372469801,6.2823478544245370,0.0000000000000000,7.8529360964644246,0.0000000000000000,0.4297874164214783
5,122.0307781696523790,122.4307927579724122,19.2139267017038655,72.4744482724975114,8.3116250237721800,28.6056567018367929,137.7050613806466401,1.7653540667869727,98.2957420986807335,1.0000000000000000,1.0128545568830432,1.0000000000000000,1.0000000000000000,30.0667806427152868,30.0667806427152868,6.6007741556292698,20.1984724919969736,82.0698323067071982,82.0698323067071982,14.2899912489029557,50.8587132331568483,9.8941652202298958,9.8941652202298958,1.7195056166959557,6.3346519398967516,0.0000000000000000,7.9006605392614802,0.0000000000000000,0.4109644845106999
6,125.1265530415499683,125.3197630856784741,18.9177670777231874,72.7024987465047019,8.3797341739232927,36.7029320917798074,136.3663819705824380,1.7571567796629495,98.4773785558493984,1.0000000000000000,1.0131885190587882,1.0000000000000000,1.0000000000000000,31.0433485566684837,31.0433485566684837,6.4586812679334598,20.3888345361460246,84.0547008866120535,84.0547008866120535,14.7346409379477805,51.5451216516540924,10.0285035982694364,10.0285035982694364,1.7285535996346377,6.3053047527881612,0.0000000000000000,7.9795514077507521,0.0000000000000000,0.4001827661725414
7,128.0700576879043808,128.0509406573370939,18.5763625663616025,73.0348175161977906,8.3888199157581660,44.8963824454724971,135.0532243798736829,2.4933300969271821,98.6399277430241170,1.0000000000000000,1.0190255785036821,1.0000000000000000,1.0000000000000000,31.8885555094234263,31.8885555094234263,6.3112910745574311,20.4886862283166131,86.0539402212790776,86.0539402212790776,15.0853627217740982,52.1851912541680178,10.1275619572018716,10.1275619572018716,1.7381994030393491,6.2453217502363021,0.0000000000000000,7.9983430942866889,0.0000000000000000,0.3904768214714763
8,132.6312578447874841,132.4740117766253888,18.3320344142390361,73.1647059835913609,8.5032596006300221,52.7903216384963585,134.8813436379592190,3.0796942674390149,98.7273715478873726,1.0000000000000000,1.0106872125871671,1.0000000000000000,1.0000000000000000,33.2069190223466606,33.2069190223466606,6.2578071966613624,20.7169780158321579,89.0408329443148290,89.0408329443148290,15.6637690185943477,52.7548902825445509,10.3835058781259999,10.3835058781259999,1.7805960815570026,6.2238189817337926,0.0000000000000000,8.1255238536042906,0.0000000000000000,0.3777357470257311
9,137.4564375250193109,137.2461216331273590,18.2606251132142319,73.0904043795023028,8.6489705058623514,60.9843959288992394,135.0881587672032822,2.7276185676217146,98.7626957936214609,1.0000000000000000,1.0029616021140333,1.0000000000000000,1.0000000000000000,34.6265914491517179,34.6265914491517179,6.2386819314066022,21.0504992768411903,92.1087737883628961,92.1087737883628961,16.4046528100778488,53.3214329606464688,10.7210722875047004,10.7210722875047004,1.8391727223249770,6.2734527099304342,0.0000000000000000,8.2789629499991868,0.0000000000000000,0.3700075558631657
