period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-1,tbsf0-1,tbsm1-1,tbsf1-1
0,102.5307906353241236,101.1990974201246587,17.8615116863465175,77.3080650209694937,4.8304232926861435,-7.1146879602192170,127.4654602293130807,2.5364196818005613,98.5417684698397807,1.0000000000000000,0.9912764106596319,1.0000000000000000,1.0000000000000000,58.9126291777019517,20.2001992987011185,4.3201112447830985,14.3897379725860528,120.9726469263536188,79.0708034809469069,12.6611188679712061,52.2058265848353926,7.7146804622694383,3.4847564904200103,0.5853655135269347,2.2723706191164985,2.4484038455387731,-0.0908244517144086,2.0938119658879306,0.3790319329738482
1,105.2000043829550009,103.8161769414878961,18.3062814285369413,76.7470250639692324,4.9466935074945608,-2.2831591127648436,127.4569169895223979,2.8279229479790224,98.5936057757079993,1.0000000000000000,0.9887000402307226,1.0000000000000000,1.0000000000000000,61.0733193268059438,20.9410654295096315,4.3893880694490868,14.6757702172213182,123.7044249632020012,80.8563631904629432,13.4405693433788684,53.0038516789297489,8.0754019367011409,3.6476960321687000,0.6232544547073486,2.3884449949109725,2.5592845069700432,-0.0654207703316786,2.0743090558915660,0.3785207149646294
2,108.2081248311068720,106.7579277018484447,18.8188867364342265,76.0605931802937789,5.1205200832733038,2.6633869626715638,128.3014010267458218,2.1425719084371408,98.5969930256273983,1.0000000000000000,1.0038142959341545,1.0000000000000000,1.0000000000000000,63.5730154677513539,21.7981712986261158,4.4799619713214760,15.0745766159551149,126.7575852300174546,82.8519865118255865,14.3285802616102735,53.8934030655013103,8.4925941865278940,3.8361436817436809,0.6571391871026768,2.5239430485734058,2.7142407187321931,-0.0244408012627172,2.0512197002457242,0.3795004655581041
3,111.1184762104743555,109.5531262410149935,18.8860866792686934,75.9250093689851440,5.1889039517469193,7.7478247694523343,128.9302965873010010,2.1046658630259563,98.6231076070319546,1.0000000000000000,1.0068044383207284,1.0000000000000000,1.0000000000000000,65.6803042733750146,22.5207269619478190,4.4755178098045958,15.3194257841790034,129.9778502746146671,84.9568337724871014,14.9045487442073235,54.7601995555034051,8.7433172021137064,3.9493964159474406,0.6740289842546491,2.5790252526955353,2.8081329356959834,-0.0015225934956255,2.0087816547844994,0.3735119547620621
4,114.0242570106105404,112.3658258546152666,18.8895323849815462,75.9373303991492321,5.1731372216744891,12.8783607620013800,128.9172526162734869,2.3306427741288660,98.6669764631696466,1.0000000000000000,1.0262813335076346,1.0000000000000000,1.0000000000000000,67.5862528273161303,23.1742462697782301,4.4661277778861663,15.4978676456960276,133.2945199877589175,87.1246935801582794,15.4386340804854498,55.6032050412403862,8.9712497548012706,4.0523545937022627,0.6872160919192992,2.6210765287350148,2.8363035491296693,-0.0029763728723930,1.9734618966046777,0.3663481488125347
5,118.2317005409352788,116.4931506774213972,18.8171562446271672,76.2436512459257187,4.9391925085381239,17.8177477400176691,127.7466292725690948,1.6807206420774712,98.7536140111086098,1.0000000000000000,1.0177488917758184,1.0000000000000000,1.0000000000000000,69.8840706103515856,23.9621312753753699,4.5094561109382720,15.5235539971970233,138.3186451852115795,90.4085897851681608,16.0964856660540541,56.3767189220076830,9.2740839622377838,4.1891461918827462,0.7052041979332707,2.6439915266215452,2.7330713429809816,-0.0678354013966478,1.9246356127590434,0.3493209541947465
6,120.8892678463787007,119.0661472717999203,18.4545193113760178,76.7719694431850570,4.7735112446152925,22.6393823968513637,126.6324596914088119,1.8079602957351781,98.8409108599182389,1.0000000000000000,1.0145746788310921,1.0000000000000000,1.0000000000000000,71.1156366745495063,24.3844156020733713,4.4458325707495652,15.4826267410728100,141.6900798268908943,92.6122453451177847,16.2804905031484139,57.0815556414027512,9.3326197822271464,4.2155870898081522,0.7078477103324784,2.6089713878930985,2.6460538920015182,-0.1047906403401597,1.8938528607372338,0.3383951322167003
7,123.4742950982372633,121.5768966441432042,18.1102460825178930,77.2596624796956775,4.6300914370328217,27.3321543849364481,125.6474799968449645,2.7195329402856627,98.9150861906428105,1.0000000000000000,1.0161075465391227,0.9999999999999999,1.0000000000000000,72.2973576490481378,24.7896088438878586,4.3969125057226641,15.4456077815718160,144.9802054266310734,94.7627552441287975,16.4304717969595409,57.7150894608907024,9.3856699405299420,4.2395500892308258,0.7150897185443382,2.5733027032925322,2.5666609799860023,-0.1361653218597993,1.8699796040580838,0.3296161748485356
8,127.6695604370247423,125.6617251283379630,18.0104352194554345,77.4266476244334569,4.5629171554169936,31.7642319908627861,125.8852474832858235,3.2684865637118810,98.9254098549230321,1.0000000000000000,1.0070713729612253,1.0000000000000000,1.0000000000000000,74.7321832070176839,25.6244716265384014,4.4523127162701686,15.5525455707153064,149.9656746098563076,98.0213848935825780,16.9629860748588825,58.3232728688959625,9.6556686478698044,4.3615097416635100,0.7406967873360055,2.5822750401815631,2.5617202316156549,-0.1506958034758868,1.8319599888796181,0.3199327383976082
9,132.1777327419760297,130.0813664884387890,18.1220738469119240,77.3178560295199162,4.5600701229163025,36.2399054882727967,126.4141917812295333,2.7600098757963432,98.9083666209355528,1.0000000000000000,1.0017434936813818,1.0000000000000000,1.0000000000000000,77.5464497374657213,26.5894386563281913,4.5533085317545225,15.7725066779660317,155.1592555104720930,101.4160416626040444,17.7271833806567720,58.9830039429905142,10.0411519207185602,4.5356343011417497,0.7734631781071953,2.6345416350191901,2.5898251079200216,-0.1528609525150469,1.8080954069286821,0.3150105605826458
