period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-0,tbsf0-0,tbsm1-0,tbsf1-0
0,277.3291267972860510,348.2313522267115786,18.0869475614810078,83.1238380400883443,-1.2107856015687715,2.0675909719101591,79.7306864865106633,2.5373830019080890,126.5331560743975956,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,197.4084770865371468,75.9501662598925833,12.8364625829518761,47.8307546024791819,296.1739868280072301,189.4961441372890931,37.9617549376374726,124.4372444300717717,27.4271887976593689,12.1727639721075978,1.3985712984078265,6.9207486968177339,-0.6078093521062231,0.0937963883261578,-0.5916914811516182,-0.1050811566370879
1,283.2623401698153884,356.0718060147216306,18.2086418697664563,83.0742806303573502,-1.2829225001246447,0.8592008359286117,79.7444016746366344,2.5011334752574221,126.4024086624425394,1.0000000000000000,1.0000000000000000,1.0000000000000033,1.0000000000000000,201.2384612654863361,77.4236994103278278,13.3348127976145552,48.2881726539185792,302.7972710707953183,193.7338114590396003,38.5980300144155493,125.1818145538116198,27.9928361525504599,12.4238101800632528,1.5315299056119747,7.0955944674207068,-0.6576043484219343,0.0682386767485544,-0.5886876449288014,-0.1048691835224633
2,287.7267307314831442,363.3834544300546554,18.1302769903224323,83.2180017203207854,-1.3482787106435421,-0.4255805538820788,79.4616716229915880,2.8442141195319959,126.7780086570031273,1.0000000000000000,1.0000000000000000,1.0000000000010010,1.0000000000000000,203.9110680709557357,78.4519477116089234,13.6187512622133671,48.5946401875402003,308.0990363478536551,197.1259529765420950,38.6846617601954250,125.8978283120473662,28.1766280337404353,12.5053808873719845,1.6428311182974895,7.1584033103890263,-0.7061968961307652,0.0474640617595105,-0.5847804111007381,-0.1047654651715492
3,290.3178743427711197,371.2156020924800259,17.8738253842647410,83.5965552614476053,-1.4703806457123763,-1.7858211097916494,78.5820955430013584,2.4208669366381663,128.1780610753224039,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,204.9786799096697791,78.8626965196037162,13.6984256542654030,48.6049075781127797,311.7495036203355312,199.4615715764172990,38.2009956187662922,126.4279161850506625,27.9744017188886680,12.4156285901970822,1.7357171851016175,7.1059665976674475,-0.7863122637748307,0.0036162162631886,-0.5822363356100649,-0.1054482625906691
4,294.8487686444112796,378.3663126417018248,17.7502782545097730,83.7561273646848576,-1.5064056190843154,-3.2720016371067691,78.3612191013391595,3.9236891866040624,128.4892003263547053,1.0000000000000000,1.0000000000000000,1.0000000000000000,0.9999999999999999,207.7907370762547998,79.9445964080306481,13.9436810915563552,48.8086008717774291,317.0854668754315639,202.8755934252913562,38.2174575506459320,126.9722534843139385,28.1301324698650070,12.4847451769832514,1.8555910853326485,7.1179816226223886,-0.8166116973644862,-0.0059682705001182,-0.5786248094232249,-0.1052008417964861
5,303.9824934823775493,392.6213606788278412,18.1009657622481583,83.4672134694154266,-1.5681792316471086,-4.7855984538633987,77.9506136169211885,3.6160150454538353,129.0984858022451647,1.0000000000000000,1.0000000000000000,1.0000000000000111,1.0000000000000000,214.1686683982749742,82.3984167882428977,14.7438847344627018,49.4037533809147504,326.7495637375225215,209.0588140097479481,39.8130637286008309,127.9530591521720737,29.3683069163333847,13.0342730707949848,2.0406708820398380,7.4071613039280377,-0.8617022009994776,-0.0247475621356276,-0.5767095529705126,-0.1050199155414906
6,310.4464057358998161,404.7644734381681246,18.1897354802857834,83.5427225669288163,-1.7324580472014539,-6.3860224010793472,77.3069121022214460,2.5814274397103709,130.1684046513796034,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,218.1704496546553287,83.9380464750905162,15.2516902455819672,49.6094592550017239,334.0985470841669098,213.7607934861797219,40.5765233235742144,128.7651701000426954,30.0346411176585057,13.3300062215423090,2.1822642151784457,7.5359209172349333,-0.9501402354060752,-0.0951427702919498,-0.5807851933217112,-0.1063898481817179
7,317.2456915166745830,413.3823451922115737,18.1786018509331839,83.5901590026400925,-1.7687608535609067,-8.1544363934386297,77.3838112224684807,3.1193049595512834,130.0043695503306083,1.0000000000000000,1.0000000000000000,1.0000000000000002,1.0000000000000000,222.7231570234876585,85.6896373221435255,15.6935434803482856,49.9444172977485508,341.6322365821719131,218.5809504698805483,41.1550507094358053,129.5960543242435961,30.5950362116537526,13.5787213655060732,2.3174416465148915,7.6072196791496118,-0.9690223680109462,-0.1120268077519680,-0.5812015620924150,-0.1065101157055774
8,323.5544128669345127,424.1232332315216809,18.0787504038196971,83.6970475260305165,-1.7757979298383624,-9.9735888845805754,76.9625295766022219,2.8749964165075692,130.7028160114928994,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,226.9524678134437181,87.3168058328509460,16.0549839834098940,50.1859525521860377,348.7351187882051704,223.1254710900736029,41.4891187477325829,130.2938392036901689,31.0046946573735234,13.7605364106321257,2.4498991258446581,7.6168195669739589,-0.9846632158389065,-0.1074126395717807,-0.5774648779635450,-0.1062571964641303
9,331.2284529937846855,434.5794112534160831,18.0198605421805595,83.7022748262513545,-1.7221353684191818,-11.7963581930576922,76.9055239357022487,2.5289242171851800,130.7693871636351446,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,232.3879523258175652,89.4080329093705473,16.5135611206842867,50.6408967830728471,357.0723613850008178,228.4597522730709045,42.0558008601322726,131.2718604749013309,31.6044190632872386,14.0267067314534533,2.6097495615930768,7.6604601619737984,-0.9670792858197877,-0.0774444491093905,-0.5722462692521023,-0.1053653642379015
10,343.1405609701048434,445.0113219101571076,18.2644157546360724,83.3913368421322758,-1.6557525967567641,-13.5354527125810513,77.7874579808275541,1.7066629824307844,129.2158850459534563,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,241.1616943671704405,92.7836081460410895,17.4265216341779947,51.5670731867902319,369.3544081165470061,236.3179727828064927,43.8034693427807085,132.9014430943468597,33.0514069140378481,14.6689104114455358,2.8428786317109456,7.9095020759378247,-0.9246274827311717,-0.0545829120727354,-0.5720932085094934,-0.1044489934433636
11,356.8461162605724439,452.2263776998140656,18.5664811887060566,82.9943044334056736,-1.5607856221009155,-15.2039631522036949,79.5452689391579781,3.1582927854725495,126.2691152482103689,1.0000000000000000,1.0000000000000000,1.0000000000000002,1.0000000000000000,251.4198054369691988,96.7302737237413197,18.4771310170110681,52.6049450575557884,383.2689437587935117,245.2206818961419117,45.9377469935900962,134.5709402442624025,34.7819342183826308,15.4369548719435912,3.1003037859176272,8.1922888253782116,-0.8521540289139587,-0.0300718734701076,-0.5751589465158765,-0.1034007732009728
12,373.0044136147234894,466.2747408787805625,19.0681072009507560,82.4684929293390780,-1.5366001302809089,-16.7731718677653348,80.6332201282470038,3.2104485642724390,124.4972387545741697,1.0000000000000000,1.0000000000000000,1.0000000000000000,0.9999999999999999,263.4160264768971729,101.3456529410864277,19.8735670374693925,53.6944410808516608,399.6161758001916837,255.6798632453851212,48.9704780311170396,136.3636869830726823,37.1365975675073727,16.4820040526716554,3.3989919489252696,8.6039333077929463,-0.8229000588853257,-0.0312690870007993,-0.5794808684605781,-0.1029501159342060
13,383.5203134676427794,478.5000487128741042,19.0706801526426482,82.5073430952537024,-1.5780232478891842,-18.4147787360229387,80.7785447143054540,3.8254278055218416,124.2861340420793539,1.0000000000000000,1.0000000000000000,0.9999999999999999,0.9999999999999999,270.7198394815901565,104.1556934227544104,20.5691047867578334,54.2133898176656288,410.9343582147849361,262.9213902585369738,50.1426832860505058,137.8606515074831407,38.2027606964288751,16.9551897014040094,3.5934877327759400,8.6921768116356972,-0.8357256503506350,-0.0555413189536804,-0.5832731750499751,-0.1034831035348938
14,395.4852938748673523,493.9384301183853268,19.2079727024733309,82.4986646337246157,-1.7066373361913039,-20.1088189103916086,80.7065835603997215,2.6790549695181465,124.4302352652444625,1.0000000000000000,0.9999999999999999,1.0000000000000000,1.0000000000000000,278.8715946992825820,107.2919678788016142,21.5406362943508753,54.6547620682287771,423.7671862285191082,271.1320081221232954,51.8047687302549136,139.3257127489984271,39.6662767822858271,17.6047289602010970,3.8387877042089631,8.8539832065187341,-0.8883026023956374,-0.1213279319588374,-0.5919796476374576,-0.1050271541993717
15,423.8857754970728706,510.5385088462060708,20.2877408966533999,81.1925526008812142,-1.4802934975290669,-21.6715749715408172,83.6337584460418526,1.3924886764769440,119.9021709931478341,1.0000000000000000,1.0000000000000000,1.0000000000000018,1.0000000000000000,301.1694758361718982,115.8707675564247950,24.3250177459085215,56.7730266101676833,451.2141196974998252,288.6929293781311685,58.1183144179792350,141.8393273445473142,44.4298996830040380,19.7189251197257605,4.3354237427201952,9.6965247823533236,-0.7438215037820559,-0.0412673480462639,-0.5930368022167258,-0.1021678434840212
16,447.2384924403528430,518.1163839194252887,20.8870721712512157,80.4136294313993290,-1.3007016026435274,-23.1309254645784854,86.8537733172684057,1.6938243624578853,115.3418941956081198,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,319.4187927372317972,122.8919384464538780,26.3704028732759461,58.1053133365795205,474.0607709271698695,303.3105275029322456,62.8434143692468012,143.3342889474661774,47.9887212728316541,21.2984050858063263,4.6541663714588957,10.1776289432055478,-0.6150268418416718,0.0117960175980513,-0.5973361766509083,-0.1001346017489986
17,463.5262343464220294,524.6699909805603284,20.8826428854370896,80.2005499300218787,-1.0831928154513528,-24.5351134974137572,88.7934497299056460,2.3247093085307702,112.7702235886538347,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,332.1551566083048215,127.7920773251426567,27.3353512218629326,58.7654096264316621,490.5351442098365737,313.8510555472017245,65.0535090519265395,144.1158789147443144,49.7305335005963514,22.0714580329650971,4.7952520678796988,10.2213105609144908,-0.4915805465044232,0.0994130722598195,-0.5931956764604338,-0.0978296647463153
18,479.9521387170968865,534.1595662382244427,20.8939039671048050,80.0314174081769067,-0.9253213752759177,-25.7481569716686103,90.2353136190906042,2.7423920766134646,110.9359663454539771,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,344.7998387077529969,132.6569429171890704,28.3212795368683139,59.2710243316648757,507.2879117811536389,324.5697040429466824,67.3554441425679897,144.7494082368455963,51.5253216022792486,22.8680227885771394,4.9495730306482510,10.2656504315886981,-0.4016064098184474,0.1629523158417873,-0.5905084525742897,-0.0961588287249679
19,496.6384855289873030,545.7226528313328799,20.9165873756383505,79.8926874558522542,-0.8092748314831419,-26.8242973857665170,91.3406686663551000,2.9968911580094515,109.5732257149962976,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,357.4940299872831133,137.5408564777630147,29.3357385223959746,59.6678362583664992,524.4026074781729676,335.5199190750034290,69.7458480965087801,145.2730046472117351,53.3775083488671598,23.6900622715446616,5.1150533708770718,10.3103951982004887,-0.3346035006305262,0.2091425478225986,-0.5888817956092950,-0.0949320830659194
20,513.6928272596696843,558.7013931784587157,20.9478821198240368,79.7734341414131052,-0.7213162612298500,-27.8005490870899159,92.2403400206475794,3.1215620173032255,108.4910662143456506,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,370.3629528719669111,142.4919955934809934,30.3849946703920679,59.9925489288834228,541.9570221064981297,346.7514722585940490,72.2264555666884291,145.7192641856217961,55.2928766681915675,24.5401430670207965,5.2902728997039548,10.3559485717429496,-0.2826438178140602,0.2433714851156369,-0.5880382562228590,-0.0940056723085678
21,531.0220466527814551,572.4729857605905181,20.9769111221704634,79.6750128127579842,-0.6519239349215230,-28.7046439741960917,93.0220129345723450,3.1618942924603655,107.5702087107868152,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,383.3626445325858754,147.4934461771787824,31.4518153744405780,60.2373180766713006,559.8495307897647990,358.1993426159287992,74.7450948625691609,146.0465331096985153,57.2377611974721461,25.4033237780514689,5.4714992842383792,10.3919706843402757,-0.2403441721048616,0.2694704104962553,-0.5877658297335800,-0.0932843435793366
22,548.6996650436645950,586.6715524774131154,21.0039695748806245,79.5900909248706228,-0.5940604997466141,-29.5518420332771861,93.7591829635969702,3.1746075627093306,106.7171156905101697,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,396.5771208981311133,152.5775321891518956,32.5414643198073108,60.4267591803013815,578.1359773426650008,369.8992597790100945,77.3077900944347647,146.2836084005320458,59.2193374755489828,26.2827890598821483,5.6593777077330785,10.4206226415301320,-0.2036931750239745,0.2902751635819774,-0.5879456279868321,-0.0926968603177849
23,566.7787360096442626,601.2011729344030755,21.0300043015261515,79.5134854501644810,-0.5434897516841743,-30.3512321833742220,94.4764455016354248,3.1898353640511523,105.9003747264755475,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,410.0646894916062024,157.7666866380111799,33.6589892737289063,60.5766955009602839,596.8577333687187547,381.8776938623397541,79.9226938063129921,146.4504068908067609,61.2452167194027837,27.1819169308919797,5.8547201632770030,10.4439133406771578,-0.1705841032719733,0.3077070374145024,-0.5884223082406812,-0.0921903775860222
24,585.3455696147703975,616.1364844932111282,21.0584366411107453,79.4391842553415444,-0.4976208964485638,-31.1074279020970721,95.1766660168366343,3.2040191632681791,105.1148966493852726,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,423.9047859743191111,163.0914712897574645,34.8150320641323816,60.7054457762061261,616.0890891923625077,394.1821768256898508,82.6138231389291917,146.5759522197680838,63.3334485472601045,28.1087181917532192,6.0590423727337663,10.4661957688141651,-0.1399072944149124,0.3230684507617247,-0.5890555509454883,-0.0917265018498879
25,604.4553456247899703,631.5152214858435400,21.0910625662336066,79.3636847827667538,-0.4547473489954286,-31.8233708150220167,95.8627134174932252,3.1410235134760711,104.3561405573621812,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,438.1493304230275498,168.5718616718866940,36.0161698478803061,60.8226299755263895,635.8767654885890579,406.8426011922270504,85.3971470580471816,146.6744209198767237,65.4956935345675078,29.0683680514067930,6.2729799588719004,10.4896500030353668,-0.1109070028095095,0.3372010158948215,-0.5897596911077884,-0.0912816709729522
26,624.0734552460273790,646.8625317290835710,21.1240821121144435,79.2885619162964446,-0.4126440284077510,-32.5021036230190745,96.5972346899334866,3.1454582055734370,103.5552781638902786,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,452.7838258946968608,174.2022802871708222,37.2537470041071543,60.9227619840794716,656.1835541432905075,419.8351607045902938,88.2532109861249410,146.7287717293148717,67.7186703092318822,30.0549719572280019,6.4952953999538119,10.5102899613831209,-0.0818235642488037,0.3506673347891593,-0.5906374178882151,-0.0908503810598915
27,644.2744467972321445,662.6255028208065596,21.1617938426985717,79.2099009417760129,-0.3716947844716559,-33.1424407619334360,97.3245893563006206,3.1393962273394083,102.7737258350224181,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,467.8653283100647400,180.0046786076544834,38.5399944284340563,61.0159111579353990,677.0779895042627459,433.2037045704273623,91.2129389906582162,146.7604118771116646,70.0238159065417847,31.0780441169161641,6.7276580093004315,10.5326329275280521,-0.0535714081064748,0.3637896930185431,-0.5914994297943824,-0.0904136395893418
28,665.0410758078286335,678.7439520870923388,21.2028417074855504,79.1286562290092519,-0.3314979364919906,-33.7454155469224943,98.0497559589827290,3.1170883101481195,102.0057512765393426,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,483.3830849684231907,185.9749196812747982,39.8720344395328823,61.0971147737260907,698.5423445096686237,446.9368907745228512,94.2712747511034195,146.7585899597047785,72.4071305103097274,32.1358093278159487,6.9692765363603373,10.5549205490661056,-0.0259063147682356,0.3767204023277843,-0.5923419951465103,-0.0899700289050289
29,686.3176654972182860,695.0999519675867759,21.2444823335754940,79.0473264446297605,-0.2918087782027126,-34.3122823884226449,98.7799658632758053,3.0892896867345421,101.2437156035374386,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,499.2948759811717991,192.0967599930318102,41.2420606347880536,61.1564568355173250,720.5238690496737490,461.0009690793102095,97.4105919052401674,146.7036131200691784,74.8558761016407885,33.2226141888943758,7.2189353401671239,10.5737981028208861,0.0013762224063326,0.3895127093751621,-0.5931760052878979,-0.0895217046963094
30,708.0634227309466269,711.6465397026654500,21.2852069415156606,78.9673986214154837,-0.2526055629287434,-34.8436715500651744,99.5147719759013256,3.0764560699869659,100.4882047032287176,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,515.5690632437883778,198.3580272221919927,42.6450449135599285,61.1877653045260672,742.9837508808020630,475.3711068836459503,100.6190826030638732,146.5838056302348207,77.3617525936219153,34.3347749467895653,7.4762084804848978,10.5873354837053419,0.0282825473648770,0.4021784125381854,-0.5939966256045547,-0.0890698972272512
31,730.3221816451665518,728.5085595964553704,21.3273547249243407,78.8866907594401141,-0.2140454843615265,-35.3386709434828035,100.2426720573313474,3.0539530999539766,99.7506523348970688,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,532.2407238867522210,204.7722168069003601,44.0879575923252958,61.1976954714446961,765.9609353872257316,490.0722219739014349,103.9141577127399074,146.4124956537734192,79.9371864390690092,35.4778067229473990,7.7424206081565217,10.5980547648057826,0.0546020679126044,0.4147386439563202,-0.5947740056829695,-0.0886121905474817
32,753.0591778558655278,745.6127817418962422,21.3698233122207206,78.8062964614135240,-0.1761197736333676,-35.7979996257501796,100.9681861059605126,3.0407050565706362,99.0261367082321584,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,549.2833039071826988,211.3291124638270446,45.5667535456004202,61.1813507329770658,789.4215879859251572,505.0826665237790962,107.2867061087850402,146.1801005954412176,82.5757277847434779,36.6488469366744241,8.0172193750133118,10.6044350139911412,0.0803964566297170,0.4271560042732422,-0.5955215185326201,-0.0881507160037067
33,776.3213208976951591,763.0502402439094567,21.4148755072306649,78.7240818864435141,-0.1389573936730898,-36.2208972574212567,101.6852033123455499,3.0429491501290151,98.3201888608500951,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,566.7347432707273356,218.0433110671353347,47.0887265149423797,61.1453493418901743,813.4070415461837911,520.4288858650896827,110.7555155075176003,145.8994967158493807,85.2906437760817369,37.8537838265054916,8.3018685295308146,10.6089026134491373,0.1055355736936714,0.4394190718700275,-0.5962273859853631,-0.0876846532514256
34,800.1845126019957206,780.9745400952459704,21.4656701194438497,78.6370751459742934,-0.1027452654156129,-36.6063709071557355,102.3836062858036939,3.0540233146044926,97.6418183249174518,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,584.6558094408526358,224.9381920533195967,48.6650590310293651,61.0987845545018047,837.9851054167590974,536.1542653412375330,114.3504198814756876,145.5880917002270110,88.1023841342762495,39.1016934093524213,8.5976436186838150,10.6148412840156787,0.1298239054946623,0.4515158038627722,-0.5968723169285830,-0.0872126578444644
35,824.7066730280211004,799.4909288156507046,21.5243483475760762,78.5432756014586744,-0.0676239490326221,-36.9540647566197578,103.0575260113988918,3.0719144915791086,96.9955424712553480,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,603.0931857010549493,232.0317161664948742,50.3040556368914622,61.0469178928544736,863.2068889330677166,552.2915054000054624,118.0964428726381641,145.2554244298356707,91.0270566879263896,40.3997246787591706,8.9046574370332152,10.6243848102265392,0.1531424151100725,0.4634172622790031,-0.5974488264653403,-0.0867347999563575
36,849.9553589861172895,818.6988502152444198,21.5931251135434614,78.4405667960704136,-0.0336919096123294,-37.2636959538295827,103.7033151711021759,3.0314149723620565,96.3835305190273886,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,622.1016593669651229,239.3449620644397555,52.0147565796661837,60.9951893230195807,889.1322240663016601,568.8788873501554235,122.0231400628951803,144.9108907031112210,94.0828287848408280,41.7559406862657880,9.2222717328730717,10.6397462187374305,0.1754168804808791,0.4750973196859606,-0.5979547441060308,-0.0862513656731384
37,877.9211399774653728,838.7329504662395721,21.7425861244122416,78.2549128310749182,0.0025010445144368,-37.5101288964113593,104.5445449817390369,3.0250858632718591,95.5925826876466829,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,643.3563122665041192,247.5223941855975909,54.0625402149740992,61.1812707729586762,917.5375243083308305,587.0529846994014633,126.8219824869762533,144.9721759363174272,97.7488151669184475,43.3829826439089175,9.5796369319507999,10.7395239651205934,0.2003190120238525,0.4871320649612570,-0.5990982050384925,-0.0858518274321802
38,905.8393254446896208,859.0563295577649114,21.8667293925038422,78.0968980158905310,0.0363725916099614,-37.7280749721808490,105.3051816015589424,3.0337075847630457,94.8890745713958665,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,664.5316710169998942,255.6693189856304116,56.0525967902343396,61.3068888236493308,945.9651582455553580,605.2413714505264579,131.5662927203888160,144.9424353208406160,101.3473652542203780,44.9800949538031034,9.9072848387851575,10.8163071635242396,0.2231831886522913,0.4986363578749354,-0.5999960002878509,-0.0854509546294144
39,933.1946459387964978,879.6756001623161865,21.9526262032655701,77.9805259336751533,0.0668478630606512,-37.9248766695513950,105.9309287986488215,3.0505681076663071,94.3189437346216266,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,685.1911568282085909,263.6177688463593540,57.9185315151606304,61.3280626158471236,973.9528081828167387,623.1482504555862079,136.0895744519103516,144.7453008263224206,104.7586601557567292,46.4940994688848548,10.1967921712446206,10.8558903614462672,0.2430682377322088,0.5093283887575649,-0.6005096349494541,-0.0850391284796685
40,959.6003219617062996,900.5897492309933341,21.9935766963872901,77.9133284729812772,0.0930948306314196,-38.1069275491281587,106.3878534852989475,3.0692822396227948,93.9081905188596977,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,705.0072128034690877,271.2417208070272636,59.6155806299945894,61.2235567373971321,1001.1500660619419705,640.5494258741235853,140.2660446164346979,144.3460175138102954,107.8965855407711700,47.8867768356999832,10.4459702549448821,10.8512607635910570,0.2593608542864586,0.5189325589998559,-0.6005796024453531,-0.0846189802095418
41,984.9945427721822853,921.8480627899275532,21.9936300675373744,77.8915859429580877,0.1147839895054623,-38.2770591219357428,106.6751279843944360,3.0767050426828924,93.6532166024335311,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,723.9256467211708923,278.5203251640041344,61.1453996361611232,61.0114481974622365,1027.4962622363818809,657.4060804412924881,144.0762926446580252,143.7807185567563408,110.7541264922521833,49.1550136863530369,10.6611306426963974,10.8080380938166449,0.2719699271158827,0.5272677945090146,-0.6002493715239989,-0.0842043605954363
42,1009.4952844395986631,943.4291466153342753,21.9614639601292012,77.9065363514824583,0.1319996883891955,-38.4365893402237617,106.8191374258210544,3.0728487199013221,93.5276617656203086,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,742.0464393031026020,285.4920481095969649,62.5339878772767221,60.7263547727378992,1053.0903950134659226,673.7815546202982659,147.5602388236568174,143.1140414687230304,113.3674748775674601,50.3148727337391151,10.8520050651091609,10.7370838669065041,0.2812248306338748,0.5342272151316971,-0.5996354397936056,-0.0838169175827710
43,1033.3154790723065162,965.3278274944161694,21.9068870862937999,77.9480612155024772,0.1450516982058208,-38.5859819668604729,106.8521948641613335,3.0699864073711502,93.5013772952708706,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,759.5496591408151517,292.2261685302461842,63.8181739579056071,60.4069379260567416,1078.1180438270898776,689.7945846564508656,150.7875591662603938,142.4175777056667869,115.7935618876174999,51.3916212392824789,11.0288703809573168,10.6504077279593741,0.2875893967953346,0.5397974515889877,-0.5988593644706476,-0.0834757857078539
