period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-0,tbsf0-0,tbsm1-0,tbsf1-0
0,278.1868513189870100,351.2685842733066579,18.7022945609812474,82.5804805372014528,-1.2827750981836885,2.0497136158347797,79.3437620356507693,2.4529584477556599,127.1237321771117905,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,198.2759387794206418,76.2839100827057592,13.7973896373728824,48.1495695941872981,296.4267761970127140,189.6578822130008461,38.3818794239124585,124.5982028863390809,28.2852318398737843,12.5535815435998881,1.8115344640916349,7.2514265688843498,-0.6476321577618096,0.0648173062779233,-0.5945704340398502,-0.1053898126599521
1,284.2950957423628324,358.7905642533729065,18.7870274366138368,82.5397026521204396,-1.3267300887359614,0.7692780674808228,79.4634891872248943,2.3809827039608988,126.8402334698209870,1.0000000000000000,1.0000000000000000,1.0000000000000004,1.0000000000000000,202.3424075175477412,77.8484273785664698,14.2290610564784235,48.5989320710044055,303.1594149114273478,193.9655160126967246,39.1019768762774831,125.3700311104468028,28.8644019580675746,12.8106294386824615,1.9208565634829977,7.4003740829144116,-0.6798837019916918,0.0499244301653739,-0.5917328299849257,-0.1050379869247180
2,289.0025117191283925,365.8923224151361637,18.7187744523192592,82.6480804195577150,-1.3668548718764242,-0.5596474183753238,79.2832693999647375,2.7035329427590682,127.0647298137504606,1.0000000000000000,1.0000000000000000,1.0000000000001388,1.0000000000000000,205.3168328751289380,78.9927961704745343,14.4832940483120804,48.9301122432446647,308.5959524869455777,197.4438866793834393,39.3639498739189833,126.1200514008004632,29.1226564637830947,12.9252482268492113,2.0072484502926993,7.4619767345828523,-0.7135366268023240,0.0392330194182735,-0.5878057790909600,-0.1047454854014138
3,291.9114173222445743,373.6807996376631991,18.5187613550686869,82.9477481407656114,-1.4665094958353166,-1.9373470512462934,78.4961927039486795,2.4277211336948934,128.3232596361052629,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,206.7536881911582327,79.5456062714105627,14.5657029704336587,48.9963691352850645,312.4176515131828182,199.8890616837153971,39.1515816919321011,126.6893239328607450,29.0533044883122606,12.8944683596658152,2.0730102005868907,7.4337673602568248,-0.7811255678466867,0.0048851949464258,-0.5850735330253894,-0.1051955899096664
4,296.7213256149744893,381.0415828152078461,18.4230143180759498,83.0721394367083406,-1.4951537546632563,-3.4191422557886906,78.3016362387496230,3.9859055658706399,128.5987780443984434,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,209.8399061769460729,80.7329857223553375,14.8066997168326466,49.2197241591944561,317.9535333385334752,203.4309941523249279,39.3758554819455782,127.2598319626163601,29.3048651305469718,13.0061162702550437,2.1644390433122944,7.4563691792559892,-0.8068605709646151,-0.0017863418897367,-0.5816179814801845,-0.1048888603287201
5,306.0030815584809716,395.0892830124761872,18.6862615829943479,82.8570465585770393,-1.5433081415533980,-4.9284790393963007,77.9594737836577565,3.6435073926806893,129.1064224376257243,1.0000000000000000,1.0000000000000000,1.0000000000000009,1.0000000000000000,216.3323931173160020,83.2308797836378034,15.5378369965714995,49.7705502789607834,327.8097384453224095,209.7371282040212748,40.9246574687805236,128.2337286161099712,30.4866297571643443,13.5306082980937390,2.3220004204975226,7.6959578660053296,-0.8437902137711151,-0.0153916473274965,-0.5794688293213652,-0.1046574511334210
6,312.6840100367761579,407.2816695414669539,18.7579369955177313,82.9409255469386153,-1.6988625424407875,-6.5067888534947764,77.3555351081699456,2.6661341851052844,130.1137851758104773,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,220.5241698430417614,84.8436075851073355,16.0208235664588905,49.9730744129598676,335.3554967765927017,214.5650069913568530,41.7795792088582729,129.0527296158315096,31.1831946300199156,13.8397584574879691,2.4398904102335095,7.8132496959893132,-0.9273976553527078,-0.0821876995247334,-0.5833247761591950,-0.1059524114041512
7,319.7199140025102224,416.2377929707904514,18.7522516928912957,82.9846131729180598,-1.7368648657951853,-8.2431580374780840,77.4232259828168168,3.2712585469447886,129.9693456747029643,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,225.2658336010882181,86.6678967751519309,16.4576310047858385,50.3079823160476494,343.1042066886334965,219.5227369597987206,42.4964026641172481,129.8931343609687588,31.8036956590130373,14.1151498811627043,2.5522068404397769,7.8867383980455381,-0.9471216700336391,-0.0997935880166202,-0.5838566214044287,-0.1060929863404976
8,326.2917636706090434,427.7128957019217523,18.6850566919621919,83.0729059386702318,-1.7579626306201965,-10.0299824520650578,76.9383937207434911,2.9468272078880142,130.7787533740787467,1.0000000000000000,1.0000000000000000,0.9999999999999999,1.0000000000000000,229.6813304467094099,88.3666977815441328,16.8368874034812812,50.5515736677663554,350.4473310945264757,224.2209678062680496,43.0317047980969107,130.6032842055516880,32.3100496967762112,14.3398804663308326,2.6598750244052907,7.9149893432736844,-0.9700021068091785,-0.1012634966471504,-0.5807197278858476,-0.1059772992780197
9,334.2504615115935280,438.5425582898016046,18.6403250111170955,83.0675000649559365,-1.7078250760617331,-11.8356378775004867,76.8837972829648635,2.5676166506851450,130.8400841264432017,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,235.3355945875303235,90.5420972776075388,17.3017190561142336,51.0159462728828359,359.0494392082055128,229.7247135486004765,43.7679762762091329,131.5856743174757355,32.9814482819813506,14.6378612972939628,2.7876638059859284,7.9692282527354621,-0.9540381076809126,-0.0729715242435345,-0.5756994800695686,-0.1051159640677177
