period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-0,tbsf0-0,tbsm1-0,tbsf1-0
0,277.3321975314793804,348.1394458136727508,18.0839409457772078,83.1223956343287398,-1.2063365801052333,2.0681368016692963,79.7513534413588587,2.5630003231383425,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,197.4205483081691170,75.9548104945447022,12.8337858115915573,47.8351861515522856,296.1727384466327635,189.4953454059102569,37.9560463325420656,124.4364497243362990,27.4232781487318320,12.1710283437599784,1.3984053108672654,6.9192536295715446,-0.6055808858547312,0.0957984056995759,-0.5915199630195412,-0.1050341369305368
1,283.2563449116009338,356.1984848999925930,18.2116076665077884,83.0766243363134151,-1.2882320028203977,0.8642727358614173,79.7160430859969438,2.1356906516835528,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,201.2215831187991455,77.4172057781091354,13.3368349535032866,48.2823262462028850,302.7975981765962388,193.7340207457790200,38.6042943906048919,125.1826717942852554,27.9966516184585252,12.4255035641823888,1.5317442193492852,7.0970754799928493,-0.6603659118368510,0.0659306345013287,-0.5888696346863622,-0.1049270907985133
2,287.7242209245090976,363.4419953872089764,18.1317367706796766,83.2192093057150828,-1.3509460763953973,-0.4258102502719390,79.4489649577276822,1.7025698832510150,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,203.9028814775612091,78.4487980336488278,13.6199594420251966,48.5917389956040680,308.0997729623985038,197.1264242725443694,38.6876941198172943,125.8981815250068053,28.1785427399910979,12.5062306743274476,1.6428586455161127,7.1591350087546184,-0.7075364719935217,0.0462736402423386,-0.5848867743180333,-0.1047964703261809
3,290.3194009211567277,371.1785458513340927,17.8728714206386208,83.5962219948466725,-1.4690934154856581,-1.7886845760199002,78.5898611471863831,2.1334405187386496,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,204.9826735106331910,78.8642330020365989,13.6976944871478974,48.6062624009026720,311.7496462127253949,199.4616628089672759,38.1990743412538905,126.4275617905897207,27.9731241746394659,12.4150615891557372,1.7355480005482120,7.1054672045481837,-0.7856117549429623,0.0041556024880748,-0.5822006671839711,-0.1054365958467996
4,294.8492717027442040,378.3461289724606331,17.7496485142891558,83.7560825931460613,-1.5057311074238624,-3.2736023656204862,78.3652663066275323,3.3780950277259914,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,207.7925241266699459,79.9452839508259103,13.9430954622316960,48.8092415696840263,317.0853901187450106,202.8755443153195586,38.2162364459009822,126.9720125918884150,28.1292423857255613,12.4843501388980602,1.8554658137841207,7.1176493187768051,-0.8162426418433326,-0.0056860747985665,-0.5786068439142004,-0.1051955468677628
5,303.9837557899857075,392.5736199717337058,18.0995256610541340,83.4667926533209794,-1.5663183143738415,-4.7864884616457193,77.9597860756418584,2.7581858897172573,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,214.1738364424600150,82.4004051213726854,14.7423910587112275,49.4056291376315500,326.7488474628668200,209.0583557274833595,39.8101792480895540,127.9525918395903687,29.3662463448397304,13.0333585457729360,2.0405159334227823,7.4063953224078807,-0.8607457599884475,-0.0239305657244177,-0.5766407631984521,-0.1050012254625243
6,310.4493210807726200,404.6583129901802067,18.1865871815472779,83.5415275968253184,-1.7281147783720923,-6.3849425667256128,77.3265019861062513,2.6842912066653346,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,218.1828006901229173,83.9427983642246005,15.2481732396302565,49.6139445167839668,334.0964117967561151,213.7594273002587215,40.5701175567348997,128.7642128353901967,30.0300907934359849,13.3279866918279826,2.1820868007848042,7.5342274770324442,-0.9479536053611068,-0.0932120890900435,-0.5806062066241831,-0.1063428772967590
7,317.2457700342904445,413.3192358602169634,18.1759242365540459,83.5895771410027777,-1.7655013775540003,-8.1490752680249656,77.3947389168055793,2.5613178697200256,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,222.7306574964988215,85.6925230248277927,15.6898257286272997,49.9475689607675335,341.6291219476329957,218.5789576843498310,41.1498169735348611,129.5952645438866284,30.5910128656201508,13.5769357198095175,2.3175089086604905,7.6057566771284044,-0.9674729233044643,-0.1105116830354356,-0.5810428462383742,-0.1064739249757262
8,323.5488210548631969,424.1811802244086493,18.0784598294999768,83.6981127362721224,-1.7765725657710421,-9.9652373288681879,76.9512683004533926,2.8008243133978095,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,226.9454496938026580,87.3141057089178929,16.0532071139856818,50.1845742884750905,348.7322695602921954,223.1236481153111697,41.4891904203972501,130.2937556614434413,31.0040675232950882,13.7602580753214259,2.4503538636415199,7.6166289347819296,-0.9852396786701115,-0.1076173752327033,-0.5774505058821672,-0.1062650059860602
9,331.2202504976474415,434.7012851362564447,18.0209952346740181,83.7042273682130542,-1.7252226028858260,-11.7889560582946107,76.8833940221489200,3.7049769125411691,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,232.3728249735313227,89.4022128709498674,16.5132346305524464,50.6370125858340643,357.0702868605532103,228.4584249641200131,42.0590090789054045,131.2721304707230559,31.6059629731789862,14.0273919511763019,2.6104151040507180,7.6610218022969105,-0.9688248324970782,-0.0786706193025377,-0.5723279373565088,-0.1053992137297014
