period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-0,tbsf0-0,tbsm1-0,tbsf1-0
0,277.3174881117403743,348.3845617564221584,18.0862032171709863,83.1303124924200461,-1.2165157095912222,2.0666817047518702,79.6939852366843269,2.5367465566696223,126.5934781661890156,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,197.3842978543856930,75.9408636365754717,12.8318111600976827,47.8218784183644914,296.1736432523314306,189.4959243128998025,37.9641930110113037,124.4370257134355597,27.4258335087207037,12.1721624663358572,1.3985501265586053,6.9202305483548701,-0.6107845000544750,0.0913592039956142,-0.5919130358197910,-0.1051773777125702
1,283.2498991790764649,356.2250812923842886,18.2078168600346615,83.0809710524543306,-1.2887879124889781,0.8525457048532045,79.7082697497306611,2.5001898708980175,126.4615274728318184,1.0000000000000000,0.9999999999999999,1.0000000000000018,0.9999999999999999,201.2127539075074480,77.4138088618497875,13.3301648991768751,48.2793301759371047,302.7968020161441700,193.7335113514955935,38.5999768399533778,125.1812421444953145,27.9912706482257008,12.4231153762762805,1.5315189352258083,7.0949952188710865,-0.6605867869216607,0.0657085617752397,-0.5889406491453822,-0.1049690381971745
2,287.7134493351820765,363.5353393335112173,18.1293881817056501,83.2249306478499733,-1.3543188295542978,-0.4381574611903521,79.4264518361040075,2.8422452424839095,126.8358468733536313,1.0000000000000000,0.9999999999999999,1.0000000000008213,1.0000000000000000,203.8838288817138960,78.4414678123551852,13.6141295141878995,48.5857879965641288,308.0983646137341907,197.1255231919182620,38.6861348143386579,125.8969292277805465,28.1748803537102646,12.5046052301705490,1.6428396161576919,7.1577335581559653,-0.7091973883049655,0.0448169805200212,-0.5850687836019467,-0.1048696381674068
3,290.3038322917543610,371.3628648829050007,17.8728056712609487,83.6036868596555962,-1.4764925309172816,-1.8045674981244173,78.5487155205345289,2.4192181408996261,128.2339577990754833,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,204.9503806734340969,78.8518087820108349,13.6937776941801435,48.5961688636166969,311.7485368052500689,199.4609529949788680,38.2018734721560165,126.4267018065740302,27.9724011500337646,12.4147406956096962,1.7357521384520476,7.1051986593581766,-0.7892739366628696,0.0008969152536646,-0.5825594547882693,-0.1055560547198071
4,294.8337646770912102,378.5089618022938112,17.7491995495357280,83.7635358173426994,-1.5127353667712109,-3.2969923482107171,78.3291968886053382,3.9221406020602423,128.5429777284074362,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,207.7607462793268951,79.9330578659854467,13.9389470572522320,48.7997858097872097,317.0840963126526617,202.8747165205885494,38.2179222646729571,126.9707401225961263,28.1279437902617317,12.4837737948843497,1.8556738879873251,7.1171410770965524,-0.8195896374410860,-0.0088409799274180,-0.5789908427317368,-0.1053139066709700
5,303.9661531420738356,392.7617407322755980,18.0998638642790723,83.4749149268717332,-1.5747787911345275,-4.8169880100441418,77.9199686075891975,3.6107965312395018,129.1503521102521290,1.0000000000000000,1.0000000000000000,1.0000000000000053,1.0000000000000000,214.1362917735636415,82.3859603321370031,14.7388742629833356,49.3947297358920565,326.7476781644555786,209.0576075944597676,39.8132642416504012,127.9512456895928523,29.3659250108949976,13.0332159310013562,2.0408316810485192,7.4062413363676258,-0.8647145476995555,-0.0278019690912632,-0.5771234883066303,-0.1051387860370783
6,310.4292909834680358,404.8886685014606428,18.1882867606512022,83.5505348452568768,-1.7388216058954109,-6.4242064313671357,77.2800995442617591,2.5772540675788713,130.2143683906554088,1.0000000000000000,1.0000000000000000,0.9999999999999999,1.0000000000000000,218.1375113466980338,83.9253739191668870,15.2461119262035165,49.6008186963334907,334.0959540970233093,213.7591344577458869,40.5757812769695008,128.7629818118004437,30.0316469805616535,13.3286773604457895,2.1825093704626068,7.5347569926653426,-0.9529268914860318,-0.0981552718671819,-0.5812298370097321,-0.1065096055324654
7,317.2274162599640022,413.4911509443304567,18.1769410576149042,83.5982408777840504,-1.7751819353871703,-8.1992052835509259,77.3599180064833689,3.1170839828490893,130.0450761811553946,1.0000000000000000,1.0000000000000000,1.0000000000000002,1.0000000000000000,222.6885872972248990,85.6763371007145196,15.6873941147529639,49.9358334641246699,341.6287515022987691,218.5787206683876889,41.1536297569349969,129.5935041624946393,30.5915830202472527,13.5771887664397983,2.3178325331125018,7.6058693979750460,-0.9717063406236623,-0.1151485740609969,-0.5816928289517743,-0.1066341917507366
8,323.5344860585315701,424.2233071160754889,18.0770860644873430,83.7055627791003900,-1.7826488435760988,-10.0250960389033157,76.9404058768301127,2.8739262544793975,130.7407982833179005,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,226.9150204924759464,87.3023984968770037,16.0483779156683042,50.1770454428612851,348.7306675746234532,223.1226231430965470,41.4874710840632090,130.2909687923639410,31.0010805293135014,13.7589323844898850,2.4505097769921762,7.6153883669632423,-0.9874096172172376,-0.1108222620869612,-0.5780265311702437,-0.1063904331016563
9,331.2064856659047791,434.6739126935908644,18.0183680737260730,83.7113488462329087,-1.7297169199482039,-11.8550455058879241,76.8843497842394328,2.5254148946266097,130.8056963238179549,1.0000000000000000,1.0000000000000000,0.9999999999999999,1.0000000000000000,232.3464167866858361,89.3920526883116224,16.5065527864529820,50.6313315704214304,357.0669021320595107,228.4562593688042966,42.0543049372706150,131.2686776737494370,31.6008932913928007,14.0251419196381732,2.6106650258125970,7.6590228859130631,-0.9700141136033117,-0.0812927718518708,-0.5728985166861347,-0.1055115178068866
