period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-1,tbsf0-1,tbsm1-1,tbsf1-1
0,102.6962752187802721,101.5165065091845662,18.7599549399509122,77.0866957990353683,4.1533492610167686,-7.0924426456191583,125.4222237468363517,2.5373830019080890,98.6252396320033853,1.0000000000000000,1.0000000000000000,1.1643853737236867,1.0000000000000000,58.6525472943497945,20.1110213762246310,4.5381101573330156,14.2935953052322873,121.0835749606940084,79.1433088697824303,13.4077962823543988,52.2783756336903735,8.0524806276229377,3.6373423719011311,0.5182694343489609,2.4248159537438698,2.0849641093672000,-0.3217490855819054,2.0296750909549091,0.3604591462765649
1,105.1213539964646202,103.8177865359471497,18.4436083636063657,77.1562541759581819,4.4001374604353733,-2.9468668480282791,125.4006524596018437,2.5011334752574221,98.7012785863207114,1.0000000000000000,1.0000000000000000,1.1032257331959632,1.0000000000000000,60.4444426832734578,20.7254336759965412,4.4336293910031221,14.4160793902920847,123.8429086680670963,80.9468796674593278,13.6572672730472089,52.9958979866334232,8.1120378606585319,3.6642446467765821,0.5163296229668838,2.4138821653728630,2.2554359498375156,-0.2340434108706350,2.0190670587623423,0.3596778627061502
2,107.7516859619485103,106.3288965004762190,18.2645256169424641,77.1276754541389522,4.6077989289200998,1.4544393565415510,125.8468365408333796,2.8442141195319959,98.7428539863005597,1.0000000000000000,1.0000000000000000,1.2277085033816335,1.0000000000000000,62.3837430523290024,21.3903887883681634,4.3860717604649002,14.6139345688211080,126.8076198126886709,82.8846903895547058,13.9869599865989134,53.8040513604005639,8.2298111529524274,3.7174433821910302,0.5166681147922842,2.4293811883150229,2.4134574520166363,-0.1622104177802236,1.9985115322612415,0.3580403624224449
3,110.2825849611188005,108.6529883038002851,17.5574740988834286,77.4189343255498841,5.0235915755679059,6.1013016655114063,127.2554508873823806,2.4208669366381663,98.7479446159332497,1.0000000000000000,1.0000000000000000,1.0196223127559676,1.0000000000000000,64.2663040499245284,22.0358888767903700,4.2108559465153492,14.8028804110454058,129.8227534876239133,84.8554585618402086,13.8853162294376560,54.5912885678544626,8.1323499084458568,3.6734196917712230,0.5080765949237966,2.3496225346378989,2.6864551540333976,-0.0123548916453429,1.9892247351658889,0.3602665780139618
4,113.0089962778650801,111.2941359645280812,17.5366374712359843,77.3420402415816000,5.1213222915656180,11.1238133407521396,127.6141452963830289,3.9236891866040624,98.7714476180723722,1.0000000000000000,1.0000000000000000,1.1223522427783155,1.0000000000000000,66.1675541005383820,22.6877971428977965,4.2223961529532348,15.0268634032907080,132.9117863706723028,86.8745291389302423,14.2907918242178766,55.4310391909894093,8.3065249909238066,3.7520953740762715,0.5161148692107508,2.3908645844750267,2.7762321358095656,0.0202903098389451,1.9671488856722119,0.3576509602448960
5,117.2942630143356695,115.4808561719176083,17.5799718211782974,77.0884027977040915,5.3316253804090801,16.2704732100458394,128.2863538335154772,3.6160150454538353,98.7626462889170256,1.0000000000000000,1.0000000000000000,1.4653331919454256,1.0000000000000000,69.1592702368966599,23.7136088074440927,4.2890058514919875,15.3330087231896162,137.7347317351665765,90.0269290806082410,14.9519919848487568,56.2352058805211996,8.6174574360565011,3.8925449833060464,0.5272456362104991,2.4438277807337485,2.9296863728884293,0.0841388074289040,1.9607448100893419,0.3570553900024046
6,119.3450173765767062,117.2438451439922034,15.8831027291972706,78.1358799437339115,5.9810173264787903,22.0466583244747802,129.3545393040300553,2.5814274397103709,98.7788669072302667,1.0000000000000000,1.0000000000000000,1.0876054024016182,1.0000000000000000,70.3956292326304123,24.1375365537891291,3.8670168712269439,15.3250842321255725,140.6749847946292959,91.9487533752404431,13.9005021651112415,56.8197750360645344,8.0464216381876010,3.6346054986290048,0.5090298702509459,2.1693396013296562,3.2801978782275025,0.3284642641272414,2.0050622927526280,0.3672928913714181
7,121.5359102092338048,119.3290212027081054,15.3588502755509069,78.5137676138456015,6.1273821100662129,28.2487864734440599,129.2259949726602031,3.1193049595512834,98.8125244098374083,1.0000000000000000,1.0000000000000000,0.8795322135837971,1.0000000000000000,71.6455827534330609,24.5661256455807298,3.7490901270655410,15.3898545582330932,143.4482833351059128,93.7614519435500426,13.7605138880487754,57.4468976176673607,7.9592290406516160,3.5952202030660674,0.5285297806152376,2.1040639650321604,3.3569096184205054,0.3880858490763737,2.0134118452124432,0.3689747973568911
8,125.6323229842313367,123.3741534333763070,15.8254069762790746,78.0699338331717456,6.1046591900272213,34.2861989074117801,129.9333591945781450,2.8749964165075692,98.7832723973975675,1.0000000000000000,1.0000000000000000,0.7309256030572937,1.0000000000000000,74.4405141588035804,25.5244629698984866,3.9119465926717805,15.6987609532619672,147.9772639256262892,96.7217090210038606,14.6589025912542610,58.1285427949001203,8.4210983598033007,3.8038486894319479,0.5783070946203378,2.2185124293394982,3.3849759866539979,0.3692523491941662,1.9851505708754698,0.3652802833035874
9,130.2321660213205234,128.0222092278262664,16.8840844763955822,77.2700191038502737,5.8458964192255429,40.0434770606908259,130.0296713193270080,2.5289242171851800,98.7621120701154638,1.0000000000000000,1.0000000000000000,0.8771471840419001,1.0000000000000000,77.5452942904744162,26.5890424720154392,4.2323621987397324,16.0750162204472176,152.8770894089099102,99.9243597666349643,16.2009518820604974,58.8959369524777259,9.1983210166811631,4.1549237224553988,0.6366884585019950,2.4503405859415728,3.2828112340963185,0.2628900352665434,1.9425258186334220,0.3576693312292596
