period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-1,tbsf0-1,tbsm1-1,tbsf1-1
0,101.7407588010798349,100.1902602185204501,18.5057080653570836,78.8938627698399415,2.6004291648014335,-7.1863272780171927,125.9323469758641352,2.5794822350811097,98.7201831983732063,1.0000000000000000,1.0000000000000000,1.1647786974159438,1.0000000000000000,56.0659108005295082,19.2241050491522714,3.9595358863931627,13.3494292798326430,121.0571337906144862,79.1260262475014002,13.5830782805252177,52.2610794951671380,7.8838014743418308,3.5611492259802207,0.5097057441754879,2.3482723469442370,0.9246140355042717,-0.7812643491027075,2.0952838008967056,0.3617956775031638
1,104.0452405604750084,102.3874589949008964,18.2352859747103686,79.0347346744690498,2.7299793508210266,-4.6032402696912946,125.9881492412698947,2.5428407341587134,98.7640704122982243,1.0000000000000000,1.0000000000000000,1.1023945669243782,1.0000000000000000,57.5191108807164824,19.7223841388890442,3.9020836392613938,13.4504615226947628,123.7968670496805856,80.9167856928966245,13.7896693098650580,52.9433194151196247,7.9479521441809799,3.5901263772932390,0.5111919296044823,2.3414256212680624,1.0064625728415109,-0.7293892723342790,2.0912637029624208,0.3616423473513738
2,106.5569698716920755,104.7864753368352098,18.1128631878355435,79.0760216826061395,2.8111151295596084,-1.8769173538560975,126.5142410689300334,2.8920796988036956,98.7796067143063823,1.0000000000000000,1.0000000000000000,1.2240418023144770,1.0000000000000000,59.1165882081675207,20.2701335915969061,3.8918751713844872,13.6142899725125979,126.7425236415945164,82.8421418739792585,14.0987472486299872,53.7232941155885158,8.0753606833195288,3.6476773978273260,0.5152630692800120,2.3624106472242232,1.0702047606616174,-0.6964541404193590,2.0767754822712341,0.3605890270461160
3,108.9661383193617894,106.9824646284431822,17.5026404034917142,79.4590783258457094,3.0382812706626887,0.9414850061777745,128.0285312598243195,2.4460174291447423,98.7637297978746318,1.0000000000000000,1.0000000000000000,1.0201594469013007,1.0000000000000000,60.6025647811533759,20.7796512170448011,3.7773843500666922,13.7431574980730193,129.7470905323760064,84.8060033269817239,14.0014855828443423,54.4914672501396851,8.0061173945328896,3.6163998872165641,0.5109407248716611,2.2963950003180655,1.2032410210455116,-0.6029865325976804,2.0745679278068505,0.3634588544080062
4,111.6027864352006276,109.5353516395924061,17.5306524815474454,79.4220319997517237,3.0473155231667435,3.9820887917248053,128.4398304693822865,3.9507712192956124,98.7698985587288121,1.0000000000000000,1.0000000000000000,1.1201134016906193,1.0000000000000000,62.2292380083071208,21.3374114772982004,3.8165115384496442,13.9382843018144005,132.8254702879209788,86.8181107485760180,14.4025103740668587,55.3119736721974391,8.1923953441102650,3.7005424900095951,0.5220374811842141,2.3426207102355532,1.2282087404087398,-0.5979476682791809,2.0559167493796915,0.3611377016574931
5,115.7851248144538232,113.6074480815371288,17.6534808674950021,79.2030837273684227,3.1434354044107122,7.0452067356246069,129.1757986545557628,3.6338099887108344,98.7463376852430770,1.0000000000000000,1.0000000000000000,1.4633078728591922,1.0000000000000000,64.8762891402665502,22.2450430185445605,3.9145379434498384,14.2035987099617245,137.6443368305055799,89.9678446683569319,15.0850528501512038,56.1031644597772399,8.5273601489111179,3.8518476261459358,0.5369883453404051,2.4056982661942761,1.2982325961317625,-0.5689134896739999,2.0532638219561572,0.3608524759967930
6,117.7614983620412943,115.2908336397370022,16.0492035978544543,80.3212889843919839,3.6295074171459478,10.4047056508524669,130.3037471903531923,2.5766877747662731,98.7534776014463205,1.0000000000000000,1.0000000000000000,1.0893336019054773,1.0000000000000000,65.7922421361858909,22.5591086666758471,3.5813479819434764,14.1453497620615885,140.5974585535904851,91.8980802493268811,14.0536098168716030,56.6828763289221556,8.0006319617105301,3.6139220920928428,0.5214215791140432,2.1498485028604017,1.5248367492660098,-0.3692052049486595,2.1024835180377339,0.3713923547908638
7,119.9261586670011894,117.3565982511106114,15.5673230297124459,80.6991275292958079,3.7335494404371912,14.1424289089012323,130.1736726340836299,3.1548794126271096,98.7807295795226281,1.0000000000000000,1.0000000000000000,0.8857245042710925,1.0000000000000000,66.8962751504408430,22.9376639481423332,3.5088688028160759,14.2014362150480284,143.3864922924516350,93.7210637441120866,13.9199156414881067,57.3037913405469794,7.9357703015526111,3.5846237831972037,0.5426062061151591,2.0924036666282699,1.5717716737892868,-0.3220293051910397,2.1108937181118672,0.3729133537270765
8,123.9632803571889070,121.3200413835542122,16.0868748232528063,80.2676774860807427,3.6454476901266717,17.8375235002899295,130.9462779024641463,2.8811877507391781,98.7441650558745749,1.0000000000000000,1.0000000000000000,0.7336281119595106,1.0000000000000000,69.4430651938709502,23.8109175640021320,3.6954442440379931,14.4769968743041701,147.9338387351364759,96.6933252103608396,14.8360358941431443,57.9805046717280916,8.4168435019443351,3.8019267506540086,0.5945403371636911,2.2127333032397183,1.5544191793364650,-0.3621508927707387,2.0838131564156339,0.3693662471453115
9,128.5356392569075865,125.9278186301826139,17.2003142269996907,79.4258805705380695,3.3738052019124201,21.2932123357111891,131.0565516691882806,2.4728117692162987,98.7169701186850688,1.0000000000000000,1.0000000000000000,0.8770792863216574,1.0000000000000000,72.3849261323132396,24.8196346777189092,4.0298936299587869,14.8433514813715419,152.8574502883511457,99.9115231371844601,16.4065877559899533,58.7444382095507009,9.2139566865298512,4.1619864261219677,0.6551885997528774,2.4501457602162060,1.4505208022902083,-0.4772102133623334,2.0390232391484528,0.3614713738360928
10,131.6662543863641019,129.1357341340147684,17.5476730848336508,79.2346572158947424,3.2176696987501257,24.6490701167774802,129.4799377941571947,1.6019833531559780,98.7715039723625665,1.0000000000000000,1.0000000000000000,0.9276838215590612,1.0000000000000000,74.0744271927031264,25.3989375981894803,4.1574927661774961,15.0156543592849552,156.4673124001342330,102.2710209648866595,17.2127044496771262,59.4992829713637121,9.5956834214741242,4.3344141402275218,0.6761895694901552,2.5510972123164861,1.3661811506137891,-0.5372482247648473,2.0314617872706684,0.3572749856305155
11,132.9791390853750954,130.5867100119560291,17.3365466694743020,79.5720111086101269,3.0914422214345261,27.9985669822069134,126.4448369245725274,3.0925551473896418,98.8995891915249103,1.0000000000000000,1.0000000000000000,1.0986640307727003,1.0000000000000000,74.3026592930618222,25.4771947389410904,4.1223357446369171,14.9720632282840320,158.2745566600196412,103.4522818477907435,17.3048452331871125,60.0948547645770503,9.6031846641297403,4.3378024858833424,0.6701253096453077,2.5402893361127354,1.2665761748090574,-0.5743570774615520,2.0446715197029701,0.3545516043840499
12,135.6799852820478520,133.3023580133531141,16.8556118103115189,79.9938375383817828,3.1505506508730132,31.3985290607711569,124.6315143985414267,3.1805794501727602,98.9786331827045700,1.0000000000000000,1.0000000000000000,1.1737233427528118,1.0000000000000000,75.4379156878660950,25.8664560187423831,4.0614418826821677,14.9725239988161487,161.7922531268853561,105.7515378623052555,17.2809010976521833,60.6960072438638960,9.5760881806014471,4.3255628801984942,0.6671966305303830,2.4769397009396474,1.2640796957936862,-0.5446809799484038,2.0751864303953638,0.3559655046323665
13,138.0938962427985643,135.5781576742708694,15.9507203091629730,80.7163461733914573,3.3329335170690118,35.0495583308551844,124.3639452273973376,3.8133031225042524,99.0106075069932388,1.0000000000000000,1.0000000000000000,1.4905791084467817,1.0000000000000000,76.3954081533480291,26.1947648873110985,3.8896795402327764,14.9346943057311474,165.1677023789517307,107.9578174738651626,16.7324051252586834,61.2305310275611490,9.3109273635121781,4.2057885249447597,0.6669024541223145,2.3262443999069160,1.3301477128663552,-0.4622870768568105,2.1044342957903570,0.3606385852691097
