period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-1,tbsf0-1,tbsm1-1,tbsf1-1
0,102.8321166828600752,101.7464103661945245,19.3961671607889130,76.8798246040792748,3.7240082351329806,-7.0764167247636376,124.5237096335491884,2.6851051116099311,98.6677513968128466,1.0000000000000000,1.0000000000000000,1.2292940975043674,1.0000000000000000,58.5413123560440027,20.0728806930787798,5.2560224636984065,14.2525428043709326,121.1635832408500590,79.1956043196862254,13.3541707193353734,52.3307238334985882,8.2907892701032644,3.7449874769275815,0.4866216953015958,2.5343697408303019,1.8551361175976642,-0.4709881391671932,1.9865789680648396,0.3532812886376699
1,105.2930785638799165,104.0181414277864036,18.8160798497495669,77.0409622546827535,4.1429578955678172,-3.3672424694597729,124.7053665011033559,2.7153587978089533,98.7693157440510277,1.0000000000000000,1.0000000000000000,1.1900221694037743,1.0000000000000000,60.5412778184875719,20.7586368967277259,4.8970719908797111,14.3481622914140132,123.9466715733785520,81.0147017454493152,13.6483149707765090,53.0625386703126907,8.2574170591069329,3.7299130964087905,0.4657399968665826,2.4832259515372530,2.1329363291759087,-0.3214980737168794,1.9776694894138456,0.3538501506949427
2,107.8722498255574607,106.4214257875981815,18.3180513575996002,77.1838182892164042,4.4981303531857435,0.7787854555000824,125.3705154638681734,3.0926091663420863,98.8229544815422543,1.0000000000000000,1.0000000000000000,1.2863212799210146,1.0000000000000000,62.5375344873920156,21.4431214143274538,4.6457455336246989,14.5077583254525262,126.9028098592644511,82.9469090287047379,13.8847933933683798,53.8591399334787155,8.2480793800334009,3.7256952240139336,0.4479095064288616,2.4468782705174283,2.3772157602195580,-0.1944464027807121,1.9613523124172216,0.3540086833296761
3,110.2617276344216037,108.5540418371113134,17.2495984515573824,77.7122072589759085,5.0381942894674143,5.3332356228901707,126.9893095264793175,2.4355851168278875,98.8343976578607624,1.0000000000000000,1.0000000000000000,1.0553522575958436,1.0000000000000000,64.3414224731954505,22.0616457839638684,4.2900577856009834,14.6437835956496762,129.8609581114923515,84.8804300771597298,13.5791422350234932,54.6173508097805325,7.9939607004837363,3.6109086528489165,0.4342460905102654,2.3057593849644786,2.7181638280855784,0.0041779010465739,1.9575774920846580,0.3582750682506044
4,112.8980073580137713,111.0961731472376215,17.1346189967272515,77.7004671959862492,5.1649138110024895,10.3809330064854635,127.3990798284589232,3.8602494776650120,98.8586117177964923,1.0000000000000000,1.0000000000000000,1.1633469948966759,1.0000000000000000,66.1909192683151986,22.6958086856234758,4.2307214882388777,14.8504329920471587,132.8802343901798793,86.8539059607793149,13.9346877564919787,55.4467149955491223,8.1138327728422031,3.6650554168288703,0.4381447745574328,2.3320700852092759,2.8248566364093310,0.0486785913047060,1.9353223773909074,0.3560562058975457
5,117.0977435235700881,115.1872173443330354,17.0845029074098349,77.4672587980319207,5.4482382939736302,15.5725078329166227,128.2425831733114592,3.6093954137193407,98.8399701996693807,1.0000000000000000,1.0000000000000000,1.3869332544346058,1.0000000000000000,69.1847995743054156,23.7223624093596541,4.2238242900024492,15.1663787741955502,137.6189414997744507,89.9512456333139454,14.5391466046735545,56.2394228609064584,8.3655679945943326,3.7787653691928589,0.4402717035678667,2.3700092522079013,3.0202160642364588,0.1371954808515874,1.9343336129626836,0.3564931359229001
6,119.0049284937362017,116.8024931416101566,15.2518367901612137,78.6006372508695677,6.1475259584832909,21.4782770781611703,129.4274597095009085,2.4685517453430172,98.8502176447925649,1.0000000000000000,1.0000000000000000,1.0543081418211318,1.0000000000000000,70.3213468717778198,24.1120663190611140,3.7419591655467781,15.1479273069826874,140.4488054287868124,91.8009167804202662,13.3427701718879828,56.8040356134704325,7.7176608646979146,3.4861027518442511,0.4432666529293253,2.0740106670463603,3.3971027807377290,0.3999813819911122,1.9827204682683301,0.3677213274861194
7,121.0954492356259493,118.7993616737273896,14.7535755047913124,78.9728311261415143,6.2735933686232253,27.8319422709181907,129.2714746016361573,2.8823390416342409,98.8808079013794980,1.0000000000000000,1.0000000000000000,0.8811959172110928,1.0000000000000000,71.4895095713610687,24.5126106450275003,3.6215472981437311,15.2131628032406425,143.1122875860569650,93.5418365633917830,13.1800517672706530,57.4275996679931851,7.6267127013592173,3.4450210500114480,0.4864377399867078,2.0138478860999696,3.4618139295769219,0.4528474449871815,1.9897657846018733,0.3691662094572487
8,125.1858565478648160,122.8737808086897445,15.4724132324996191,78.3869759670450321,6.1406108000089308,33.9250572764802669,129.7886817084229847,2.7660184519988862,98.8524474046147077,1.0000000000000000,1.0000000000000000,0.8031409380576690,1.0000000000000000,74.2668621532439914,25.4649204716280053,3.8310994785224777,15.5404130161618639,147.5657834925015095,96.4527549285661507,14.2754843687552526,58.1306463733608396,8.1881402217026533,3.6986204317338212,0.5533782428997538,2.1731981536780061,3.4304249528292279,0.3941303821617178,1.9524809998219301,0.3635744651960556
9,129.7528407241636899,127.5002141486129261,16.6199509902786282,77.5335343899774756,5.8465146192896116,39.6798687422482033,129.8809118498275268,2.4943992348539279,98.8276963704365983,1.0000000000000000,1.0000000000000000,0.9115992227815656,1.0000000000000000,77.3484505915594696,26.5215479126267972,4.1439141305017602,15.9260186116104325,152.4064711014041222,99.6167516531249646,15.9100690194864267,58.9029179021211249,8.9940958744175923,4.0626742905456066,0.6054286778379274,2.4205723177647260,3.3091164705545673,0.2747746258476835,1.9072067640178549,0.3554167588695057
