period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-1,tbsf0-1,tbsm1-1,tbsf1-1
0,102.6962752186662868,101.5165065090933325,18.7599549399413981,77.0866957992663089,4.1533492607911766,-7.0924426456253284,125.4222237458644571,2.5373830019178145,1.0000000000000000,1.0000000000000000,1.1643853737238798,1.0000000000000000,58.6525472940103469,20.1110213761082406,4.5381101572740459,14.2935953051069529,121.0835749606822986,79.1433088697747706,13.4077962824079506,52.2783756336827068,8.0524806276145284,3.6373423718973323,0.5182694343497339,2.4248159537400333,2.0849641092394462,-0.3217490856498343,2.0296750909333205,0.3604591462682439
1,105.1213539963431458,103.8177865358542959,18.4436083635986243,77.1562541761958727,4.4001374602041681,-2.9468668482611764,125.4006524586439895,2.5011334752630177,1.0000000000000000,1.0000000000000000,1.1032257331960111,1.0000000000000000,60.4444426829059367,20.7254336758705229,4.4336293909502773,14.4160793901676794,123.8429086680585272,80.9468796674537288,13.6572672730940194,52.9958979866209035,8.1120378606500960,3.6642446467727714,0.5163296229675195,2.4138821653689542,2.2554359497050345,-0.2340434109401733,2.0190670587414017,0.3596778626979056
2,107.7516859618217637,106.3288965003803241,18.2645256169359520,77.1276754543802383,4.6077989286844963,1.4544393560770768,125.8468365398801296,2.8442141195369253,1.0000000000000000,1.0000000000000000,1.2277085033815085,1.0000000000000000,62.3837430519359444,21.3903887882333912,4.3860717604163098,14.6139345686969246,126.8076198126825034,82.8846903895506699,13.9869599866408958,53.8040513603838377,8.2298111529439453,3.7174433821871986,0.5166681147928333,2.4293811883110417,2.4134574518803471,-0.1622104178509608,1.9985115322408631,0.3580403624142474
3,110.2825849609870232,108.6529883037015196,17.5574740988785010,77.4189343257939981,5.0235915753268729,6.1013016648070488,127.2554508864300828,2.4208669366407198,1.0000000000000000,1.0000000000000000,1.0196223127560218,1.0000000000000000,64.2663040495066298,22.0358888766470784,4.2108559464720914,14.8028804109207073,129.8227534876200764,84.8554585618376933,13.8853162294743520,54.5912885678343685,8.1323499084376945,3.6734196917675357,0.5080765949242778,2.3496225346340802,2.6864551538925450,-0.0123548917174083,1.9892247351459613,0.3602665780057755
4,113.0089962777283716,111.2941359644264594,17.5366374669505021,77.3420402418257424,5.1213222916612784,11.1238133398070396,127.6141452954354776,3.9236891866105905,1.0000000000000000,1.0000000000000000,1.1223522427784267,1.0000000000000000,66.1675541000981582,22.6877971427468488,4.2223961529120642,15.0268634031652031,132.9117863706703986,86.8745291389289918,14.2907918242514622,55.4310391909665157,8.3065249909152836,3.7520953740724221,0.5161148645661614,2.3908645844710090,2.7762321356662052,0.0202903100995608,1.9671488856526878,0.3576509602428248
5,117.2942630135003554,115.4808561711322170,17.5799718212788498,77.0884027984074578,5.3316253802424685,16.2704732089526516,128.2863538325676984,3.6160150454540796,1.0000000000000000,1.0000000000000000,1.4653331919453225,1.0000000000000000,69.1592702364288954,23.7136088072837055,4.2890058514524387,15.3330087230628749,137.7347317351658376,90.0269290806077578,14.9519919848809941,56.2352058804956769,8.6174574345105661,3.8925449826077405,0.5272456362109492,2.4438277807297544,2.9296863727988036,0.0841388073557544,1.9607448100914826,0.3570553899964273
6,119.3450173758195945,117.2438451433069417,15.8831027292734799,78.1358799443712257,5.9810173262960751,22.0466583231180095,129.3545393030761375,2.5814274397143899,1.0000000000000000,1.0000000000000000,1.0876054024017758,1.0000000000000000,70.3956292321400241,24.1375365536209792,3.8670168711935888,15.3250842319974421,140.6749847946303476,91.9487533752411252,13.9005021651380822,56.8197750360372353,8.0464216368298889,3.6346054980157203,0.5090298702513676,2.1693396013261785,3.2801978781255881,0.3284642640538041,2.0050622927516399,0.3672928913650430
7,121.5359102085144656,119.3290212020677217,15.3588502756179022,78.5137676144513819,6.1273821098755654,28.2487864718367767,129.2259949717110601,3.1193049595530820,1.0000000000000000,1.0000000000000000,0.8795322135838171,1.0000000000000000,71.6455827529270834,24.5661256454072365,3.7490901270347665,15.3898545581046182,143.4482833351078455,93.7614519435513074,13.7605138880731452,57.4468976176384345,7.9592290393865648,3.5952202024946378,0.5285297806156749,2.1040639650287920,3.3569096183128186,0.3880858490025255,2.0134118452098968,0.3689747973503252
8,125.6323229835089137,123.3741534327260752,15.8254069763473826,78.0699338337684310,6.1046591898337326,34.2861989055786296,129.9333591936290020,2.8749964165120545,1.0000000000000000,1.0000000000000000,0.7309256030571757,1.0000000000000000,74.4405141582760876,25.5244629697176180,3.9119465926408084,15.6987609531323642,147.9772639256287050,96.7217090210054380,14.6589025912786717,58.1285427948696594,8.4210983585452670,3.8038486888636882,0.5783070946208212,2.2185124293359966,3.3849759865439744,0.3692523491200103,1.9851505708727128,0.3652802832970346
9,130.2321660205810190,128.0222092271452823,16.8840844764708180,77.2700191044441880,5.8458964190316980,40.0434770586479800,130.0296713183838051,2.5289242171834481,1.0000000000000000,1.0000000000000000,0.8771471840418223,1.0000000000000000,77.5452942899262041,26.5890424718274616,4.2323621987071540,16.0750162203167051,152.8770894089127239,99.9243597666367975,16.2009518820870753,58.8959369524458154,9.1983210153959067,4.1549237218748427,0.6366884585025606,2.4503405859378979,3.2828112339860445,0.2628900351919616,1.9425258186308689,0.3576693312228236
