period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-1,tbsf0-1,tbsm1-1,tbsf1-1
0,102.6816766766039706,101.4950392541086046,18.7136168045964553,77.1106589878916395,4.1757242075117924,-7.0939427709108411,125.4799840954226937,2.5367465566696223,98.6235635413949581,1.0000000000000000,1.0000000000000000,1.1641203893402385,1.0000000000000000,58.6477197797168586,20.1093660985861362,4.5244094280534055,14.2918128236164694,121.0772569290523109,79.1391792433666978,13.3855027386162124,52.2742426006793721,8.0348138918701917,3.6293622264654242,0.5079949443942725,2.4167600199232147,2.0965348842946518,-0.3135930236623776,2.0317580553440067,0.3610242915355111
1,105.0977403027455210,103.7886460430320028,18.3920334730597261,77.1845676639787968,4.4233988629611831,-2.9261212530982337,125.4574968368798551,2.5001898708980175,98.6993565426608939,1.0000000000000000,1.0000000000000000,1.1029720038652933,1.0000000000000000,60.4315479362057104,20.7210122732462203,4.4176318311587721,14.4133736486734989,123.8300109799199475,80.9384494099527529,13.6289311596393858,52.9904339813434291,8.0900037870920514,3.6542917548523195,0.5055836870428324,2.4053561416740572,2.2672767286537110,-0.2255259958809520,2.0213716877202512,0.3602764424681719
2,107.7175691898540606,106.2905314146816522,18.2070654615127623,77.1608873681999086,4.6320471702880139,1.4985880606232689,125.9026403525482749,2.8422452424839095,98.7407322496440969,1.0000000000000000,1.0000000000000000,1.2274475039967954,1.0000000000000000,62.3614709436884738,21.3827520381565250,4.3674204042174800,14.6101202297196444,126.7868509820283691,82.8711153528055320,13.9519844559899227,53.7971748659812050,8.2029575801282455,3.7053135003835203,0.5052490383321888,2.4201972897463597,2.4256000019986139,-0.1532832323293739,2.0010548065695297,0.3586755940492441
3,110.2366673341532390,108.6043210359571702,17.4940646334068752,77.4571998187880837,5.0487355478067455,6.1705588652976715,127.3095292995053427,2.4192181408996261,98.7456738960918017,1.0000000000000000,1.0000000000000000,1.0193156295110404,1.0000000000000000,64.2334372067251849,22.0246193613704548,4.1895236162984242,14.7978603021092638,129.7928206285694444,84.8358936827038548,13.8436139086755698,54.5829850757063895,8.1005376039439483,3.6590499281587929,0.4959558988966983,2.3398153870526426,2.6988523799111888,-0.0030669223377197,1.9920105022632368,0.3609395879700392
4,112.9491455568116862,111.2327764735743472,17.4659625742519680,77.3864189733810690,5.1476184566355077,11.2191854807096316,127.6663159743785627,3.9221406020602423,98.7690325493960870,1.0000000000000000,1.0000000000000000,1.1220186737972506,1.0000000000000000,66.1221837330962927,22.6722403687836902,4.1976919007825977,15.0203424277462609,132.8710177471594704,86.8478817281322080,14.2410676885606726,55.4211031542234025,8.2688401969815377,3.7350729800934324,0.5028555127208492,2.3800660926295110,2.7889443436255816,0.0300845689529013,1.9702216354141739,0.3583679086428507
5,117.2170983131140645,115.4034016062684742,17.5005457405001650,77.1398820913874772,5.3595721674175447,16.3940453190997779,128.3368073511521743,3.6107965312395018,98.7600853199662794,1.0000000000000000,1.0000000000000000,1.4649521048752725,1.0000000000000000,69.0985021977415670,23.6927724177080101,4.2598744926518801,15.3247139862831450,137.6805609252212150,89.9915216593735892,14.8920023508836366,56.2234018924917294,8.5722989506913461,3.8721466886853682,0.5124127397716867,2.4317383797426619,2.9429530348657589,0.0946206924933167,1.9641710966038186,0.3578273434546500
6,119.2509913430542099,117.1514884467143816,15.7968455982056355,78.1935921318243601,6.0095622693926574,22.2027771278198323,129.3994192421110370,2.5772540675788713,98.7762458684712925,1.0000000000000000,1.0000000000000000,1.0870775373175836,1.0000000000000000,70.3193914138824283,24.1113958237911099,3.8349988614073127,15.3152397361783184,140.6066209173938830,91.9040690036951275,13.8333382640823928,56.8064379913401822,7.9957125294486335,3.6116999620140060,0.4930244938271549,2.1566081877934611,3.2934220929553732,0.3392356158648256,2.0087954316280952,0.3681091289443637
7,121.4218276125715619,119.2183042598382769,15.2637063424887458,78.5793362488436458,6.1569574081427287,28.4377373975651864,129.2659074323465802,3.1170839828490893,98.8098127411689688,1.0000000000000000,1.0000000000000000,0.8788751375833218,1.0000000000000000,71.5510923811483792,24.5337264065957967,3.7131028517966191,15.3780080748933390,143.3634337894221460,93.7059921191792142,13.6840455841269524,57.4316374040939479,7.9013334674499447,3.5690685075463593,0.5104536476249598,2.0901572581398855,3.3702205014480788,0.3993758904195360,2.0175160084067696,0.3698450078683440
8,125.4918891866633999,123.2386704937554924,15.7180120063716817,78.1455927787025786,6.1363952144129872,34.5092930550182047,129.9707206641004404,2.8739262544793975,98.7803979306404614,1.0000000000000000,1.0000000000000000,0.7301508441872734,1.0000000000000000,74.3222466911884680,25.4839109448111039,3.8697679453596248,15.6842484148458290,147.8716677522446048,96.6526886723056293,14.5682421467458543,58.1107002507664703,8.3524475271239140,3.7728387939576957,0.5569976889419617,2.2026702917301901,3.3989507645275965,0.3814824221671341,1.9897352484527087,0.3662267792655481
9,130.0593331044354102,127.8559957311226754,16.7616992545795469,77.3577566441220199,5.8805441007814556,40.3037728949500718,130.0654818316471619,2.5254148946266097,98.7590267183949777,1.0000000000000000,1.0000000000000000,0.8762670473694540,1.0000000000000000,77.3980079817763311,26.5385403499543600,4.1820744308007622,16.0571911103274587,152.7464769985127759,99.8389881682027038,16.0913450814488819,58.8748746910356928,9.1156827623956431,4.1175956445930879,0.6114333445640590,2.4319473044852766,3.2977712755423121,0.2763722343445693,1.9476915290543486,0.3587090618402253
