period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-0,tbsf0-0,tbsm1-0,tbsf1-0
0,281.2693966682197697,270.3782054486908919,18.2479561713284575,80.7993613699566282,0.9526824587132886,2.6629365292411826,103.2861979025431509,2.6274262199280418,97.1008930758548416,1.0000000000000000,0.9714019103184325,1.0000000000000000,1.0000000000000000,206.1148764069506285,79.2998323211962628,15.7392475376579295,51.0630246133786585,296.4268170366880213,189.6579083427804449,33.9071557659531706,124.5982288958812774,27.7558029623079179,12.3186098585988688,3.0077605754171461,7.0467716823040139,0.6058718313341069,0.8945004898491379,-0.5092126665636478,-0.0384771959063085
1,289.4993753338624174,275.0929000951683747,19.4000250706850998,79.4360577282398310,1.1639172010748648,3.6470221027502570,104.5537936823834571,3.0319053694398912,95.8393588803109395,1.0000000000000000,0.9424204965268784,0.9999999999999999,1.0000000000000000,213.6985379239254428,82.2175406261972483,17.2710210825168424,52.5558145313191005,303.1559577166898407,193.9633040524928447,36.3913772431417257,125.8784979957113279,30.0407278145304559,13.3327076257926169,3.6109915379641722,7.7465757887692721,0.7233315780340935,0.9808156096273908,-0.5068435754913767,-0.0333864110952425
2,299.0012960303571958,278.5054374865995896,21.5309700701069318,76.9652404718327006,1.5037894580620264,4.8960665480012286,106.8149939028728710,3.2963424213128034,93.6566417370873836,1.0000000000000000,0.9198432511237228,0.9999999999999999,1.0000000000000000,223.4693031095843310,85.9767066523444186,19.6798752281198652,55.0303865331051085,309.5282520452601034,198.0403846141736608,40.9573244664410083,127.4862890830004716,33.8306969942209719,15.0147757599453957,4.3850965144043119,9.0523078192661970,0.9054814334350849,1.1224110127001030,-0.5004614454214970,-0.0236415426516645
3,309.8611903810274271,281.6414716632212958,24.5631401220408279,73.5192390377330440,1.9176208402263524,6.5372067488980941,109.7466406036278386,2.6108347146337252,90.9471799673295038,1.0000000000000000,1.0054976036262409,1.0000000000000000,1.0000000000000000,235.4128405021222079,90.5718165690115171,22.9255425947142939,58.3979773046168447,315.6849748194381959,201.9795395640190350,47.8185108917580237,129.2540801063789218,39.1340928049302121,17.3685345038942884,5.2411199025780029,11.0115232839305044,1.1218772450692258,1.2977624101234246,-0.4913640772261953,-0.0106547377401021
4,318.1213747676623029,290.8813083892659392,24.9075398074342544,73.2165644693125870,1.8758957236129499,8.3999899480677662,109.0865929495283098,4.1717742056022189,91.5262484717526235,1.0000000000000000,0.9666714395641043,1.0000000000000000,1.0000000000000000,241.9771504956813715,93.0973435511873646,23.8305059611102088,58.8781586341394600,323.5124851903337913,206.9876871375624319,49.7160667123914450,130.1679877634402374,40.7647905270715114,18.0922724935191503,5.5981315453226559,11.2550126514716435,1.0996889766036517,1.2815485291338427,-0.4937347658559608,-0.0116070162685840
5,335.1205620132478771,304.5039993180936335,27.2172934220438449,70.7634701676966529,2.0192364103179394,10.2256786052208888,110.0228383089650208,3.2805077920961656,90.6242197176828910,1.0000000000000000,0.9443911356186243,1.0000000000000000,1.0000000000000000,257.5531594122029446,99.0899963710396605,27.0825905757309080,61.5295971177681409,336.8862965728167751,215.5444335167493932,57.0627866229259126,132.0121076597113472,46.3181059113560210,20.5569508072272704,6.3616904948851376,12.8917498751223238,1.1718307527974750,1.3476310211019227,-0.4930288573887813,-0.0071965061926770
6,352.9029290232597305,314.8239437412254347,30.1894117115853788,67.5463162836685598,2.2642720048021836,12.2320538930261478,112.4371571606264268,2.7228964107332221,88.4939863915738698,1.0000000000000000,1.0150926920054824,1.0000000000000000,1.0000000000000000,274.9795553246831901,105.7945598548225377,30.9882228555804282,65.0701712729086381,349.4519705416315674,223.5841225896438118,66.8526172029250461,133.9962539951837073,53.2407255592562976,23.6293551890338378,7.0194994241495259,15.1398215180603923,1.3033196446382944,1.4527157070962993,-0.4919220396735257,0.0001586927411157
7,366.7317943270230103,328.6918390551200559,30.7481522575369830,67.0852852887035453,2.1665624538094144,14.2627750959275783,111.9627706533327967,3.1886263734507869,88.8675187169865239,1.0000000000000000,1.0757485742933144,0.9999999999999999,1.0000000000000000,286.0363888226048061,110.0485227791551779,32.3490698838291308,65.8705744469233707,362.3058135649760629,231.8081861421402721,71.5727903695258334,135.1672377110336072,56.2803747926603464,24.9784155301863713,7.0154530121920580,15.6287577731572451,1.2548211483662559,1.4119423318707525,-0.4975770248081097,-0.0026240016194843
8,374.9300439355131971,347.4313152101675541,29.2089710571257228,69.0509506235118096,1.7400783194050073,16.0387989968618427,108.0824285063972923,3.3628858409690654,92.2286885406880401,1.0000000000000000,1.0487659467551633,0.9999999999999999,1.0000000000000000,289.3199968630075887,111.3118453085700850,31.3162393338840275,64.0356466341612389,373.7962393971832284,239.1599168360421572,70.4404873693079026,135.4165426584630438,55.2384435335879829,24.5159844955871868,6.6135729948327580,14.4862648023452820,1.0189673489715398,1.2385538444127095,-0.5041906790351577,-0.0132521949440847
9,385.9806731810152769,366.5457313357266571,28.5922929754150736,69.9905315754821231,1.4171754491404918,17.4184599111007508,105.4172508959430274,2.7385511896837578,94.6499967028029801,1.0000000000000000,1.0284841842266419,1.0000000000000000,1.0000000000000000,295.9537551478138084,113.8640915550071639,31.4278580278782194,63.4059711507902080,386.5732835192006291,247.3348434071604629,71.5858050053594042,136.2289987811982144,55.9086299132390323,24.8134273241978143,6.4913461581233509,14.1083959114749327,0.8353075618815234,1.1108746090020354,-0.5085438647388700,-0.0204628570041974
