period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-0,tbsf0-0,tbsm1-0,tbsf1-0
0,282.1805846687091162,266.5484258752842379,18.8595180735624837,80.2445862871475128,0.8958956392887836,2.7011977190849610,105.0996521058256832,2.2685956745642111,95.3752775651715723,1.0000000000000000,1.0060827839230102,0.9999999999999999,1.0000000000000000,207.0657267491638720,79.6656587671786980,15.5797572709568382,51.4203639193031989,296.7038141833624536,189.8351348838214108,36.3723089021631338,124.7746823813803587,28.5984616186880167,12.6925995156811737,2.4429261505789293,7.3734428064903108,0.5566438926575042,0.8739679105031252,-0.5006086293864386,-0.0341075344854073
1,288.3598455344293825,273.2400849740554918,18.8539753000820269,80.2518805441535363,0.8941441557620764,3.5886054497504523,104.8035996403634158,2.3644318643317730,95.6397330591751427,1.0000000000000000,1.0056134534866803,1.0000000000000000,1.0000000000000000,211.5874628441598588,81.4053338473311783,16.0420974871222768,51.7887592024119812,303.2570454014912116,194.0279813278159793,36.7364813662884444,125.6531392687832067,29.1533971545225690,12.9388915927614736,2.7362251047034856,7.4496656100157672,0.5562637319950450,0.8736618866541764,-0.5010500355234626,-0.0347314273636824
2,293.0278557460973730,279.7712259570860169,18.6714717417372320,80.4505688845534905,0.8779593737087219,4.4816189431871178,104.0286111733146015,2.6426315667589018,96.3737437793078158,1.0000000000000000,0.9757392579457018,1.0000000000000007,1.0000000000000000,214.8297975305033560,82.6527770277476748,16.3171338506709347,51.9891611269274989,308.4563785196278900,197.3545853571710609,36.5380965656951915,126.5057646391379791,29.3591215612167638,13.0301964167616635,3.0455136636832290,7.4159884985865894,0.5449589028642533,0.8689285791186762,-0.5005032082669238,-0.0354249000072836
3,297.7853954112198380,283.6715335887107585,19.3271255056313542,79.7200738833251847,0.9528006110422542,5.4255739695259271,104.3163086586056352,2.8636310363621131,96.0671467266449213,1.0000000000000000,0.9593269502141689,1.0000000000000007,1.0000000000000000,219.0535554118897892,84.2778091341055244,17.2619898991419767,52.8632008839967540,312.4318797495997728,199.8981651028501005,37.8442151161043441,127.4593216445802142,30.6898105155581469,13.6207841974120338,3.5029497071482916,7.8368196733862510,0.5764910122402820,0.9020855162295752,-0.4946003664229103,-0.0311755510046925
4,306.2195835462658806,287.5649343650649712,20.8640870191364662,78.0421311552049701,1.0937818259479379,6.4721965916158490,105.9186459858127165,4.1432174117286058,94.5091389905803254,1.0000000000000000,0.9580201175343717,1.0000000000000007,1.0000000000000000,226.9542659710423322,87.3174976489805914,19.1390447658700680,54.5072532609341849,318.8387171281847827,203.9973467776456744,41.3242579776107988,128.6553040893456341,33.6285460063829547,14.9250568944854916,4.1418348151884272,8.7770549820373862,0.6449396805653538,0.9607885804395753,-0.4878760275567348,-0.0240704075002565
5,320.8751051783168577,297.4138133199041363,23.1154631778310744,75.6493052075184664,1.2352316146984414,7.6185247108414549,107.5020918651699731,2.7460087242123565,92.9773601729656605,1.0000000000000000,1.0017103984502025,1.0000000000000000,1.0000000000000000,240.2322857844383748,92.4260311188350698,22.0576577738727337,56.9047200428550397,330.4752063656491714,211.4425308243968118,47.3403610867152835,130.3927699822284580,38.3922326670048690,17.0392813519981274,4.9428431897382570,10.2263715463161038,0.7111513721413047,1.0238017524013050,-0.4824839996436098,-0.0172375102005587
6,330.7874462327414449,306.9753872117159972,23.5855319885847905,75.1931096223478193,1.2213583891085233,8.8135344186656326,107.3811538844298923,2.7957861747102575,93.0862461139809341,1.0000000000000000,0.9904238616575830,1.0000000000000000,1.0000000000000000,248.1183745832247780,95.4600941147496087,23.2386336028513583,57.6163523892260798,339.8705221156805578,217.4537815984804467,49.5368323223183609,131.4996495396030127,40.3475808969823717,17.9071060737510841,5.3912544524933992,10.5623008844490869,0.7050347548765099,1.0187276570864687,-0.4848365146429926,-0.0175675082114630
7,342.1853713510000716,316.2376203316511010,24.5047532676127773,74.2565699461018909,1.2386767863234849,10.0133194763201328,107.8743416299868727,3.8962651177776308,92.6310686599093884,1.0000000000000000,0.9814133934028624,1.0000000000000000,1.0000000000000000,257.6629767555980379,99.1322470667148110,24.9549038908563254,58.7778286598613775,349.9776634629138812,223.9204680690363602,52.9359944738258150,132.7931763491141055,43.1973003511893339,19.1718715792025556,5.9519195867827381,11.1991081425636754,0.7152912408949069,1.0258194107480829,-0.4861946048966440,-0.0162392604228608
8,354.5834738829079242,328.6969850514882410,25.7999958079835316,72.9407085447882935,1.2592956472630226,11.2472753571665081,107.6571265920736948,4.0339655780612382,92.7722001627714832,1.0000000000000000,0.9720264311744256,1.0000000000000000,1.0000000000000000,268.3671290847734667,103.2505208160011847,27.1387684639176960,60.2224265885651562,360.3820156591256136,230.5773140822326184,57.4994433948581616,134.0866820710629383,46.8541457834295016,20.7948565908103866,6.5735910928050414,12.0980792766804832,0.7171417523614646,1.0405596163595145,-0.4844734421524511,-0.0139322793055057
9,370.4809004019347753,342.6413207503038620,27.6799424851044229,71.0185978964268401,1.3014596185026017,12.4815750240241847,108.0898023676024451,3.1223142819960970,92.3112785633113191,1.0000000000000000,0.9863040732594839,1.0000000000000000,1.0000000000000000,282.4913724136700353,108.6846270152735769,30.1835792394039544,62.3929034788248202,373.1502653387927353,238.7466138495486234,64.3140775718374726,135.8508092596736958,52.0364216165272069,23.0948597380537919,7.2727577019286240,13.4757414029067295,0.7316730245816401,1.0631736040530699,-0.4829170348681890,-0.0104699752639194
