period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-0,tbsf0-0,tbsm1-0,tbsf1-0
0,276.8582243930504774,257.5266943226456533,15.4432272051067372,83.4785140796716121,1.0782587152201502,2.7958266691294433,106.4242719904969618,2.7583505670843778,1.0000000000000000,0.9893544320390286,1.0000000000000000,1.0000000000000000,201.1742064268278796,77.3989782547263161,13.0152405590473759,49.2199673758728551,295.2748570938741182,188.9208687070523638,29.5423640347453222,123.8653155846309062,23.7889364824086798,10.5580309773684444,1.9294426232682791,5.5783687209717829,0.6583728389342186,0.9425744100632442,-0.4899539359496616,-0.0327345978276510
1,282.2942071434903824,261.7098373193884413,15.6843637890736058,83.1646965204112689,1.1509396905146965,3.9034291909925756,106.8028645279944584,1.6504281542088384,1.0000000000000000,1.0005126366818269,1.0000000000000000,1.0000000000000000,205.5228064311646392,79.0720416317481920,13.6763316296273203,49.8343900060249467,300.6603675952613912,192.3665915578455099,29.9315584963023902,124.8322243245224286,24.5128435905652218,10.8793161965839325,2.3392208456717665,5.7637278900723858,0.6965835192831408,0.9719913220784143,-0.4871986056176120,-0.0304365452292466
2,285.6808325512349711,266.7772157951217764,15.4041361651792013,83.4342796594515619,1.1615841753691403,5.0769524202308389,106.0296349798270796,5.5706794919036184,1.0000000000000000,0.9330496573521045,1.0000000000000000,1.0000000000000000,207.8546349242921565,79.9691802164552428,13.8803087771172553,49.9687267796475325,304.6063314589087554,194.8912728949018742,29.0936703130402350,125.6863842727517238,24.4275266233838089,10.8414507298758007,2.7684407469207235,5.6710440563408850,0.7002484814158617,0.9772633406447302,-0.4855784094267746,-0.0303492372646772
3,291.4516004316014346,265.6993833853310889,17.1806301823714129,81.3811469394608764,1.4382228781664950,6.4525991947586574,108.6617786978224274,7.6025576389431748,1.0000000000000000,0.9098318402046272,1.0000000000000000,1.0000000000000000,214.2427754279187866,82.4269284373146149,15.8559294561060682,51.8858065567800608,307.8364519262815975,196.9579478930054393,32.0485667156368876,127.0051967791700065,27.2795643784169073,12.1072451460545487,3.6033954231370688,6.6404772322787569,0.8344996060022183,1.0928705645533219,-0.4714182133691349,-0.0177290790199108
4,302.1916846391716831,264.8443045761987378,20.2833230287290398,77.9068138514031148,1.8098631199020327,8.1777503278353691,113.1846979801429711,8.8002915223038372,1.0000000000000000,0.9065993519474043,1.0000000000000000,1.0000000000000000,225.7944755689233318,86.8712844206147565,19.2540682456054100,55.0095202506715353,314.1349251463880705,200.9877967056739863,38.0620175227376976,128.7349258496543882,32.4870462853846789,14.4184352796911792,4.7829497967428392,8.4201138859987701,1.0191854177593742,1.2474346055482732,-0.4558604962085185,-0.0008964071970955
5,320.6489892150087258,270.9699561403684243,24.4456424648156840,73.3918210159944522,2.1625365191973192,10.2103543179255691,117.7357038721109888,1.8470245069299729,1.0000000000000000,1.0187509519696931,1.0000000000000000,1.0000000000000000,244.3748220334814221,94.0198143316731461,24.2230742504467145,59.3060327280901234,326.4697848506653486,208.8798076735120617,47.7001522196575181,131.1788033885516427,40.3321545641475652,17.9002595423789259,6.2409404385024949,11.0581493516023848,1.1915654255727581,1.3995443339225435,-0.4435058462046106,0.0149326059066287
6,330.2993342318311534,281.3725361756028178,24.4128674987315613,73.4923416052053398,2.0947908960680519,12.2449042902583454,116.6841192053672245,4.5140482807148663,1.0000000000000000,0.9674663097957014,1.0000000000000000,1.0000000000000000,251.7130795990678962,96.8431068791349645,25.0704623169425673,59.4782398631343199,336.1520084621951128,215.0746259987465692,48.8092656655310932,132.2330441834380679,41.7439719645755645,18.5268538358703232,6.7975313988695349,11.0252460673240087,1.1624533567956745,1.3713639681227563,-0.4505162147034404,0.0114897858530618
7,344.4094704435725589,289.4623788598643728,26.2744354153181519,71.5390805319154737,2.1864840527724572,14.3613534207241749,118.3642499784699140,4.9611929607040750,1.0000000000000000,0.9570496835969372,1.0000000000000000,1.0000000000000000,264.7001551829680466,101.8397036027630804,28.0470906876572563,61.5827237481928620,347.1481472657086442,222.1101051303905365,54.2541154905493599,133.9614160931305094,46.5030877156821703,20.6390496274821906,7.8842837908360286,12.2769181257898747,1.2120704027014413,1.4093757756534451,-0.4509941083767190,0.0160319827942899
8,360.5575771431436465,301.1631779406889109,28.6603869225462269,69.0606184905885669,2.2789945868696289,16.5641049921358210,119.2924165768006617,7.1529636802645902,1.0000000000000000,0.9169936126692199,1.0000000000000000,1.0000000000000000,279.9326360129753652,107.7001887686687525,31.8213088877187360,64.1895365541684271,359.0288083489094220,229.7115136442850485,61.5868906834079652,135.7768328509724540,52.6165012303714903,23.3523112864589422,9.0990764278561258,13.9526847338093880,1.2528745749482058,1.4537638198895759,-0.4490020468730049,0.0213582389048526
9,384.5030151780766801,314.3271234788610400,32.9423094147343960,64.6014280753988857,2.4562625098722504,18.8538951459033441,122.4019376149771148,7.1811737853238800,1.0000000000000000,0.9269647472689380,1.0000000000000000,1.0000000000000000,303.8215028327896334,116.8910980624473126,38.3202093745432251,69.1229717705199675,374.7974122672248427,239.8004808522125870,75.4632949681783174,138.6149470295929120,63.2942192930407117,28.0913074226096029,10.6846851552472835,17.2812015208184420,1.3371880053407712,1.5325808116903425,-0.4449912686320408,0.0314849614731771
10,416.8317688311504980,330.8245181556770831,37.4261187365827794,60.0183491067529928,2.5555321566713540,20.9597876579046947,126.7333034229687456,3.8968834674464103,1.0000000000000000,1.0100717208309997,1.0000000000000000,1.0000000000000000,335.1163322388420625,128.9313484688304641,46.0861426070837084,74.9405490072116720,397.4552049585473696,254.2972447160863112,93.9576467756476035,142.2469627614661647,76.6119621186808928,34.0020021443224607,11.9733718135489617,21.2735028122817162,1.3962735199904175,1.5710284277188735,-0.4498435543789667,0.0380737633410303
