period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-1,tbsf0-1,tbsm1-1,tbsf1-1
0,99.7444544322727324,99.3931284250236757,17.6773080370987294,82.9262614929801032,-0.6035695300788657,-7.2439615435097791,104.1416318957816571,2.0162140507080428,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,50.7894859269276395,17.4149032613678081,2.9729148327059916,11.4927701792540855,120.7429130040992078,78.9206435375132145,13.9178175002882210,52.0556851948613257,7.5587022246385418,3.4143004062559430,0.7073110163576904,2.2031227842284720,-0.5504190766628739,-1.7701401345579795,1.5415079701868450,0.1754817109551427
1,101.1586889148772315,100.9553673460673622,18.0013996266230762,82.9834169509334032,-0.9848165775569907,-7.8818686523815673,102.2128492454123148,2.2481735798998592,1.0000000000000000,1.0000000000000000,0.9999999999999999,1.0000000000000000,51.1726060455338185,17.5462690289325671,3.0748034626112091,11.3862124190426339,122.5302446519975490,80.0888890300028038,14.3943784537222808,52.0822498518348382,7.8033292096873348,3.5247995355523352,0.7518917480581949,2.2528608825144785,-0.7482454108312279,-1.9027835338644687,1.5093568607539132,0.1568555063847929
2,102.6189233106097021,102.6653454423922653,18.5019852311441788,83.0723607915297890,-1.5743460226746524,-8.9150214177071074,99.2713936317651928,2.4041609184443979,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,51.3993502432023774,17.6240159916239314,3.2305973615870638,11.2199746953203334,124.4196113796151195,81.3238272496636228,15.0416328197546676,52.1224405204604579,8.1287255765938671,3.6717825644778213,0.8017490257924412,2.3318812222860221,-1.0454404232782273,-2.1085153013234099,1.4545594791627754,0.1250502227642095
3,104.1738672397080734,104.5524569258780048,19.1213175487191727,83.1382107833484696,-2.2595283320670951,-10.5476699604080473,95.7762719404161942,1.8864429892589296,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,51.5936025225343968,17.6906219946406651,3.4397400634715587,11.0318082052624682,126.4419424944879182,82.6456743797413935,15.8199176543508369,52.1757850611532703,8.5186453648438025,3.8479111182776298,0.8515326842511712,2.4319300553786540,-1.3854528168665323,-2.3501989952890461,1.3904203142172169,0.0857031658712659
4,105.9455600780573690,106.3278583584360604,19.1996505290053037,83.0388485865670845,-2.2384991148287403,-12.8309174486577611,95.7658703956367816,3.3558891787081269,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,52.5141393831878531,18.0062593767529293,3.5479272567884865,11.0594530203510217,128.5386251598488343,84.0161195771221685,16.1183685668181980,52.1927047770112296,8.7094080544757961,3.9340794986890089,0.8790479622561923,2.4398494335941980,-1.3810778909205166,-2.3468611075270469,1.4023888601467294,0.0870510234720942
5,109.3448085364303068,109.9550052378639151,20.0419854623795786,82.4810241678048754,-2.5230096303030498,-15.0613440290096872,94.2677476134620491,2.3953525446893220,1.0000000000000000,1.0000000000000000,0.9999999999999997,1.0000000000000000,54.2336021328350952,18.5958356817723178,3.8616565235204536,11.1194346561039659,132.4168427461861484,86.5510213786204474,17.3343673367853661,52.2869098063583380,9.3383442724633579,4.2181728682603570,0.9417079001274525,2.5818753533031185,-1.5202253798694045,-2.4670657663807352,1.3925072077612155,0.0717743081858744
6,111.3158157779400597,112.2469300522219555,20.5555619404031340,82.3682629891627016,-2.9238249296795993,-17.6379126323023385,91.5482962183774163,2.0229810787617764,1.0000000000000000,1.0000000000000000,0.9999999999999999,1.0000000000000000,54.8610887470489530,18.8109908164405333,4.1106403327662591,11.0154341938405587,134.8562742300657931,88.1454959343810458,18.1336284802432388,52.3636275846804082,9.7474256849422574,4.4029568154656928,0.9721072658915553,2.6693606733419015,-1.7363929468590908,-2.6176708746824406,1.3810515813903008,0.0491873104716311
7,113.4688217217517803,114.4232622534455430,20.6569029182029027,82.1698406383987106,-2.8267435567034500,-20.5787014921233826,91.4584187734676135,2.6992418429169884,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,56.0662766436571829,19.2242304909156800,4.2776104599792610,11.0661742617506942,137.3525514393545279,89.7771263042596246,18.5312496537343740,52.4034569242476493,9.9910419346389556,4.5129993909753745,0.9800406757104979,2.6849951255201066,-1.7037607884100783,-2.5914567240945776,1.4136917124128201,0.0547822433883856
8,117.3253284640367724,117.9949074378519498,20.7848346651642473,81.4914838941256079,-2.2763185593848565,-23.3096204867479138,94.4947582718436365,2.8131142337775028,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,58.9083425345165637,20.1987294772404908,4.4592774937882904,11.3885178181030540,141.4667498926058045,92.4662712113450596,19.1253618787031776,52.4269913757752661,10.3618186117329589,4.6804809138095171,0.9959839844406411,2.7047957966497140,-1.4110326089265219,-2.4129887820504412,1.4643861257580966,0.0833167058340098
9,121.2215086487843649,121.7186388340133050,21.0305259042560984,80.8517089584779427,-1.8822348628225818,-25.5009319324662478,96.5909958447946053,2.0242563273704217,1.0000000000000000,1.0000000000000000,0.9999999999999999,1.0000000000000000,61.6558179278521408,21.1407948932355758,4.6549444966193398,11.6560658847322749,145.6692436618064903,95.2131281860185652,19.8948862291973754,52.4651520349008464,10.7949268408047399,4.8761178840889343,1.0142205780441356,2.7476913653485346,-1.1949355361327123,-2.2903208535316999,1.5009416003887817,0.1020799264530485
10,123.5775645874498139,124.0881708338322937,21.0724387915897893,80.6524837883136172,-1.7249225799841856,-27.4039908538381383,96.4981933266242038,1.0979156491593978,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,63.0563544908977605,21.6210165043489262,4.7738704522752524,11.7113138918762356,148.3788446236363541,96.9841923944016884,20.3288823782861954,52.5092323865025676,11.0276019816842936,4.9812183106464456,1.0124924695628985,2.7576652390742624,-1.1368265386571672,-2.2435011159713820,1.5437508173656493,0.1116542572787143
11,124.3234255898202321,124.9220270178460339,20.7764769081714107,80.8740338012962781,-1.6505107095404892,-29.2521537080820835,95.2240465962831450,1.6713441550789243,1.0000000000000000,1.0000000000000000,0.9999999999999999,1.0000000000000000,63.2162791609914336,21.6758521186096118,4.7914838533043103,11.6069126450549867,149.4782523715680327,97.7027933028786180,20.2219340209470957,52.5399787823480722,10.9810978694020918,4.9602121901856959,0.9896277535739888,2.7097918540542785,-1.1540332404892786,-2.2169294983267998,1.6003602639734897,0.1200917653020995
12,126.6633208966461979,127.1012520229329965,20.5217378563424333,80.6386153311409970,-1.1603531875505246,-30.8804545904478580,96.6060632493352074,1.6961959275688887,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,64.9173572489442279,22.2591246168654813,4.8410161762942865,11.7478142822927047,152.1006875132574407,99.4168837109052248,20.2959367149352978,52.5679978663859799,11.0595802341338914,4.9956630337067240,0.9803478092038143,2.6700214171819741,-0.9412877240814045,-2.0553043488637823,1.6841281305377029,0.1521107548569591
13,128.9176524887367066,129.2004223646926278,20.3040685315523675,80.4800997889432352,-0.7841683205559941,-32.0548729321419188,97.8838499685179215,1.9296378710045747,1.0000000000000000,1.0000000000000000,1.0000000000000004,1.0000000000000000,66.5210866979710147,22.8090178221715973,4.8871159966012883,11.8611557458886594,154.6439202344518833,101.0792053994296111,20.3878482701777273,52.5763546424125749,11.1419600603427362,5.0328743784234558,0.9755955162217979,2.6355660755406971,-0.7601187893568992,-1.9283162787809824,1.7315879666764742,0.1726787809054134
14,131.0953655076717723,131.4387675053241651,20.3511327625970502,80.3819387256368145,-0.7330714882897010,-32.9026900122752011,97.3041985061348811,2.4777713027959392,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,67.7181375836096606,23.2194674455901975,5.0144363669519825,11.8661167118993749,157.2054166644209090,102.7534647132274728,20.7768317160003804,52.6123234914020088,11.3510807549732551,5.1273351537541911,0.9817941772730057,2.6487756252828878,-0.7493945323738481,-1.9144053960569971,1.7559119111175259,0.1748165290236184
15,135.0391962349631285,135.2564830705254337,20.4076547848363425,79.7569559313931222,-0.1646107162816503,-33.4962603529911220,98.8912595113100252,1.6842252863147555,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,70.5898705166568163,24.2041387866912387,5.1686723957829148,12.1192736870404918,161.4896438281120084,105.5537447164763307,21.3898437448045051,52.6866236330806643,11.6944193460679209,5.2824227675031130,0.9937387845858309,2.6680793455625209,-0.5008022828795748,-1.7398265622855895,1.8613668867691429,0.2146512421143712
16,135.5810397081809242,136.4614855870864574,20.7583238134360499,80.1149294295326087,-0.8732532430183847,-33.9255525940614717,93.1741206526635750,1.4067483448885643,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,69.6778445395787429,23.8914196505786904,5.4028447388425791,11.7479993191137133,162.6611531738072642,106.3194730658440790,22.0198662002015375,52.7870672615438394,11.9566365014984690,5.4008674573065418,0.9926824245531831,2.7398576752068391,-0.9366093326369420,-1.9843710965207746,1.8678433052809429,0.1798838808583893
17,138.6026763221157978,138.9006358395262168,20.0639983048789823,79.7224839731638895,0.2135177219133984,-34.6686602612649182,97.7703032253467939,1.5512412724997260,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,72.5764101736644136,24.8852914961601108,5.3340810956797160,12.0998872753734137,165.8122387877178596,108.3791028884505607,21.5860455656678276,52.7691288365820554,11.8253111299000455,5.3415471856151067,0.9566487667124824,2.6241910001720314,-0.4044946101150734,-1.6173368358622799,1.9881804764500508,0.2471686914407009
18,141.4552230732623741,141.3596162021976284,19.5500255228748756,79.4142117640565459,1.0357627130299396,-34.3809730194726839,101.0572299311397586,1.6999375978584474,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,75.1126478514860594,25.7549268744477828,5.2848855242648991,12.3606796928670679,168.8813194258441683,110.3851321700302321,21.3659383355998500,52.7631237766627237,11.7683819638690323,5.3158320206395748,0.9396621111328910,2.5418642262049866,0.0021761523059176,-1.3418372873797371,2.0788442357209167,0.2965796123828424
