period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-1,tbsf0-1,tbsm1-1,tbsf1-1
0,98.5976079789120661,98.1433541602094550,15.8464289796867455,85.0933521628509766,-0.9397811425369370,-7.3362073892917241,103.3538445127273206,3.5646084078127860,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,48.9378531273676955,16.7800079579125736,2.2841868373471064,10.8639307614418072,120.4487500707801644,78.7283711512934730,12.8452095013538035,51.8636513372204320,6.8456927924601043,3.0922307808623359,0.6610016631058949,1.8960159590637462,-0.7698507425001492,-1.8200225650433377,1.4731430803719459,0.1769490846346039
1,100.4034146035943991,100.6642169990059159,17.1010013322217418,85.4863615233212926,-2.5873628555426857,-8.3563577420147706,95.4793303727196871,3.2719528222621808,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,48.3133239961850620,16.5658668969240956,2.5685465939115177,10.5191259794686918,123.1134466725797267,80.4700847261440799,14.1900374783605336,52.5965906342626326,7.4841908209172026,3.3806432640064168,0.7707599522916480,2.1198964623259613,-1.5950611330598583,-2.3984061165524317,1.3131876553661399,0.0929167387034640
2,102.7074023733832462,103.4984687168912956,18.0086710341282021,85.5683967136653507,-3.5770677477932304,-10.9923002246418466,90.8756212166363184,3.6976945256081084,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,48.5312393577009331,16.6405865927569074,2.8406540080690954,10.4213203635400955,126.1974956464053861,82.4858976932145822,15.3062957525207644,53.4123687597320185,8.0425228888731883,3.6328444157112658,0.8646034900614268,2.2974876879559272,-2.0798153216372159,-2.7562424184495109,1.2189995295810727,0.0399904627124247
3,105.2741436963314783,106.8952979370711347,19.2583872223055153,85.5400514814261328,-4.7984387037304650,-14.6280061917339417,84.7595472596073165,2.7279698077907311,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,48.6670310599494300,16.6871473979156022,3.2420969418706087,10.2670386141809242,129.6887045866747314,84.7678407856478486,16.8485355266883623,54.3340196083768134,8.7927909371515884,3.9717439286048686,0.9658187473891310,2.5466780126513315,-2.6689476516944008,-3.2094592535383137,1.1092272246210850,-0.0292590231188351
4,108.3484983537286581,109.9851570102694041,19.4749316666533261,85.2818495715844165,-4.7567812374263836,-19.3957491570024665,85.2052305905704372,4.3784066746583639,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,50.2113910285275153,17.2166837569213023,3.4627205321327144,10.5165751417228144,133.3328212113715949,87.1497282355312564,17.4109789359939633,55.1477162482859598,9.1543319200981781,4.1350536461022722,1.0159119153220377,2.6125108802118686,-2.6548271175161506,-3.2029766210636099,1.1277987456135175,-0.0267762444601402
5,113.0973851792733029,115.2127254885247964,20.6489411806686078,84.5291489955475868,-5.1780901763537663,-24.0661671683787404,83.0889555972615028,3.5773468687068100,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,52.3782713470420163,17.9596723979204214,3.9462637781467893,10.7316077790240954,138.9214788328380337,90.8026172128080020,19.2001034146743521,56.0413042315130241,10.0753803551488765,4.5510954417063294,1.1136408322577591,2.8600681676837398,-2.8595270742148302,-3.3865349311082200,1.1173799328015050,-0.0494081038322205
6,116.4353076345344249,119.3785561604900494,21.6952062941638495,84.1544129152420197,-5.8496192095388730,-29.2334120367247046,78.7448621897859624,2.8515139227853092,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,53.3660502146432094,18.2983659898903674,4.4604007402457917,10.7238617826504044,143.1745077088871483,93.5825052205623535,20.8361365838070469,56.9257648356549737,10.8898166777924494,4.9189800579579668,1.1750167849265669,3.0974275775371023,-3.2018741287399446,-3.6577824620825488,1.0994563252846632,-0.0894189440010420
7,120.1681330624315507,123.1262711222209560,21.9093680295482542,83.7285947555041332,-5.6379627851740546,-34.9851220883721652,79.2471016326636004,3.1534869161877310,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,55.4623452192893325,19.0171520545046917,4.8007521435336100,10.9994955918626260,147.4645458074822955,96.3865833988823084,21.5596210357506060,57.6434675881005205,11.3426483940660940,5.1235262177205456,1.1789372604813650,3.1703765752190418,-3.1200865918571017,-3.5943375561118871,1.1540781826147388,-0.0776168198198036
8,125.8779513290916441,127.9927883998708609,21.7167662331938232,82.8805464541701014,-4.5973126874731411,-40.3108577932817909,85.1229986890884618,3.3052380383984614,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,59.7817375792727788,20.4982026838657916,5.0157786002259952,11.6981044272648997,153.4141373501877013,100.2753879808929725,21.9721714221570785,58.2441348356069568,11.7174745847984187,5.2928369244078892,1.1725667781398357,3.1559747102724311,-2.6000381934912240,-3.2255668977046881,1.2473414190518266,-0.0190490153290562
9,131.6394785063999109,133.1810799528510927,21.7245733826501031,82.0472709148642139,-3.7718442976129536,-44.5851953368084182,89.6392495976120358,2.6940031073781956,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,64.0195769575789484,21.9512900987807100,5.2491265546931887,12.3275903202519128,159.5326907535762189,104.2746303388910007,22.6982506652587048,58.9046845009863489,12.1992256910808408,5.5104461050596614,1.1819009838566976,3.1887691906662026,-2.1723557886732263,-2.9422419872380434,1.3189122533839468,0.0238412249143694
