period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-1,tbsf0-1,tbsm1-1,tbsf1-1
0,98.0642616950706554,98.4093952555599287,16.7381369196752772,86.0835489755998680,-2.8216858952757344,-7.3163746015329796,93.9635274262711278,2.3940949372173170,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,46.7572943820918852,16.0323292029170510,2.3352531258620659,10.1389678487122925,120.5683615697980144,78.8065522738298654,13.8697170679420534,51.9417063579082594,7.1852235139836020,3.2455983624896820,0.6462930090383313,2.0403037695748356,-1.7228901813921653,-2.4666148119936846,1.2821562125020469,0.0856628856080683
1,100.2087650737449991,100.6360163001084658,16.9046874719610720,86.0883984056724927,-2.9930858776322991,-10.1510955632026327,93.6304474996442195,2.3917219882171548,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,47.5778561781992337,16.3136867326968016,2.4471913304398241,10.2712340411383121,123.2720396322194034,80.5737451242898288,14.2387137610182180,52.5668720516864028,7.4082673710768860,3.3463482940591729,0.6981323792411843,2.0890330424886878,-1.8115061209031718,-2.5277201953067068,1.2669884252789196,0.0791520132986599
2,102.5864211486132689,102.9870261703834444,16.9501794107193753,86.0587839872904965,-3.0089633980106787,-13.1513189744184018,94.3132549867079462,3.0134123078106478,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,48.6808550689601134,16.6918874297393494,2.5348916276531193,10.4789797086584642,126.1925595300361351,82.4826713218214707,14.5247858872908058,53.2776786887264464,7.6038573931992373,3.4346972026608591,0.7534081692967333,2.1197432397594791,-1.8139211042740813,-2.5314993821116381,1.2578405352027879,0.0786165531722528
3,105.0080293271587522,105.7001499254697308,17.4697977735664267,86.1454755459984227,-3.6152733195644577,-16.2199545458444163,92.0286794477108998,3.3027035821910466,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,49.2746209191692870,16.8954802531865802,2.7181784639811624,10.5075111753340362,129.3383585971034506,84.5388457227507502,15.2981575629754332,54.0881542172568928,8.0108646859647354,3.6185442604942328,0.8344742268126309,2.2329118848984715,-2.0976888954881563,-2.7471582143123046,1.1850080505762060,0.0445657396597981
4,107.5528686016516673,108.7424499093220760,18.2120514831549229,86.1959045620683497,-4.4079560444726740,-19.9170664297096280,88.3511656474481413,4.5946788535785377,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,49.7084949510155738,17.0442487267067406,2.9751959120571341,10.4615975319011714,132.7159298853771361,86.7465123512288727,16.3484911785319049,54.9366599465483034,8.5436881624277810,3.8592230646175785,0.9273943516204858,2.3887777321275956,-2.4822454655543340,-3.0381507027495740,1.1102569070568278,0.0021832167744044
5,111.9254212209094703,113.7332715814190465,19.4898570517465046,85.6623945066320260,-5.1522515585015176,-24.3262083578181070,84.9360021736684274,2.7648937941503249,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,51.2823085870398927,17.5838842776988784,3.3991684191218270,10.5474000869363813,138.0650087210402717,90.2428065314852006,18.1944307989334071,55.8173976135983381,9.4599886041513717,4.2731201698946641,1.0462414752312008,2.6463044599933192,-2.8389092005912131,-3.3344197481210016,1.0566543811063112,-0.0355769908956143
6,115.1116643501083985,116.8829709580420655,19.5703659636420859,85.4724270312654113,-5.0427929950190657,-29.4771748796008239,85.7014653587925608,3.0305152986707995,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,52.8835349475667584,18.1329192139501849,3.5677332612889763,10.7848592219492101,141.8675595405458125,92.7282506067766974,18.6859683606983289,56.5424461616421539,9.7826705091463868,4.4188770639451640,1.0968298853554506,2.6838039129277216,-2.7983755589585066,-3.3012863599185343,1.0845283010888216,-0.0276593772308464
7,118.2261435992143959,120.2551656321130480,19.9475715213041518,85.3154445987545529,-5.2630161201629182,-34.5687563852971209,84.4849690833082576,4.1445318834732792,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,54.1109294739903959,18.5537731869939932,3.8158581870773971,10.8864999509044296,145.7257329395387728,95.2500510168554371,19.5279515255191853,57.2494912413860462,10.2521667183510434,4.6309506514715917,1.1680912830136554,2.7768225656574668,-2.9175360598222984,-3.3924635385406710,1.0855735533380488,-0.0385900751379975
8,123.1609546311755281,125.4581229042043446,20.7794223910139877,84.6913214427909935,-5.4707438339035122,-39.7622599772507783,83.8276253173392831,4.4308303434964724,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,56.5308600347858174,19.3835287130907119,4.2082975789903321,11.1260141150353018,151.4821332298523089,99.0125808752799088,21.1025081311198015,57.9643539939254424,11.0826419302985766,5.0060801074640917,1.2691125018603782,2.9566738195578735,-3.0075349432782463,-3.4897711032026586,1.0778328274638702,-0.0512706148864778
9,128.4378079068293346,131.3014805308969528,21.8948677920985979,83.9852633846618772,-5.8801311768562563,-45.1349870818046597,81.6980531097115517,3.5180413737527116,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,58.9209817009151564,20.2030632454627685,4.7183924436035607,11.3070782005502828,157.7102124184664831,103.0834120763735626,23.1826900143876813,58.7584307518525222,12.1268179635819138,5.4777392029925576,1.3713352294910000,3.2036944010746806,-3.2011402885155968,-3.6688978379353889,1.0652798801412191,-0.0753729305464892
