period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-0,tbsf0-0,tbsm1-0,tbsf1-0
0,289.0990817110799753,392.8519286667285542,26.4407826696481933,75.7300927808357756,-2.1708754504839165,1.8327515978948115,74.5824525781911944,2.4434163251031871,134.8895087384639169,1.0000000000000000,1.0000000000000000,1.7634182874504165,1.0000000000000000,209.5339465792241924,80.6152720220181465,17.7959448409316785,52.3518913495101259,299.6627485410713803,191.7283013213816218,58.5837934713284199,126.6648795300156536,39.1514121301610771,17.3762211851559663,0.8320341313051524,11.8670888284424176,-1.1479758649511114,-0.2869209510397462,-0.6275498944471035,-0.1084287400459553
1,295.1007853249996060,387.1486511753028026,24.4464204933239628,77.4959734432443241,-1.9423939365682410,-0.3514884032899232,77.1425932080561836,2.7875073974373832,130.2326720074786692,1.0000000000000000,0.9999999999999999,1.9750222805512476,1.0000000000000000,212.4421933435332619,81.7341795204901587,16.7042292397636380,51.8630095608938220,308.6707693056280277,197.4917554973332585,55.4878896945562872,126.6080393068269672,36.9104970132081789,16.3816558652671311,0.5106749443104595,10.8493886962127384,-1.0164529414643242,-0.2040888796817942,-0.6150842207559599,-0.1067678946661627
2,297.1683783376389556,376.7270178055634915,21.2449425809122836,80.4026231634864246,-1.6475657443976313,-2.4230504421168777,79.5929856992943741,3.1980905070526644,126.1629735612597187,1.0000000000000000,0.9999999999999999,2.4529037178425304,1.0000000000000000,211.7810182890987392,81.4798016130552014,14.5607320757150642,50.5795429102774179,315.0917476297996700,201.5999847414033184,48.9834019983315230,126.3037274722855727,32.6389423016405331,14.4858499304534813,0.3039679887217711,9.1032106039964891,-0.8520664533679058,-0.0913787008155368,-0.5988556148232709,-0.1052649753909181
3,293.2978779081168454,358.1130991361879410,15.8812241294932797,85.3297921988734345,-1.2110163283680448,-4.4191462786426516,82.2052888065794889,2.3514959165272797,122.2642009869882287,1.0000000000000000,1.0000000000000000,1.0848927786587628,0.9999999999999999,205.7009316171157991,79.1405728199105596,11.1898339661544206,47.9651919170533745,317.7957197968801779,203.3300229024314660,36.5294536808816872,125.3898580173441815,25.0305434052095634,11.1090822764603807,0.2418947875652333,6.2147408968351057,-0.6152127103022955,0.0825000824810690,-0.5745909795304445,-0.1037127210163737
4,296.2537060840483036,362.7532471405196475,15.3078862753746954,85.9067410181952482,-1.2146272934017464,-5.6888440815427330,82.0334151851549080,3.8051963448739512,122.4599231671078741,1.0000000000000000,1.0000000000000000,1.6233539475990360,1.0000000000000000,207.0418178707394929,79.6564601586983514,10.9647067246725971,47.9435781303850774,322.1487888844905569,206.1151756975836520,35.4218907619470471,125.7501819174334372,24.3017214400003141,10.7856157401839052,0.2413173859439798,6.0190983511644678,-0.6295278539952609,0.0862974371221991,-0.5680237514039440,-0.1033731251247403
5,300.8943059316059134,364.4586740093396884,13.3192733259513290,87.6954512912074762,-1.0147246171343660,-7.1326290909139756,82.8326695472112391,3.1564944345952917,121.2773503226196823,1.0000000000000000,1.0000000000000000,2.0622241231341838,1.0000000000000000,209.0439324308262030,80.4267458928985093,9.9093393309348698,47.3647976917660785,329.8920812705213166,211.0694394592169658,31.3353370965961489,126.0751151257246079,21.8037455186492259,9.6769614219108728,0.2593840602550572,5.0867248953359008,-0.5340789787793336,0.1748322591180211,-0.5535018289853849,-0.1019760684876687
6,299.3950532840297569,355.4694663812825866,9.3476494243224799,91.3417555224754381,-0.6894049467726245,-8.6170603534936081,84.2854252974632914,2.6797372122603358,119.3251265520960231,1.0000000000000000,1.0000000000000000,1.0976664127854499,1.0000000000000000,205.6307166370616812,79.1135585827929333,7.5066001642573186,45.5983964657249956,333.5036647765620614,213.3801796965828714,21.8530289226328378,125.8422671738810834,16.0516777556247519,7.1240726170311968,0.4084664495514727,3.2211304543976085,-0.3643530549602403,0.3090983405613824,-0.5334087639669387,-0.1007414684068279
7,300.7907984477703280,359.7843008254181996,8.3239505907699982,92.3547331118558503,-0.6786837026028324,-9.4412523141224032,83.6831857238495758,3.1133618457130252,120.2432428057294374,1.0000000000000000,0.9999999999999999,0.1970788442747492,1.0000000000000000,205.7048970546806572,79.1420984668675231,7.0305211983567268,45.2862501209719497,336.6949783944739352,215.4220255447069405,19.1911133351810541,126.4366503879071217,14.5859512553787294,6.4735523297795643,0.6371994604415443,2.7985145994552219,-0.3715672256944095,0.3200480555430557,-0.5262636526559449,-0.1009008797955336
8,305.6326897870501398,379.8529718759758680,10.1637688732676903,90.8083012379667309,-0.9720701112140210,-9.8836963335749388,80.7558071896879142,3.2600196146967519,124.5652964562785883,1.0000000000000000,1.0000000000000000,0.3846364474512001,1.0000000000000000,209.5327580753450150,80.6148147616787867,8.6278127524233472,46.3362895760009508,340.1582730417214862,217.6378885537896508,23.3065905932039428,127.6508345649049403,17.4870333187311111,7.7611136428047311,0.8437499070514809,3.6890012485999435,-0.5603859389344165,0.2199040822467737,-0.5293880564158491,-0.1022001981105291
9,311.9427355388875185,399.7721555890172453,11.7190748776373752,89.4860778198043079,-1.2051526974247873,-10.6511298926524454,78.5251472114083526,2.8374988181449012,128.0673866595054449,1.0000000000000000,1.0000000000000000,0.8078730035516576,1.0000000000000000,214.3632736955153177,82.4732884700399325,10.1138702325044161,47.3862231921184929,345.5509679431268069,221.0882080814075721,26.8984225891909432,129.0411032339439146,20.0557065845075577,8.9011449313350344,1.0962895459996058,4.5151511650120391,-0.7130980371517293,0.1423234646200665,-0.5313065380956867,-0.1030715867974378
