period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-0,tbsf0-0,tbsm1-0,tbsf1-0
0,277.1883747546586392,349.0681178629894816,18.0649201273656779,83.2061473611725262,-1.2710674885373827,2.0626346639958695,79.5104236024126436,2.7120408856605493,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,197.1272577405233335,75.8419710273449681,12.7477043148210019,47.7275537533232210,296.1655175451085142,189.4907253749254608,37.9315631592942424,124.4318530123806426,27.3917588341900426,12.1570394082073658,1.4493570043802255,6.9072075952775531,-0.6369350377285802,0.0654709148557975,-0.5940001892186966,-0.1056031764459034
1,283.0254643838658239,352.7921572241233434,18.3134525641056847,83.2419901902540005,-1.6226179403114851,0.7948687859197900,80.4690774307108967,2.4878256372585783,1.0000000000000000,1.0000000000000000,0.9999999999999999,0.9525278584564361,200.7322307200783769,77.2289342479750616,13.3473443083269441,48.1138263614277193,302.8870326999087297,193.7912421699222136,38.8303128342987236,125.2414967142721309,28.1309445289375972,12.4851055859006568,1.5994556357080956,7.1439187480669650,-0.8439167150310567,-0.0275914616496870,-0.6333753576519022,-0.1177344059788393
2,287.2262835603348776,353.8356528705709252,18.5167058155700026,83.5905194479284432,-2.3115513733440083,-0.8340990633869787,81.6018011787249833,2.0259067364651662,1.0000000000000000,1.0000000000000000,1.0000000000000000,0.8750885888482557,202.8748559038079406,78.0532794905836482,13.8756242222853263,48.2286714769516038,308.4559121650071347,197.3542869771432322,39.4927977049587895,126.0955739807800455,28.6932195798542047,12.7346550943357588,1.7328953801735061,7.3468470716324372,-1.2482794485914575,-0.2110066765079590,-0.7107102626217697,-0.1415549856228222
3,289.5833880580836421,354.1618569385379942,18.5207973818950151,84.1813964447786844,-3.0550917587245059,-3.1769972956896253,82.3575895720573925,1.9592819055535893,1.0000000000000000,1.0000000000000000,1.0000000000000000,0.8109539396588007,203.6518994901546478,78.3522362043236882,14.2101652015429778,48.1086203473650897,312.4752130244313548,199.9258903213318490,39.5226785494548238,126.7601415435560028,28.8402899905194090,12.7999280397154642,1.8354994565765181,7.4219771430254911,-1.6953984477231527,-0.4084315773800122,-0.7857846729837337,-0.1654770606376079
4,294.6839817660108451,364.8034200964189040,18.2330894864946842,84.1242587995815541,-2.6007805862405307,-6.2433221158089021,81.3750350149289403,3.3483476325868011,1.0000000000000000,1.0000000000000000,1.0000000000000000,0.8579550549638850,207.0635867583821437,79.6648354354856139,14.3951559118576924,48.4752061254991773,317.9106236668092720,203.4035399608713988,39.2216095798961533,127.2155951009663113,28.8239620596590314,12.7926813601529847,1.9294203328083535,7.3569878838276725,-1.4404509006313082,-0.2904144886463362,-0.7224621057436499,-0.1474530912192362
5,304.0961994216135054,378.2884647469558104,18.5691279172922599,83.7621543086105333,-2.5580317312029410,-8.8484813972049761,81.0616731718676391,2.9994433529269227,1.0000000000000000,1.0000000000000000,0.9999999999999999,0.8662792610455663,213.7669148904166434,82.2438477131572370,15.2496282607862277,49.1425244012681972,327.7478824894458285,209.6975519223360607,40.8091402240931984,128.1883170633530540,30.0785168703747807,13.3494792045685298,2.0999465466110387,7.6442890156353585,-1.4280601774789110,-0.2766524435232587,-0.7094708184023186,-0.1438482917984527
6,310.4273525492010890,380.7386457097472316,18.8759652322580713,84.0047678393044492,-3.2547380622230326,-11.4917722084560996,82.3403056613007465,2.5927126612628415,1.0000000000000000,1.0000000000000000,1.0000000000000000,0.8046214511509953,217.7847817273268731,83.7896661034164794,16.0119770055040611,49.3079600376693463,335.4878677421700104,214.6496997351095217,42.0352444268993750,129.1282870062860297,31.0566543130653798,13.7835972000362137,2.2357401428417898,7.8864607618462408,-1.8386485162734112,-0.4630147980381553,-0.7861209593267138,-0.1669537885847528
7,317.7724194119166441,391.2796108306051792,18.7817060411909402,83.8928196577485465,-2.9857677842710006,-14.7793649575854857,82.0166856102577668,2.1162676557958227,1.0000000000000000,1.0000000000000000,1.0000000000000000,0.8293770215379999,222.9185699175856143,85.7648197156005239,16.4750416875272556,49.7689356339296296,343.2092612884645177,219.5899523212998190,42.4744878994050978,129.9175166791654590,31.5493453588561259,14.0022638616407527,2.3290349767208984,7.9247481081801423,-1.6786185878386803,-0.3970133550040778,-0.7530868521066290,-0.1570489893216137
8,324.9943857846749324,412.3816644374484213,18.3233894193449061,83.6199235119706827,-2.0420926629641030,-17.7551747313381760,79.5112397182688255,2.4036712279596140,1.0000000000000000,1.0000000000000000,1.0000000000000000,0.9347245152617365,228.2941123556100536,87.8329849126102289,16.5750618422532945,50.3226509496561647,350.1975567627180226,224.0611587923533534,42.0586311389088721,130.4262433856218593,31.4893354049920298,13.9756301803782002,2.3963754985807380,7.7554604855093912,-1.1410711580702457,-0.1477252680282290,-0.6316065430535150,-0.1216896938121131
9,333.1287645760345413,433.1695578045619186,17.9892919896493666,83.3939296903193679,-1.3312180252000221,-19.8027469386146748,77.4935010737412853,3.4260786262797938,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0407209226035377,234.5350708988617328,90.2341069210297348,16.7858752566508649,50.9981803219630621,358.3271010796050291,229.2625517915903117,42.0000790984779115,131.2550167989134877,31.6808991107648303,14.0606501871020964,2.5056373584772720,7.6546308731615618,-0.7467087552678010,0.0435018860676652,-0.5344772534779948,-0.0935339025218916
