period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-0,tbsf0-0,tbsm1-0,tbsf1-0
0,277.1904945772570272,348.7314023166624111,18.0558628120129612,83.2063653134991199,-1.2622281255106909,2.0646262287163308,79.5839136450835838,1.4911122059660720,126.7848772863045497,1.0000000000000000,1.0000000000000000,1.0000000000000002,1.0000000000000000,197.1454453291680124,75.8489684491467955,12.7409308688352727,47.7342258756972484,296.1619403526311771,189.4884366385359158,37.9152742100398967,124.4295758494872359,27.3794083797189103,12.1515580164273160,1.4457781008280761,6.9024894517401361,-0.6320678388673717,0.0689072255515499,-0.5936531743245337,-0.1054143378703351
1,283.0241616189114211,352.4586177949049670,18.3030595555495808,83.2428626386567743,-1.6129876569582138,0.8057509525770773,80.5407325007971764,1.0696019107521826,125.2490636063756000,1.0000000000000000,1.0000000000000000,1.0000000000000018,0.9525710270901550,200.7480327451871460,77.2350138573817446,13.3385432380723152,48.1202975156230224,302.8797196258699387,193.7865631657092536,38.8112113769989975,125.2387777668075159,28.1160508818218311,12.4784954716683316,1.5955689909946105,7.1385243107204754,-0.8386104536166947,-0.0238877918956271,-0.6329597980467246,-0.1175296133991675
2,287.2216769103009142,353.5139688404059939,18.5047662889317515,83.5920312906853411,-2.3008346424019446,-0.8134352907546474,81.6702862950743622,1.0947807698675538,123.6045881733110861,1.0000000000000000,1.0000000000000000,1.0000000000011986,0.8751697584449230,202.8876473507896492,78.0582008219231369,13.8644619553628896,48.2349208326476528,308.4442805575824309,197.3468449165466723,39.4704889361409172,126.0922955719029659,28.6754806480074329,12.7267821828215286,1.7287696039505680,7.3406733593776101,-1.2423253335606725,-0.2069642143135465,-0.7102144088548163,-0.1413306856729090
3,289.5748975439695414,353.8551361189111049,18.5072316185803345,84.1835875768875184,-3.0432055538985008,-3.1453288851454246,82.4218686956295414,3.1910403771350238,122.5984726681135157,1.0000000000000000,1.0000000000000000,1.0000000000000000,0.8110747157046436,203.6606657790431143,78.3556089120634311,14.1964391742924221,48.1144951812696178,312.4588026271209174,199.9153907259845653,39.4971008818812592,126.7562660691466192,28.8196279515705491,12.7907577917121973,1.8312509198085101,7.4150094318970803,-1.6887702885416545,-0.4040225420846579,-0.7851848244809382,-0.1652278987912507
4,294.6681230811542491,364.4847927771579066,18.2179920978236289,84.1276367664482621,-2.5885025518062799,-6.1997745023664015,81.4372734923379369,3.7501080322416724,123.9129720831295884,1.0000000000000000,1.0000000000000000,0.9999999999999999,0.8581492314700114,207.0672193410640318,79.6662330211552643,14.3786204049880304,48.4805640157365900,317.8889549518937088,203.3896760224178877,39.1925283040954753,127.2111672582058901,28.8001373749710154,12.7821074633691527,1.9251298834837913,7.3492184549417647,-1.4337892462332453,-0.2857909649007272,-0.7217429438517706,-0.1471793968205367
5,304.0724418657227943,377.9600040337483051,18.5518740124168957,83.7668547200505174,-2.5447720060923213,-8.7927730879125665,81.1212147727529924,1.4072990276044139,124.3018817995997836,1.0000000000000000,1.0000000000000000,1.0000000000000111,0.8665547661651630,213.7646560483338760,82.2429786550789146,15.2290440982789388,49.1474136627898446,327.7196701067683762,209.6795012562679119,40.7747939480565904,128.1830985143414239,30.0502078955974952,13.3369150854093093,2.0955661902861902,7.6352520810692592,-1.4209921948967832,-0.2716316386105166,-0.7086050893127679,-0.1435430832722534
6,310.3959975156855080,380.4295584230131908,18.8563517942385985,84.0106577658374363,-3.2399658654693928,-11.4224649661401312,82.3942705198144125,3.0009889659807554,122.4931634835626681,1.0000000000000000,1.0000000000000000,1.0000000000000000,0.8049490490066186,217.7747087473081820,83.7857906644361350,15.9868796459733602,49.3120570380735259,335.4522457229612655,214.6269082828326589,41.9954877680317793,129.1221839544141972,31.0237522084259361,13.7689945531183593,2.2315163290910793,7.8760790096855811,-1.8307924332379397,-0.4574873487092376,-0.7850779721231443,-0.1666081113990708
7,317.7299896611559689,390.9673735705741251,18.7596829013244530,83.9003472899090355,-2.9700400574905084,-14.6953896985163706,82.0666924948256167,5.3321037982735797,122.8811060968064908,1.0000000000000000,0.9999999999999999,1.0000000000000000,0.8298290253233843,222.8996313227123949,85.7575333545962906,16.4448694710988796,49.7723427265274836,343.1652074934514758,219.5617661042083455,42.4287234926952976,129.9104395111647250,31.5114107852039069,13.9854276989972668,2.3252348336538287,7.9129100546415811,-1.6704498471089608,-0.3910855919780866,-0.7518453851999354,-0.1566592332035251
8,324.9379571033679213,412.0356203327797857,18.2987596897486320,83.6295285864594575,-2.0258643433301811,-17.6559349545218325,79.5595646776251897,5.0686593226402010,126.5025111873570012,1.0000000000000000,0.9999999999999999,1.0000000000000002,0.9354146360186271,228.2661215055943842,87.8222158223268679,16.5391604135987613,50.3257966035646120,350.1438787755535600,224.0268148862539022,42.0060254069459660,130.4180418042276699,31.4457915733354305,13.9563045109081241,2.3932772983526149,7.7419918486441128,-1.1329846397788985,-0.1414588929775528,-0.6301641663594987,-0.1212566442142310
9,333.0560463574782943,432.7891661939137293,17.9616372423527473,83.4058740801111185,-1.3143118262144537,-19.6877629241696397,77.5398514921722608,3.6787317917126749,129.5757462134271236,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0417414349082657,234.4960226755017914,90.2190836601236725,16.7429750478593000,51.0010070717207356,358.2620787344536666,229.2209496109906297,41.9394079461213209,131.2455067593532760,31.6308278030094385,14.0384274862785556,2.5035891039804881,7.6391889872698462,-0.7386398229689791,0.0501814778215652,-0.5328031627861985,-0.0930503182808416
