period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-1,tbsf0-1,tbsm1-1,tbsf1-1
0,108.7616548456818037,108.4452785542454762,25.5158670038094897,66.0664412282651767,8.4176917679255503,-6.6392931955986185,144.6740662433523426,0.2415571651597670,97.3460655577507055,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,70.9361800521063941,24.3228827934138216,8.6746748704932379,19.0661974790564024,122.4600742504450750,80.0430238681475572,15.4260734413109102,53.1814768236900974,10.8988168168422401,4.9230454619785000,1.3161053395762241,3.8357027075193786,4.7569902851725967,0.7473894665810783,2.4235116081869799,0.4898004079848965
1,112.9763780894885485,112.3756327076802535,24.7077865365307687,65.2699149992898811,10.0222984641783022,1.7203444239547507,142.4356021958144538,-0.2381709539698185,97.6229133228176664,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,75.9142269637119966,26.0297755452107005,8.4111696908809872,19.6259947597658595,126.1706563458917714,82.4683548427405384,16.1471662647579137,54.2482943933382202,11.1224350746363818,5.0240548529747562,1.2585265363628590,3.7447969574282687,5.7855941710752683,1.2011484443014395,2.5117517064488410,0.5238041423527544
2,117.6425198009786754,116.8824452273803445,23.0701069107892742,64.1037103196067193,12.8261827696028732,11.2629749393713201,139.8493052821745835,-0.1809565210614372,97.7950633209415230,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,82.1681299623994477,28.1741389649313412,7.8593300188720132,20.7468494798583194,130.0837017575851178,85.0260209980358610,16.2997319834986207,55.3430705858635790,11.0170488702542357,4.9764514218906664,1.2048654236410437,3.5173992495616107,7.5473521276114397,1.9840386897979894,2.7037075963332931,0.5910843558601483
3,122.2251289262561613,121.3439655794103942,21.3076352499797039,63.0862660592555855,15.6060986907665260,23.1614702213459616,137.9985956847517627,2.3116675373256346,97.8995266247122089,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,88.4203921632714440,30.3179397812960687,7.1703088488371272,21.9521007677335156,133.9672996841840700,87.5644395269787168,16.2171559673536230,56.3914482929539318,10.7731119275053686,4.8662639878608624,1.1844052883717611,3.2576233825974819,9.3223194506279530,2.7559541129695222,2.8737737314470415,0.6540513957220074
4,125.1953645674773838,123.7882304381336951,21.9944214283347179,63.9738662775487086,14.0317123039549685,38.8805643214363315,139.7707122701436901,2.5669630062254090,98.0487855653243656,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,89.5542356826250483,30.7067166086788212,7.2298372912530091,21.3836267495592907,137.6621229740977697,89.9794701448625318,17.4824419521248942,57.3251475165433533,11.3668108170968853,5.1344404948435747,1.2562664552529077,3.3968759313389221,8.3966445075426748,2.3364646123111927,2.6953154743834618,0.6032877097176410
5,130.7086011380594073,129.0458588419441810,22.2996641560810325,63.7723796997333423,13.9279561427542262,52.0594081901384769,140.2072815166432633,0.0940362352299440,98.1203924004838512,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,93.9931394387329533,32.2287457863389335,7.3300513230943842,21.6330476543561510,143.4005641795366159,93.7302614879539675,18.8493993050186326,58.2678638184783608,12.0448343017638066,5.4407068075451628,1.3345430309054755,3.4971184239493676,8.3842039595447826,2.3043593587674112,2.6484904129545619,0.5909024114874701
6,135.3786656664248085,133.7177524938103943,20.5390053076063630,62.9328460007320771,16.5281486904879991,63.7417508297728403,137.6693825876682240,2.0119286579700413,98.1571589788705410,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,100.0327906424615207,34.2996456886663950,6.6506382430729598,22.8258596037704322,147.5361642109608624,96.4333950116803607,18.4788157769939154,59.1204600070306086,11.6998991713680667,5.2848980296833732,1.3458284659017266,3.2144244673583371,10.0011639197714057,3.0237501588002549,2.8480459311510904,0.6551886807652506
7,138.3814030310991825,136.3640655874133358,20.6400272320388218,63.6770258092752712,15.6829469576209508,80.2957955565214121,138.3570345764609897,4.5108564502754245,98.2319073414320911,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,101.3178634420650894,34.7402766200585589,6.4730710908828959,22.4984399988969557,151.3013272792545365,98.8944015004283017,19.2948164406816929,59.8067020089662051,12.0485767400513133,5.4423972840562991,1.4587159191115577,3.2344222203807687,9.4671563418054028,2.8100207618645512,2.7743089416662920,0.6314609122847045
8,142.2675576581122812,139.6660203106579843,22.7193178625821766,65.1479151968546830,12.1327669394906348,97.9367402740734150,143.1673324019966742,4.1405413735192909,98.2770969848344009,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,100.7439560211446974,34.5434929347365767,7.0258372661488018,21.2527530050385280,156.8915640955441972,102.5483226796671943,21.8987027591326324,60.4203636501766113,13.4549975551843009,6.0776840062693838,1.6726667082009996,3.6102403438906761,7.3223289780142480,1.8470699304340179,2.4343130811305480,0.5290549499118208
9,146.9946749152226460,143.9830251310024494,24.6299906127229349,66.1410860166425749,9.2289233695829758,111.1901503663521567,147.3086742148246628,2.6648958973871650,98.3015009474210473,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,101.3379430084274020,34.7471615825532183,7.6814311856505260,20.4051501923486498,163.0913242910808947,106.6006438655359148,24.5638088898737159,61.0678686655749416,14.9205444949274124,6.7396782697080848,1.8527328637018663,3.9729738144145252,5.6033547351303383,1.0520839120377672,2.1336838679805941,0.4398008544342774
10,150.9256025392203355,147.6754533318696190,25.5955595807771061,66.8597112967676281,7.5447291214755650,120.5369601440262812,148.1036905625873032,1.2078767667794699,98.3617867677589572,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,102.1545740398196216,35.0271713159139253,8.1125753181973650,19.9465113494848190,168.1273381240295066,109.8923107855366794,26.3040808024838597,61.7736281408872401,15.8793427157124558,7.1727718163850600,1.9452374054604200,4.1690537010650219,4.5869114521330427,0.5886189674735287,1.9796618609298628,0.3895368409391314
11,153.3041270411491155,149.9074105706607440,25.6119327797629985,67.5780370021047645,6.8100302172549112,127.6987279280476173,146.2266189952974571,2.3713725936796326,98.4597931234581694,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,102.4147708290121557,35.1163886377672299,8.2390623726953276,19.6418225520332150,171.3589173029329800,112.0045532525776508,26.8699938484906689,62.3466257331714075,16.1995077283872391,7.3173918186496314,1.9633481667754140,4.1734888264636947,4.0979430320048431,0.3889136520112999,1.9504050290851365,0.3727685041536318
12,157.4988482495834319,153.9753945041519785,26.4963112292903595,68.1042704139650539,5.3994183559239461,134.0605097345326442,145.6056645824323539,2.9340943805318709,98.5346389042801576,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,103.5086800624661265,35.4914726365445787,8.7946510225368364,19.2838718182691657,176.5715779860060479,115.4116810534188602,28.5704100750352232,62.9931049499360327,17.1697741695088837,7.7556656129657657,2.0419377471983582,4.3664729730021206,3.2540326996825648,-0.0142290482509974,1.8289666717850686,0.3306480327073099
13,161.3642081906159262,157.6561216478768301,28.2010851690120390,69.0541196776819390,2.7447951525143814,140.2003738387980434,147.8268309596372205,-0.4721049486339446,98.5951082383150492,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,103.1834398500781589,35.3799529640755139,9.7414472182283713,18.5204929053036480,181.8824911908908177,118.8830292052325746,30.9992195995410533,63.5567240535014903,18.5692021218723333,8.3877936270454505,2.1150276678708715,4.7145383079149754,1.7719773374557890,-0.7717007976308977,1.5075154411366107,0.2370031715528791
14,168.4841920711137107,164.8278092207341388,25.6857832244683664,67.3508657122671082,6.9633510626247830,136.0801107047113589,142.9613860837956736,4.0288108945337742,98.5326056319359651,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,112.5402351560526029,38.5882485810936302,9.2919663022554460,20.3266292641100321,188.0454765795738012,122.9113134406033083,29.7216615164852662,64.3683508270085269,17.9534797727145694,8.1096690225309835,2.0112863365055955,4.2998367550465355,4.1476902116155987,0.4101712346067022,2.0181729280848919,0.3873166883175894
15,174.0279402737732823,170.3195769087627696,28.2522724353542003,68.1815910301574917,3.5661365338385713,144.0083130136634963,142.7765647071693706,-1.9033158867788780,98.6680601407470874,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,112.2933376187960732,38.5035913602472064,10.6739020078241822,19.2879193644970321,195.2889831269701801,127.6458538286532729,33.6113575512400473,64.9158485174145028,20.0971293144459082,9.0779653363275852,2.1622456940611690,4.8470460925215342,2.1784862933297413,-0.5765874128521686,1.6853780974958410,0.2788595558651575
16,179.7674077137899644,176.4030825046062034,24.6569805546148046,66.4178538275401564,8.9251656173403902,139.7731971512237976,133.8497311337490316,1.6606413933568653,98.7010572927467678,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,121.8742948158513144,41.7887485082852237,9.6342073658809930,21.3326234183305523,199.5715483975392033,130.4450475762253348,30.7722414366476187,65.6117938636037223,18.5547935279320022,8.3812851991854806,1.9856799615664349,4.2016028223843485,5.1599139753181058,0.9276022458561859,2.3703835691375374,0.4672658270285600
17,184.8256243230279665,181.4147942152785618,24.7219838723985248,66.5388827169005310,8.7391334102352776,146.9915946859154019,132.6677426198033629,1.6483455648546030,98.7508439127800557,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,124.8603359214623509,42.8126142954581894,9.8417164137539093,21.3421644707739979,205.3218271630954632,134.2035762501392355,31.8451700973357816,66.0772591312863398,19.1247122171658042,8.6387200807767943,2.0595703258238807,4.2436829307530530,5.0249510021520143,0.8703834793904454,2.3777837119862939,0.4660152167065240
